序号,武将位置x1,武将位置z1,战法1,武将位置x2,武将位置z2,战法2,武将位置x3,武将位置z3,战法3,武将位置x4,武将位置z4,战法4,武将位置x5,武将位置z5,战法5
4152,56,0,5,63,0,5,70,0,5,70,-8,5,70,8,5
4153,49,0,1,70,0,5,77,-8,5,77,0,5,77,8,5
4166,49,0,1,56,0,1,63,-8,1,63,0,1,63,8,1
4167,56,0,1,56,-8,1,56,8,1,70,0,3,77,0,5
4168,56,0,1,63,-8,3,63,8,3,70,0,5,77,0,5
4181,56,-24,1,63,-24,3,63,-32,3,63,-40,3,70,-32,3
4182,63,-40,3,63,-32,3,63,-24,3,70,-32,1,70,-24,1
4183,56,0,1,63,-8,3,63,0,3,63,8,3,70,0,1
4196,56,0,1,63,-8,3,63,0,3,63,8,3,77,0,5
4197,63,0,1,70,0,1,77,-8,3,77,0,1,77,8,3
4198,49,0,5,56,0,1,63,-8,3,63,8,3,70,0,3
4211,56,0,1,63,-8,1,63,0,1,63,8,1,77,0,4
4212,56,-8,5,56,8,5,63,0,5,70,-8,5,70,8,5
4213,63,0,5,70,-8,5,70,8,5,77,-16,6,77,16,7
4226,56,0,3,63,-16,5,63,16,5,70,-8,5,70,8,5
4227,63,-8,1,63,8,1,70,-8,3,70,8,3,77,0,3
4228,63,-16,1,63,16,1,70,-8,1,70,8,1,77,0,3
4241,63,0,1,70,-8,1,70,0,1,70,8,1,77,0,3
4242,63,-8,1,63,8,1,70,0,1,77,-8,3,77,8,3
4243,56,0,3,63,-8,5,63,8,5,70,-16,5,70,16,5
4256,63,0,3,77,-16,5,77,-8,5,77,8,5,77,16,5
4257,56,0,1,63,-16,3,63,16,3,70,-8,3,70,8,3
4258,70,-8,3,70,0,3,70,8,3,77,-40,6,77,40,7
4271,56,-16,1,56,-8,1,56,8,1,56,16,1,70,0,3
4272,56,0,1,70,0,3,77,-8,3,77,0,3,77,8,3
4273,63,0,1,70,-16,3,70,16,3,77,-8,3,77,8,3
4286,63,-16,6,63,0,3,63,16,7,70,-8,5,70,8,5
4287,49,0,1,56,0,1,63,-8,1,63,8,1,70,0,3
4288,63,-8,1,63,8,1,70,0,3,77,-16,5,77,16,5
4301,56,-8,1,56,8,1,63,-8,1,63,8,1,70,0,1
4302,63,-8,3,63,8,3,77,-16,1,77,16,1,77,0,1
4303,49,0,3,63,0,1,70,-8,1,70,8,1,70,0,1
4316,63,-16,5,63,16,5,70,-8,5,70,8,5,77,0,5
4317,63,-16,5,63,16,5,63,-8,3,63,8,3,77,0,5
4318,49,-8,1,49,8,1,49,0,1,63,0,3,77,0,5
4331,49,0,1,56,-8,3,56,8,3,70,-8,3,70,8,3
4332,56,-8,1,56,8,1,63,0,1,70,-8,3,70,8,3
4333,56,-8,3,56,8,3,56,0,3,63,0,1,77,0,3
4346,49,0,5,56,0,5,70,0,3,77,-8,3,77,8,3
4347,49,-8,1,49,8,1,63,-8,1,63,8,1,70,0,5
4348,56,-8,5,56,8,5,63,-8,5,63,8,5,56,0,5
4361,56,0,5,63,-8,5,63,0,5,63,8,5,70,0,3
4362,49,-32,6,49,32,7,70,0,3,77,-8,1,77,8,1
4363,49,-8,1,49,8,1,63,-16,1,63,16,1,70,0,3
4376,63,0,3,70,-8,5,70,8,5,77,-16,5,77,16,5
4377,56,0,3,63,-8,1,63,8,1,70,-8,3,70,8,3
4378,63,0,1,63,16,1,63,8,3,70,8,3,77,-32,6
4391,49,0,1,56,-8,3,56,8,3,63,0,1,77,0,3
4392,63,0,1,70,0,1,77,-8,3,77,8,3,77,0,3
4393,49,0,1,56,-8,1,56,0,1,56,-8,1,70,0,3
4406,49,0,1,63,-8,5,63,8,5,70,-8,5,70,8,5
4407,56,0,1,63,-16,3,63,16,3,70,-8,3,70,8,3
4408,49,-8,1,49,8,1,56,0,1,63,-16,1,63,16,1
4421,56,0,3,63,-8,1,63,0,1,63,8,1,77,0,5
4422,56,-8,5,56,8,5,63,0,5,70,-8,5,70,8,5
4423,70,-8,5,70,8,5,77,-16,5,77,16,5,77,0,5
4436,56,0,3,63,-16,5,63,16,5,70,-8,5,70,8,5
4437,63,-16,3,63,16,3,70,-8,3,70,8,3,77,0,4
4438,56,0,5,63,-8,5,63,8,5,70,-16,5,70,16,5
4451,49,-40,6,49,40,7,63,0,3,70,-8,3,70,8,3
4452,63,0,3,63,-16,3,63,16,3,70,-8,3,70,8,3
4453,63,32,1,63,40,3,70,40,3,70,32,1,70,24,1
4466,49,0,5,56,-8,5,56,0,5,56,8,5,70,0,3
4467,56,-8,1,56,8,1,63,0,3,70,-8,3,70,8,3
4468,56,0,1,63,-8,1,63,8,1,63,0,3,70,0,3
4481,56,-8,1,56,8,1,63,-16,1,63,16,1,70,0,3
4482,63,0,3,63,8,3,70,-8,1,70,8,1,70,0,1
4483,49,-8,1,49,8,1,56,0,3,70,-16,5,70,16,5
4496,56,0,3,63,-8,3,63,8,3,70,0,1,77,0,4
4497,63,-8,1,63,8,1,63,0,1,70,0,1,77,0,4
4498,56,0,1,63,-16,1,63,-8,1,70,16,7,77,16,7
4511,63,0,5,70,-8,5,70,8,5,70,0,5,77,0,5
4512,49,0,1,56,0,1,63,-8,5,63,8,5,70,0,5
4513,49,-16,6,49,-24,6,56,-32,6,56,-24,6,56,-16,6
4526,49,-24,1,49,24,1,56,-32,1,56,32,1,77,0,5
4527,49,-16,1,49,16,1,70,-24,6,77,-32,6,77,-16,6
4528,56,0,1,70,0,5,77,-8,5,77,8,5,77,0,3
4541,49,32,5,49,40,5,56,24,5,56,40,5,56,32,5
4542,49,-8,5,49,0,5,49,8,5,56,-8,5,56,8,5
4543,49,-40,5,49,-32,5,56,-40,5,56,-32,5,56,40,5
4556,56,0,5,63,-8,5,63,8,5,70,0,5,63,0,5
4557,63,-8,5,63,0,5,63,8,5,49,0,5,56,0,5
4558,56,-8,3,56,8,3,49,-8,1,49,8,1,56,0,5
4571,49,-8,1,49,8,1,56,-8,3,56,8,3,56,0,3
4572,56,-8,1,56,8,1,63,-8,3,63,8,3,63,0,3
4573,63,-8,1,63,8,1,70,-8,3,70,8,3,70,0,3
4586,70,-24,3,70,-32,3,70,32,3,49,32,5,49,40,5
4587,70,-24,3,70,-32,3,70,32,3,49,32,5,49,40,5
4588,49,-40,5,49,-32,5,56,-40,5,56,-32,5,56,-24,5
4601,49,-24,1,49,-32,1,63,-32,3,63,-24,3,70,-32,3
4602,49,-24,1,49,-32,1,63,-32,3,63,-24,3,70,-32,3
4603,49,-24,1,49,-32,1,63,-32,3,63,-24,3,70,-32,3
4616,56,0,3,63,8,3,63,0,3,63,-8,3,49,0,5
4617,56,0,3,63,8,3,63,0,3,63,-8,3,49,0,5
4618,77,-32,3,77,-40,3,77,-24,3,56,40,5,56,32,5
100001,56,0,1,63,0,1,63,-8,1,63,8,1,70,0,1
201201,70,-8,3,70,8,3,77,-16,3,77,16,3,63,0,3
201202,77,-32,3,77,-16,3,77,0,3,77,16,3,77,32,3
201203,70,-8,1,70,0,1,70,8,1,77,-8,3,77,8,3
201301,63,-8,3,63,8,3,70,-8,1,70,8,1,77,0,5
201302,56,-8,1,56,8,1,63,-16,1,63,16,1,70,0,5
201303,49,0,4,56,-8,3,56,0,3,56,8,3,63,0,3
201601,49,-8,1,49,8,1,56,-16,1,56,0,3,56,16,1
201602,49,0,3,56,-8,5,56,0,5,56,8,5,63,0,5
201603,49,-16,1,49,-8,3,49,8,3,49,16,1,56,0,1
201701,63,-8,3,63,8,3,70,0,3,70,-8,1,70,8,1
201702,56,-8,3,56,8,3,56,0,1,63,0,3,77,8,6
201703,63,-24,3,63,24,3,63,-16,3,63,16,3,70,0,3
202001,49,0,3,63,-16,6,63,16,7,70,-16,5,70,16,5
202002,63,-16,3,63,16,3,70,-8,3,70,8,3,70,0,3
202003,49,-8,1,49,8,1,63,-8,3,63,8,3,70,0,3
202201,63,0,1,70,-8,3,70,8,3,77,-16,3,77,16,3
202202,63,0,1,70,-8,1,70,8,1,77,-8,1,77,8,1
202203,63,0,1,70,0,1,77,0,3,77,-8,3,77,8,3
202301,70,-8,1,70,8,1,77,-16,1,77,0,3,77,16,1
202302,70,-8,1,70,8,1,77,-8,3,77,0,3,77,8,3
202303,56,-8,1,56,8,1,63,0,3,70,-16,5,70,16,5
202401,56,0,3,63,-8,1,63,8,1,70,-8,3,70,8,3
202402,56,0,3,77,0,5,70,0,5,77,-8,5,77,8,5
202403,70,0,3,77,-16,3,77,-8,3,77,8,3,77,16,3
202601,49,8,1,49,16,1,49,24,1,63,-32,6,70,32,7
202602,49,0,3,63,0,5,70,-8,5,70,8,5,70,0,5
202603,49,0,1,56,-8,3,56,8,3,56,0,3,77,0,5
202801,56,-8,1,56,8,1,63,-16,1,63,16,1,77,0,3
202802,70,40,1,77,32,1,77,0,6,77,8,6,77,40,3
202803,63,-40,1,63,-24,1,70,-16,1,77,-40,3,77,-32,3
203101,56,0,1,63,-8,1,63,0,3,63,8,1,70,0,1
203102,49,-16,1,49,0,1,49,16,1,56,-8,1,56,8,1
203103,49,0,1,70,-16,5,70,16,5,77,-8,5,77,8,5
203501,63,-8,1,63,8,1,77,0,1,77,-8,1,77,8,1
203502,63,-8,1,63,8,1,77,0,3,77,-8,3,77,8,3
203503,63,-8,1,63,8,1,77,0,5,77,-8,5,77,8,5
203601,70,-8,1,70,8,1,77,-8,3,77,0,3,77,8,3
203602,56,0,3,63,-32,6,63,32,7,70,-8,5,70,8,5
203603,49,40,1,56,32,1,56,40,3,63,40,3,77,-40,6
204401,49,-8,5,49,8,5,56,-16,5,56,0,5,56,16,7
204402,49,0,5,56,-8,5,56,0,5,56,8,5,63,0,5
204403,49,-16,5,49,-8,5,49,0,5,49,8,5,49,16,5
204901,56,-8,1,56,0,1,56,8,1,63,0,3,70,32,7
204902,63,-8,5,70,-16,5,70,0,5,63,32,7,70,-8,5
204903,49,0,1,63,-8,5,63,0,5,63,8,5,70,0,5
205201,49,-8,5,49,8,5,56,-16,5,56,0,5,56,16,7
205202,49,0,5,56,-8,5,56,0,5,56,8,5,63,0,5
205203,49,-16,5,49,-8,5,49,0,5,49,8,5,49,16,5
205501,63,0,5,70,-8,5,70,0,5,70,8,5,77,0,3
205502,56,0,3,63,0,1,70,-8,1,70,8,1,70,0,1
205503,49,0,1,56,-8,3,56,8,3,56,0,3,70,0,3
206101,63,-8,3,63,8,3,70,-8,1,70,8,1,77,0,5
206102,56,-8,1,56,8,1,63,-16,1,63,16,1,70,0,5
206103,49,0,4,56,-8,3,56,0,3,56,8,3,63,0,3
206701,56,0,4,70,-8,1,70,8,1,70,0,3,77,0,1
206702,56,-8,1,56,8,1,77,-16,1,77,16,1,70,0,3
206703,49,-32,4,56,-40,4,63,-16,4,70,-24,4,77,-40,3
206901,63,0,1,70,0,3,70,-8,1,70,8,1,77,0,3
206902,77,0,3,77,-8,3,77,8,3,70,-8,3,70,8,3
206903,63,0,1,70,0,3,77,0,3,77,-8,3,77,8,3
207701,70,-32,1,70,-8,1,70,8,1,70,32,1,77,0,3
207702,70,-16,3,70,0,3,70,16,3,77,-8,3,77,8,3
207703,49,-8,3,49,8,3,56,0,1,63,-32,6,63,32,7
213501,49,0,3,63,0,5,70,-8,5,70,8,5,70,0,5
213502,56,0,1,70,0,3,70,-8,3,70,8,3,77,0,3
213503,63,-8,1,63,8,1,70,-8,1,70,8,1,70,0,3
220301,56,0,1,70,-8,3,70,0,3,70,8,3,77,0,3
220302,56,0,3,70,0,5,77,-8,5,77,0,5,77,8,5
220303,56,-40,1,56,-24,1,56,8,7,63,0,7,70,-32,3
220401,56,0,1,63,0,1,63,-8,1,63,8,1,77,0,3
220402,63,0,3,70,0,5,77,0,5,77,-8,5,77,8,5
220403,49,0,1,56,0,3,63,-16,6,63,16,7,70,0,5
220501,56,-8,1,56,8,1,63,-16,1,63,16,1,77,0,3
220502,70,40,1,77,32,1,77,0,6,77,8,6,77,40,3
220503,63,-40,1,63,-24,1,70,-16,1,77,-40,3,77,-32,3
220601,56,-8,1,56,8,1,63,-16,1,63,16,1,77,0,3
220602,70,40,1,77,32,1,77,0,6,77,8,6,77,40,3
220603,63,-40,1,63,-24,1,70,-16,1,77,-40,3,77,-32,3
220701,56,-8,1,56,8,1,63,-16,1,63,16,1,77,0,3
220702,70,40,1,77,32,1,77,0,6,77,8,6,77,40,3
220703,63,-40,1,63,-24,1,70,-16,1,77,-40,3,77,-32,3
220801,56,-8,1,56,8,1,63,-16,1,63,16,1,77,0,3
220802,70,40,1,77,32,1,77,0,6,77,8,6,77,40,3
220803,63,-40,1,63,-24,1,70,-16,1,77,-40,3,77,-32,3
220901,56,-8,1,56,0,1,56,8,1,63,0,3,70,32,7
220902,63,-8,5,70,-16,5,70,0,5,63,32,7,70,-8,5
220903,49,0,1,63,-8,5,63,0,5,63,8,5,70,0,5
221001,56,-8,1,56,0,1,56,8,1,63,0,3,70,32,7
221002,63,-8,5,70,-16,5,70,0,5,63,32,7,70,-8,5
221003,49,0,1,63,-8,5,63,0,5,63,8,5,70,0,5
221101,56,-8,1,56,0,1,56,8,1,63,0,3,70,32,7
221102,63,-8,5,70,-16,5,70,0,5,63,32,7,70,-8,5
221103,49,0,1,63,-8,5,63,0,5,63,8,5,70,0,5
221201,56,-8,1,56,0,1,56,8,1,63,0,3,70,32,7
221202,63,-8,5,70,-16,5,70,0,5,63,32,7,70,-8,5
221203,49,0,1,63,-8,5,63,0,5,63,8,5,70,0,5
302901,70,-8,5,56,0,3,70,8,5,49,-8,3,49,8,3
303001,70,0,1,77,0,3,56,0,1,77,-8,1,77,8,1
303201,49,0,1,70,-8,3,70,8,3,63,0,1,77,0,3
303301,63,-16,1,63,16,1,56,0,1,70,-8,1,70,8,1
303701,77,-8,3,56,0,1,63,-16,1,77,8,3,63,16,1
303801,77,-8,5,56,-8,1,56,8,1,77,8,1,0,0,0
303901,70,0,5,77,-8,3,77,8,3,56,-8,5,56,8,5
304001,63,0,1,63,-8,1,63,8,1,77,-8,3,77,8,3
304101,63,-8,1,63,8,1,77,0,3,56,0,1,63,0,3
304201,77,-8,5,77,0,5,77,8,5,77,-16,5,77,16,5
304501,70,32,7,63,0,1,70,-8,3,70,0,3,70,8,3
304701,70,-8,3,70,8,3,56,0,1,56,-8,1,56,8,1
305301,77,-8,3,70,0,4,77,8,3,49,-8,1,49,8,1
305601,63,0,5,77,0,5,70,0,5,70,-8,5,70,8,5
305701,63,0,5,56,0,5,63,-8,5,63,8,5,70,0,3
305801,77,0,3,77,-16,1,70,-8,1,70,8,1,77,16,1
306201,77,-8,5,77,8,5,63,0,5,70,0,5,77,0,5
306301,56,0,5,70,0,3,56,-8,5,49,0,5,56,8,5
306601,63,0,3,70,0,3,56,-8,5,49,0,5,56,8,5
307801,70,0,1,56,-8,1,56,8,1,70,-16,4,70,16,4
308001,77,0,3,77,-16,3,77,16,3,63,-8,1,63,8,1
308301,70,0,3,56,0,5,49,0,5,56,-8,5,56,8,5
310701,70,0,3,63,0,1,56,-8,1,56,8,1,56,0,1
312701,70,0,3,56,-8,1,56,8,1,63,-32,6,63,32,7
314001,77,0,3,63,-8,5,63,8,5,70,-8,5,70,8,5
319801,49,0,1,63,-16,5,70,0,3,63,16,5,63,0,1
320501,63,0,3,70,-8,5,70,8,5,70,-16,5,70,16,5
405011,49,-24,1,49,24,1,63,0,1,70,-8,1,70,8,1
405021,49,-24,1,56,-32,1,56,-16,1,63,-24,3,70,-24,1
406011,56,-24,1,56,34,1,70,0,1,77,-8,1,77,8,1
406021,49,24,1,56,32,1,56,16,1,63,24,3,70,24,1
406031,49,16,4,56,8,1,56,24,1,70,8,1,70,24,1
407011,49,-24,1,49,24,1,63,0,1,70,-8,1,70,8,1
407021,49,-24,1,56,-32,1,56,-16,1,63,-24,3,70,-24,1
407031,49,-16,4,56,-8,1,56,-24,1,70,-8,1,70,-24,1
407041,63,-24,6,77,-24,6,63,32,1,70,24,1,77,32,3
408011,49,24,1,56,32,1,56,16,1,63,24,3,70,24,1
408021,49,16,4,56,8,1,56,24,1,70,8,1,70,24,1
408031,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
408041,56,-32,5,56,-16,5,63,-32,5,63,-16,5,70,-24,5
408051,63,-32,3,63,-16,3,70,-32,1,70,-16,1,77,-40,6
409011,49,-24,1,56,-32,1,56,-16,1,63,-24,3,70,-24,1
409021,49,-16,4,56,-8,1,56,-24,1,70,-8,1,70,-24,1
409031,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
409041,56,32,5,56,16,5,63,32,5,63,16,5,70,24,5
409051,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
409061,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
410011,49,24,1,56,32,1,56,16,1,63,24,3,70,24,1
410021,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
410031,56,-32,5,56,-16,5,63,-32,5,63,-16,5,70,-24,5
410041,63,-32,3,63,-16,3,70,-32,1,70,-16,1,77,-40,6
410051,63,-24,6,77,-24,6,63,32,1,70,24,1,77,32,3
410061,56,-8,1,56,8,1,63,0,3,77,-8,5,77,8,5
411011,56,32,1,63,24,1,56,40,3,70,24,3,63,32,3
411021,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
411031,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
411041,56,0,5,63,-8,5,63,8,5,63,0,3,70,0,1
412011,49,-24,1,49,24,1,63,0,1,70,-8,1,70,8,1
412021,49,-24,1,56,-32,1,56,-16,1,63,-24,3,70,-24,1
412031,49,16,4,56,8,1,56,24,1,70,8,1,70,24,1
412041,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
412051,56,32,5,56,16,5,63,32,5,63,16,5,70,24,5
412061,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
412071,63,-24,6,77,-24,6,63,32,1,70,24,1,77,32,3
413011,49,24,1,56,32,1,56,16,1,63,24,3,70,24,1
413021,49,16,4,56,8,1,56,24,1,70,8,1,70,24,1
413031,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
413041,56,-32,5,56,-16,5,63,-32,5,63,-16,5,70,-24,5
413051,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
413061,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
414011,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
414021,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
414031,56,-16,1,56,0,1,63,-8,3,77,-16,5,77,0,5
414041,56,-32,1,63,-24,1,56,-40,3,70,-24,3,63,-32,3
414051,56,24,1,63,32,1,63,16,1,63,24,1,70,24,1
414061,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
414071,56,0,5,63,-8,5,63,8,5,63,0,3,70,0,1
415011,56,-32,1,63,-24,1,56,-40,3,70,-24,3,63,-32,3
415021,56,24,1,63,32,1,63,16,1,63,24,1,70,24,1
415031,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
415041,56,0,5,63,-8,5,63,8,5,63,0,3,70,0,1
416011,56,-24,1,56,34,1,70,0,1,77,-8,1,77,8,1
416021,49,24,1,56,32,1,56,16,1,63,24,3,70,24,1
416031,49,16,4,56,8,1,56,24,1,70,8,1,70,24,1
416041,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
416051,56,-32,5,56,-16,5,63,-32,5,63,-16,5,70,-24,5
416061,63,-32,3,63,-16,3,70,-32,1,70,-16,1,77,-40,6
416071,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
417011,49,-24,1,56,-32,1,56,-16,1,63,-24,3,70,-24,1
417021,49,-16,4,56,-8,1,56,-24,1,70,-8,1,70,-24,1
417031,63,-24,3,63,24,3,70,-16,3,70,16,3,70,0,3
417041,56,-32,5,56,-16,5,63,-32,5,63,-16,5,70,-24,5
417051,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
417061,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
418011,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
418021,63,-24,6,77,-24,6,63,32,1,70,24,1,77,32,3
418031,56,-16,1,56,0,1,63,-8,3,77,-16,5,77,0,5
418041,56,-32,1,63,-24,1,56,-40,3,70,-24,3,63,-32,3
418051,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
418061,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
418071,56,0,5,63,-8,5,63,8,5,63,0,3,70,0,1
419011,56,-16,1,56,0,1,63,-8,3,77,-16,5,77,0,5
419021,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
419031,56,32,1,63,24,1,56,40,3,70,24,3,63,32,3
419041,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
419051,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
420011,56,-8,1,56,8,1,63,0,3,77,-8,5,77,8,5
420021,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
420031,56,32,1,63,24,1,56,40,3,70,24,3,63,32,3
420041,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
420051,49,-8,1,63,-16,5,70,-24,5,70,-8,5,70,-16,3
421011,63,-32,3,63,-16,3,70,-32,1,70,-16,1,77,-40,6
421021,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
421031,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
421041,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
421051,63,-16,1,70,-24,1,70,-8,1,70,-16,3,77,-16,3
422011,56,-16,1,56,0,1,63,-8,3,77,-16,5,77,0,5
422021,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
422031,56,32,1,63,24,1,56,40,3,70,24,3,63,32,3
422041,56,24,1,63,32,1,63,16,1,63,24,1,70,24,1
422051,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
423011,56,-8,1,56,8,1,63,0,3,77,-8,5,77,8,5
423021,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
423031,56,-32,1,63,-24,1,56,-40,3,70,-24,3,63,-32,3
423041,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
423051,49,8,1,63,16,5,70,24,5,70,8,5,70,16,3
424011,63,-32,3,63,-16,3,70,-32,1,70,-16,1,77,-40,6
424021,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
424031,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
424041,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
424051,63,-16,1,70,-24,1,70,-8,1,70,-16,3,77,-16,3
425011,56,-16,1,56,0,1,63,-8,3,77,-16,5,77,0,5
425021,63,-32,3,63,-16,3,70,-32,1,70,-16,1,77,-40,6
425031,56,32,1,63,24,1,56,40,3,70,24,3,63,32,3
425041,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
425051,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
426011,56,-8,1,56,8,1,63,0,3,77,-8,5,77,8,5
426021,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
426031,56,32,1,63,24,1,56,40,3,70,24,3,63,32,3
426041,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
426051,49,-8,1,63,-16,5,70,-24,5,70,-8,5,70,-16,3
427011,63,32,3,63,16,3,70,32,1,70,16,1,77,40,6
427021,63,0,5,70,-8,5,70,8,5,70,0,3,77,0,1
427031,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
427041,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
427051,63,16,1,70,24,1,70,8,1,70,16,3,77,16,3
428011,56,24,1,63,32,1,63,16,1,63,24,1,70,24,1
428021,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
428031,56,-16,1,70,-32,1,77,-24,1,77,-40,3,77,-32,3
428041,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
428051,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
429011,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
429021,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
429031,56,24,1,63,16,1,63,32,1,63,24,3,70,24,3
429041,77,-40,5,70,-32,5,70,-24,5,77,-32,5,77,-24,5
429051,70,-40,5,70,-32,5,77,-24,5,77,-40,4,77,-32,4
430011,56,16,1,70,32,1,77,24,1,77,40,3,77,32,3
430021,56,-24,1,63,-16,1,63,-32,1,63,-24,3,70,-24,3
430031,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
430041,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
430051,77,40,5,70,32,5,70,24,5,77,32,5,77,24,5
430061,70,40,5,70,32,5,77,24,5,77,40,4,77,32,4
431011,56,-24,1,63,-32,1,63,-16,1,63,-24,1,70,-24,1
431021,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
431031,56,16,1,70,32,1,77,24,1,77,40,3,77,32,3
431041,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
431051,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
432011,63,-24,6,77,-24,6,63,32,1,70,24,1,77,32,3
432021,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
432031,56,24,1,63,16,1,63,32,1,63,24,3,70,24,3
432041,77,-40,5,70,-32,5,70,-24,5,77,-32,5,77,-24,5
432051,70,-40,5,70,-32,5,77,-24,5,77,-40,4,77,-32,4
433011,56,-16,1,70,-32,1,77,-24,1,77,-40,3,77,-32,3
433021,56,-24,1,63,-16,1,63,-32,1,63,-24,3,70,-24,3
433031,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
433041,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
433051,77,-40,5,70,-32,5,70,-24,5,77,-32,5,77,-24,5
433061,70,-40,5,70,-32,5,77,-24,5,77,-40,4,77,-32,4
434011,56,24,1,63,32,1,63,16,1,63,24,1,70,24,1
434021,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
434031,56,16,1,70,32,1,77,24,1,77,40,3,77,32,3
434041,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
434051,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
435011,63,24,6,77,24,6,63,-32,1,70,-24,1,77,-32,3
435021,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
435031,56,-24,1,63,-16,1,63,-32,1,63,-24,3,70,-24,3
435041,77,40,5,70,32,5,70,24,5,77,32,5,77,24,5
435051,70,40,5,70,32,5,77,24,5,77,40,4,77,32,4
436011,56,16,1,70,32,1,77,24,1,77,40,3,77,32,3
436021,56,24,1,63,16,1,63,32,1,63,24,3,70,24,3
436031,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
436041,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,3
436051,77,40,5,70,32,5,70,24,5,77,32,5,77,24,5
436061,70,40,5,70,32,5,77,24,5,77,40,4,77,32,4
437011,49,0,1,56,-8,1,56,8,1,56,0,3,70,0,4
437021,63,16,1,70,24,1,70,8,1,70,16,3,77,16,3
437031,49,0,5,56,-8,5,56,8,5,56,0,5,77,0,3
437041,56,16,1,70,32,1,77,24,1,77,40,3,77,32,3
437051,49,-16,1,49,16,1,77,-32,5,77,0,5,77,32,5
438011,56,24,1,63,16,1,63,32,1,63,24,3,70,24,3
438021,77,40,5,70,32,5,70,24,5,77,32,5,77,24,5
438031,70,40,5,70,32,5,77,24,5,77,40,4,77,32,4
438041,63,-16,5,63,16,5,70,-8,5,70,8,5,70,0,3
438051,49,-16,5,49,16,5,56,0,3,70,-8,5,70,8,5
439011,49,-8,1,63,-16,5,70,-24,5,70,-8,5,70,-16,3
