序号（6位数的ID只可使用9开头）,类型,等级,挂载点类型（1武将，2战器，3战法，4将魂）,额外增加战力,前置条件,是否可封印,触发条件,是否被动技能,是否团队被动(0|非团队 1|团队),范围,覆盖方式,影响属性,刷新时间(0不刷新|其他刷新),持续时间(0一直存在|其他持续n回合),特效名称,特效目标(0|自己 1|对方),特效位置(0|原点 1|前方 2|后方 3|上方 4|下方 5|左方 6|右方),特效方向(0|原点 1|向前 2|向后 3|向上 4|向下 5|向左 6|向右),类型参数(属性值除以1000填写),单挑几率,单挑被杀死,不受减益,异性伤害提升,技能伤害提升,技能减伤,普攻提高,普攻减伤,防御提高,枪兵减伤,骑兵减伤,弓兵减伤,血量增加,速度变化,攻击范围变化（CSVZhanfa）,被动技能触发几率值,护甲,破甲,抗性,破法,铁壁,穿透,大片图片名,小图标名称,技能名称,技能说明
1401,14,1,1,30,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]6%[-]
1402,14,2,1,80,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]8%[-]
1403,14,3,1,170,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]10%[-]
1404,14,4,1,300,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]12%[-]
1405,14,5,1,470,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]14%[-]
1406,14,6,1,680,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]16%[-]
1407,14,7,1,930,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]18%[-]
1408,14,8,1,1220,0,0,0,1,0,1,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]20%[-]
1409,14,9,1,1550,0,0,0,1,0,16,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]25%[-]
1410,14,10,1,1920,0,0,0,1,0,16,0,0,0,0,SkillFxFast,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,lable_shensu,,神速,移动速度提高[fed655]30%[-]
1501,15,1,1,30,0,0,0,1,0,16,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]8%[-]，如果是持续伤害则持续时间减少[fed655]8%[-]
1502,15,2,1,80,0,0,0,1,0,16,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]14%[-]，如果是持续伤害则持续时间减少[fed655]14%[-]
1503,15,3,1,170,0,0,0,1,0,13,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]20%[-]，如果是持续伤害则持续时间减少[fed655]20%[-]
1504,15,4,1,300,0,0,0,1,0,13,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]26%[-]，如果是持续伤害则持续时间减少[fed655]26%[-]
1505,15,5,1,470,0,0,0,1,0,13,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]32%[-]，如果是持续伤害则持续时间减少[fed655]32%[-]
1506,15,6,1,680,0,0,0,1,0,13,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]38%[-]，如果是持续伤害则持续时间减少[fed655]38%[-]
1507,15,7,1,930,0,0,0,1,0,14,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]44%[-]，如果是持续伤害则持续时间减少[fed655]44%[-]
1508,15,8,1,1220,0,0,0,1,0,14,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]50%[-]，如果是持续伤害则持续时间减少[fed655]50%[-]
1509,15,9,1,1550,0,0,0,1,0,14,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]55%[-]，如果是持续伤害则持续时间减少[fed655]55%[-]
1510,15,10,1,1920,0,0,0,1,0,14,0,0,0,0,SkillFxShield,0,0,0,,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shenyou,,神佑,受到的第一次瞬间法术技能伤害降低[fed655]60%[-]，如果是持续伤害则持续时间减少[fed655]60%[-]
1601,16,1,1,30,0,0,0,1,0,1,0,0,120,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害
1602,16,2,1,80,0,0,0,1,0,1,0,0,100,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比1级触发几率更高
1603,16,3,1,170,0,0,0,1,0,1,0,0,72,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比2级触发几率更高
1604,16,4,1,300,0,0,0,1,0,1,0,0,60,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比3级触发几率更高
1605,16,5,1,470,0,0,0,1,0,18,0,0,48,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比4级触发几率更高
1606,16,6,1,680,0,0,0,1,0,18,0,0,40,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比5级触发几率更高
1607,16,7,1,930,0,0,0,1,0,18,0,0,36,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比6级触发几率更高
1608,16,8,1,1220,0,0,0,1,0,18,0,0,32,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比7级触发几率更高
1609,16,9,1,1550,0,0,0,1,0,1,0,0,28,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比8级触发几率更高
1610,16,10,1,1920,0,0,0,1,0,1,0,0,24,7,SkillFxResist,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,lable_chidun,,持盾,一定几率不受普通攻击伤害，比9级触发几率更高
1701,17,1,1,30,0,0,0,1,0,1,0,0,8,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害
1702,17,2,1,80,0,0,0,1,0,1,0,0,8,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比1级触发几率更高
1703,17,3,1,170,0,0,0,1,0,11,0,0,8,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比2级触发几率更高
1704,17,4,1,300,0,0,0,1,0,11,0,0,8,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比3级触发几率更高
1705,17,5,1,470,0,0,0,1,0,11,0,0,8,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比4级触发几率更高
1706,17,6,1,680,0,0,0,1,0,11,0,0,7,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比5级触发几率更高
1707,17,7,1,930,0,0,0,1,0,2,0,0,7,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.213,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比6级触发几率更高
1708,17,8,1,1220,0,0,0,1,0,2,0,0,6,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比7级触发几率更高
1709,17,9,1,1550,0,0,0,1,0,2,0,0,5,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比8级触发几率更高
1710,17,10,1,1920,0,0,0,1,0,2,0,0,4,1,null,1,0,0,,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,lable_huixin,,会心,一定几率造成额外普通攻击伤害，比9级触发几率更高
1801,18,1,1,30,0,0,0,1,1,1,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]6%[-]
1802,18,2,1,80,0,0,0,1,1,1,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]8%[-]
1803,18,3,1,170,0,0,0,1,1,1,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]10%[-]
1804,18,4,1,300,0,0,0,1,1,1,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]12%[-]
1805,18,5,1,470,0,0,0,1,1,17,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]14%[-]
1806,18,6,1,680,0,0,0,1,1,17,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]16%[-]
1807,18,7,1,930,0,0,0,1,1,17,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]18%[-]
1808,18,8,1,1220,0,0,0,1,1,17,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]20%[-]
1809,18,9,1,1550,0,0,0,1,1,1,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]25%[-]
1810,18,10,1,1920,0,0,0,1,1,1,0,0,0,0,SkillFxHalo,0,0,0,,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shipo,,识破,降低己方所受法术技能伤害[fed655]30%[-]
1901,13,1,1,30,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]8%[-]
1902,13,2,1,80,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]14%[-]
1903,13,3,1,170,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]20%[-]
1904,13,4,1,300,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]26%[-]
1905,13,5,1,470,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]32%[-]
1906,13,6,1,680,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]38%[-]
1907,13,7,1,930,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]44%[-]
1908,13,8,1,1220,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jizhong,,集中,受到负面技能效果持续时间减少[fed655]50%[-]
1909,13,9,1,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_wuxia,,无瑕,受到负面技能效果持续时间减少[fed655]100%[-]
1910,13,10,1,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_wuxia,,无瑕,受到负面技能效果持续时间减少[fed655]100%[-]
2001,19,1,1,30,0,0,2101,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]1%[-]的基础武力值
2002,19,2,1,80,0,0,2102,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]2%[-]的基础武力值
2003,19,3,1,170,0,0,2103,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]3%[-]的基础武力值
2004,19,4,1,300,0,0,2104,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]4%[-]的基础武力值
2005,19,5,1,470,0,0,2105,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]5%[-]的基础武力值
2006,19,6,1,680,0,0,2106,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]6%[-]的基础武力值
2007,19,7,1,930,0,0,2107,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]7%[-]的基础武力值
2008,19,8,1,1220,0,0,2108,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]8%[-]的基础武力值
2009,19,9,1,1550,0,0,2109,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]10%[-]的基础武力值
2010,19,10,1,1920,0,0,2110,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,背水,生命值每降低[fed655]15%[-]增加[fed655]12%[-]的基础武力值
3001,58,1,1,30,0,0,6101,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]3%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]3%[-]，最高提升[fed655]24%[-]。停下来[fed655]5秒[-]后武力加成消失
3002,58,2,1,80,0,0,6102,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]4%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]4%[-]，最高提升[fed655]32%[-]。停下来[fed655]5秒[-]后武力加成消失
3003,58,3,1,170,0,0,6103,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]5%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]5%[-]，最高提升[fed655]40%[-]。停下来[fed655]5秒[-]后武力加成消失
3004,58,4,1,300,0,0,6104,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]6%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]6%[-]，最高提升[fed655]48%[-]。停下来[fed655]5秒[-]后武力加成消失
3005,58,5,1,470,0,0,6105,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]7%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]7%[-]，最高提升[fed655]56%[-]。停下来[fed655]5秒[-]后武力加成消失
3006,58,6,1,680,0,0,6106,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]8%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]8%[-]，最高提升[fed655]64%[-]。停下来[fed655]5秒[-]后武力加成消失
3007,58,7,1,930,0,0,6107,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]9%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]9%[-]，最高提升[fed655]72%[-]。停下来[fed655]5秒[-]后武力加成消失
3008,58,8,1,1220,0,0,6108,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]11%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]11%[-]，最高提升[fed655]88%[-]。停下来[fed655]5秒[-]后武力加成消失
3009,58,9,1,1550,0,0,6109,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]13%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]13%[-]，最高提升[fed655]104%[-]。停下来[fed655]5秒[-]后武力加成消失
3010,58,10,1,1920,0,0,6110,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,冲势,移动速度为[fed655]5（骑兵铁骑）[-]时获得[fed655]15%[-]的武力加成，速度每提高[fed655]3[-]，加成提高[fed655]15%[-]，最高提升[fed655]120%[-]。停下来[fed655]5秒[-]后武力加成消失
4001,59,1,1,30,0,0,7101,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]1%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]1%[-]，最高可提升[fed655]7%[-]
4002,59,2,1,80,0,0,7102,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]2%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]2%[-]，最高可提升[fed655]14%[-]
4003,59,3,1,170,0,0,7103,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]3%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]3%[-]，最高可提升[fed655]21%[-]
4004,59,4,1,300,0,0,7104,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]4%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]4%[-]，最高可提升[fed655]28%[-]
4005,59,5,1,470,0,0,7105,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]5%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]5%[-]，最高可提升[fed655]35%[-]
4006,59,6,1,680,0,0,7106,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]6%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]6%[-]，最高可提升[fed655]42%[-]
4007,59,7,1,930,0,0,7107,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]7%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]7%[-]，最高可提升[fed655]49%[-]
4008,59,8,1,1220,0,0,7108,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]8%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]8%[-]，最高可提升[fed655]56%[-]
4009,59,9,1,1550,0,0,7109,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]9%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]9%[-]，最高可提升[fed655]63%[-]
4010,59,10,1,1920,0,0,7110,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,lable_beishui,,抛射,基础攻击范围提高[fed655]40%[-]；距离目标[fed655]25米（弓兵普通战法范围）[-]时，伤害提升[fed655]10%[-]，距离每提升[fed655]5米[-]，造成的伤害提高[fed655]10%[-]，最高可提升[fed655]70%[-]
5001,60,1,1,30,0,0,8101,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_beishui,,蓄势,每持续不动[fed655]6秒[-]，武力提高[fed655]2%[-]，最高可提高[fed655]14%[-]，一旦移动则清空
