序号,标题,内容,类型,子类型
53,公会战规则,公会排名：$$赛季过程中，以[FFCC00]公会胜场数[-]作为积分进行排名；$四轮对战后，排名最高的公会将会获得优胜！！$※若积分相同，则以累进分作为排名条件；$※若累进分相同，则以公会总战力作为排名条件。$$战斗规则：$$备战阶段：$所有成员可以在备战阶段选择[FFCC00]己方据点[-]进行驻守，成为该据点的防御势力。$※没有进行驻守的成员将会在开战后出现在己方大本营。$$战斗阶段：$开战后，公会成员可以在战场中进行[FFCC00]移动[-]、[FFCC00]进攻[-]或者[FFCC00]驻守[-]$[FFCC00]移动[-]：点击己方据点或者相邻敌方据点可以进行部队移动。$※移动过程中如果遇到敌方部队，则会进入战斗！$[FFCC00]进攻[-]：进入敌方据点后将会与防守人员进行战斗，当己方进攻人数多于据点防守人数时，非战斗中的部队将会开始[FFCC00]占领据点[-]。$※参与占领的部队数量越多，占领速度越快。$[FFCC00]驻守[-]：进入己方据点后可以开始驻守，成为据点的防御势力。$※若己方据点正在被占领，则会立刻进入战斗，并打断敌方部队的占领！！$$胜利条件：$1.[FFCC00]攻下敌方的大本营！！！[-]$2.战斗结束后，若没有一方的大本营被占领，则以双方占领据点的[FFCC00]积分总和[-]分胜负。$3.未占领大本营且积分相同的情况下，以公会总战力分胜负。,53,0
54,战斗规则,[FFCC00]备战阶段[-]：$所有成员可以在备战阶段选择[FFCC00]己方据点[-]进行驻守，成为该据点的防御势力。$※没有进行驻守的成员将会在开战后出现在己方大本营。$$[FFCC00]战斗阶段[-]：$开战后，所有成员可以在战场中进行[FFCC00]移动[-]、[FFCC00]进攻[-]或者[FFCC00]驻守[-]$[FFCC00]移动[-]：点击己方据点或者相邻敌方据点可以进行部队移动。$※移动过程中如果遇到敌方部队，则会进入战斗！$[FFCC00]进攻[-]：进入敌方据点后将会与防守人员进行战斗，当己方进攻人数多于据点防守人数时，非战斗中的部队将会开始[FFCC00]占领据点[-]。$※参与占领的部队数量越多，占领速度越快。$[FFCC00]驻守[-]：进入己方据点后可以开始驻守，成为据点的防御势力。$※若己方据点正在被占领，则会立刻进入战斗，并打断敌方部队的占领！！$$胜利条件：$1.[FFCC00]攻下敌方的大本营！！！[-]$2.战斗结束后，若没有一方的大本营被占领，则以双方占领据点的[FFCC00]积分总和[-]分胜负。$3.未占领大本营且积分相同的情况下，以双方各自总战力分胜负。,54,0
55,战争工坊,[FFCC00]解锁与研发：[-]$$工坊计谋需要解锁才可以研发，满足一定战力且前置计谋达到一定星级则会解锁新计谋，花费材料即可研发新解锁的计谋。$$$[FFCC00]强化与升星：[-]$$研发后的工坊计谋可以对其两项属性分别进行强化，均强化满后即可升星大大提升计谋强度。$$$[FFCC00]工坊重置：[-]$$使用工坊重置券可以重置所有工坊的培养进度，且返还所有消耗的材料。$$$[FFCC00]材料的获取：[-]$$工坊设计图可以在竞技场获取，铁矿和木材可以在活动副本获取，当然也可以在材料商店兑换。$$工坊重置券可以参加活动获得。$$$[FFCC00]计谋设置：[-]$$工坊计谋在战场布阵界面设置，要注意的是新研发的计谋将取代它的前置计谋，所以主公们在研发新计谋前请三思哦。,55,0
56,活动说明,与全区全服的玩家们，共同参与到一场10V10的乱战中！$$================活动规则===============$[FFCC00]备战阶段[-]$在2分钟内，选择己方据点进行驻守，成为该据点的防御势力。$$[FFCC00]战斗阶段[-]$在战场中进行【移动】、【进攻】或者【驻守】$【移动】:点击己方据点或者相邻敌方据点可以进行部队移动。$[cd8b18]※移动过程中如果遇到敌方部队，则会进入战斗！[-]$【进攻】:进入敌方据点后将会与防守人员进行战斗，当己方进攻人数多于据点防守人数时，非战斗中的部队将会开始占领据点。$[cd8b18]※参与占领的部队数量越多，占领速度越快。[-]$【驻守】:进入己方据点后可以开始驻守，成为据点的防御势力。$※[cd8b18]若己方据点正在被占领，则会立刻进入战斗，并打断敌方部队的占领！[-]$$[FFCC00]胜利条件[-]$1.攻下敌方的大本营！$2.战斗结束后，若没有一方的大本营被占领，则以双方积分比决定胜负。$3.未占领大本营且积分相同的情况下，以队伍总战力分胜负。$$================报名方式===============$[FFCC00]立即报名[-]$以个人形式进入匹配队列，系统将会根据你的战力为你分配合适的队友以及对手。$$[FFCC00]加入队伍[-]$查看并加入本服其他玩家创建的队伍，以多人（1-10人）形式进入匹配队列，系统将根据队伍的平均战力，为你们分配合适的队友以及对手。$$[FFCC00]创建队伍[-]$创建一支队伍，并且邀请自己的好友共同战斗！$$================活动奖励===============$[FFCC00]击杀奖励[-]$单场战斗中，每击杀一个对手，可以获得25点荣誉值$击杀拥有连杀记录的玩家，可以额外获得5-15点荣誉值$$[FFCC00]战后奖励[-]$率先夺取敌方大本营或在战斗结束后，比分较高者为胜者！$【胜利方】得到战斗中己方积分等值的荣誉值，并额外获得200点荣誉值$【失败方】得到战斗中己方积分一半的荣誉值，并额外获得100点荣誉值$$[FFCC00]首胜奖励[-]$每位玩家参加活动，并于当日第一次获得胜利时，可额外获得500点荣誉值,56,0
57,队伍列表,加入一支队伍，与本服的同伴一起战斗！$$================组队规则===============$[FFCC00]平均战力[-]$决定战场匹配结果的是队伍的平均战力，因此，如果遇到了低战力的队友，也请不要嫌弃他哦。$$[FFCC00]队伍人数[-]$每支队伍可以加入1-10名玩家，如果你的队伍不足10人而进入了匹配队列，系统将会在全区范围内为你们找寻合适的队友。$$================搜寻队伍===============$如果你知道一支队伍的[cd8b18]【编号】[-]，可以通过[cd8b18]【搜寻队伍】[-]快速地加入这支队伍。,57,0
58,队伍管理,这里的所有成员，将会作为你的队友加入乱战！$$================队长须知===============$[FFCC00]邀请好友[-]$你可以向你的在线好友（战力≥20700）发出组队邀请，与他一起参加战斗！$$[FFCC00]队伍管理[-]$【队长移交】你可以将队长职务转移给你认为更适合担此责任的队员。$【队员移除】如果你认为队伍中有队员不适合参加战斗，可以尝试将他请出队伍。$$[cd8b18]最后，请不要忘了报名！！[-]$$================队员须知===============$[FFCC00]查看信息[-]$等待之余，你可以查看同队其他成员的面板，并与他们互相加为好友。$$[FFCC00]组队聊天[-]$组队聊天只在队伍存在的时候开放，当你结束了一场战斗并离开队伍之后，组队频道将会从聊天面板中消失。,58,0
59,国战,开启时间：\n\n1.国战每两周举行一次\n2.开启前一周的周五9：00开放君主报名及选举\n3.周日12：00根据威望值确定君主\n4.周一12:00开战，周五20:30点结束领取奖励\n\n战斗相关：\n\n1.战斗需要补充兵力并携带攻城器械\n2.兵力由自己的战力决定，战力越高，兵力越多\n3.创建进攻队伍时，有进攻箭头路线指引\n4.君主和都督可设置标记进攻和防守城池\n5.进攻标记城池有保底奖励，告别炮灰\n\n攻城相关：\n\n1.击杀所有驻军或摧毁城防都可获得城池归属权\n2.城池归属权由给予最后一击的阵营获得\n3.攻下城池后，城池内的驻守军将恢复\n4.攻下城池后，城池将恢复一定数量的城防值\n\n资源相关：\n\n1.补充兵力、制造器械、筑城、援兵都需消耗资源\n2.国战资源由所占领的城池定时生产\n3.国战资源也可通过钻石购买，战力越低价格越低\n\n山贼势力：\n\n1.每天的12点和20点，每个国家各刷新1个山贼\n2.己方山贼可剿灭，敌方山贼可结交或援兵\n3.山贼会自动集结10分钟，集结完毕后准备攻城\n4.灭国玩家可选择加入山贼势力，预约加入仅可加入下一次的山贼\n5.加入山贼需消耗50钻石，赠送70/70/110的资源\n\n山贼攻城：\n\n1.山贼自行集结的兵力，会自动攻城\n2.山贼玩家可自行组队攻城，仅可攻打该山贼所攻打的城池\n3.玩家作为山贼势力，购买资源享有[FFCC00]5折优惠[-]！\n4.攻城时间受山贼兵力限制，山贼兵力消耗完之后，则攻城停止\n5.山贼兵力消耗完后若未能下城，则此次攻城失败，可预约加入下一波山贼\n6.若下城成功，则玩家加入该山贼城池，并立即获得300/300/550的资源\n7.当敌方过于强大时，巧妙利用山贼购买资源优惠，合理多刷战功也是一个非常好的选择哦\n\n奖励相关：\n\n1.战功可通过击杀敌军、破坏敌方城防、筑城、扰袭、剿灭己方山贼或援兵敌方山贼等途径获得\n2.国战结算时每座城池给予不同的额外战功加成\n3.战功在国战结束时可以兑换战功券\n4.战功券可在汉献帝处兑换物品或升级战阵,59,0
60,消息,公会信息：公会会长和副会长可以在这里发布信息，字数限制为100字以内。$正确编辑结束后会在公会主界面出现提示特效，请多关注。$$个人信息：他人拜访你的信息在这里显示，并且可以快速的进行回访。$您拜访他人的信息也会在这里显示，提醒您拜访了哪些人还有哪些基友没有拜访。$拜访和被拜访信息保留最近的20条，有新消息时在公会主界面出现提示特效，多多关注哦,60,0
61,天降神兵,[FFCC00]购买：[-]$$每次购买将会买下[FFCC00]5[-]个宝箱的兵书。$购买兵书优先消耗[FFCC00]玉牌[-]，没有玉牌时会消耗钻石。$购买价格一览：$1~5次      240$6~10次    280$11~20次  320$21~40次  380$40次以上 480$使用玉牌购买不计入钻石购买次数$$$[FFCC00]刷新：[-]$$刷新会把未锁定的宝箱内兵书随机替换，每天有[FFCC00]3次免费刷新[-]的机会。$$$[FFCC00]锁定：[-]$$锁定后的宝箱在下一次刷新时不会被刷新掉，但刷新时每锁定一个宝箱需要额外消耗钻石。$[ffa17c]免费刷新次数用完之前锁定不消耗钻石。$$$[-][FFCC00]概率公示：[-]$$铜箱：62%$银箱：29%$金箱：9%,61,0
62,将魂传承,将魂传承简介：$$将魂传承可以将一张五星卡的将魂等级转移到另一张五星卡。并且祭品卡继承两者间较低的将魂等级。$$添加规则：祭品卡和继承卡必须都已解锁将魂系统，并且祭品卡的将魂等级高于继承卡的将魂等级。$$传承规则：继承卡获得两张卡片之间较高的将魂等级，祭品卡获得两张卡片之间较低的将魂等级。并且两张卡的将魂天赋被自动重置。$$将魂传承消耗：$4000钻石/40张传承券$$传承券不足的部分以1张传承券=100钻石的价格补足相应价格的钻石数,62,0
63,战器淬炼,战器淬炼简介：$$淬炼解锁：是战器获得1-2条额外属性，分别可能是1属性、1特效、2属性和1特效+1属性四种情况。$$战器淬炼：把当前加成替换为同一分类的其他加成，例如武力加成可以替换为智力加成， 但是不能替换为特效加成。特效加成同理。并且，在淬炼时，还有可能获得巧夺天工效果，获得远超普通淬炼的高额加成。详细内容可在《查看词条》界面查看$$重置规则：使用重置券可以改变当前词条的分类组合和加成内容，例如，一个单独的武力加成，经过重置后，可能会变为智力加成+开场护盾的两条效果。,63,0
64,兵符主界面,[FFCC00]兵符简介：[-]$$兵符可对当前阵容中5个上阵主将的属性进行加成，并且还有各种套装效果，帮助您征战天下。$$$[FFCC00]兵符获得：[-]$$通过挑战百战之路可获得兵符。$$$[FFCC00]兵符配置：[-]$$兵符位置，每个阵容需要配置1-6号位共6个兵符。请根据阵容的国家和兵种选择最合适的兵符套装。$只有上阵的主将会获得兵符的属性加成，切换多阵容后也需要配置对应的兵符。$$$[FFCC00]兵符加成：[-]$$主属性：$每个兵符都有一条主属性，其中1、3、5号位的主属性是确定的，2、4、6号位的主属性是随机的。速度增加和减少属性只会出现在2号位中。$$副属性：$兵符会有1-4条副属性，品质越高，获得更多副属性的概率越高。$$套装效果：$高级兵符会有2件套效果和4件套效果，需要注意的是，同一个套装效果最多生效一次。$$洗炼：$可以使用洗炼石，将两个同品质兵符的副属性进行交换（包括类型和培养程度）。相同类型的副属性进行洗炼，必定会成功；不同种类的副属性进行洗炼，成功率较低，且失败后会分解祭品兵符。,64,0
65,兵符强化,[FFCC00]兵符强化：[-]$$消耗石精和卡魂可强化兵符，最多强化到+15。兵符强化不会失败，每次强化，都会使兵符主属性获得提升。$$$[FFCC00]兵符修复：[-]$$通过使用陨铁，可以使不满4条副属性的兵符增加其副属性数量。$$$[FFCC00]兵符打磨：[-]$$使用青玉打磨兵符后，会提升随机副属性，更有机会触发大成功，使某条属性直接提升到满值。$$$[FFCC00]材料获得：[-]$$兵符培养所消耗的几种材料都能在百战之路中获得，此外系统商店和一些特殊活动中也能获得。,65,0
66,兵符打磨,[FFCC00]兵符强化：[-]$$消耗石精和卡魂可强化兵符，最多强化到+15。兵符强化不会失败，每次强化，都会使兵符主属性获得提升。$$$[FFCC00]兵符修复：[-]$$通过使用陨铁，可以使不满4条副属性的兵符增加其副属性数量。$$$[FFCC00]兵符打磨：[-]$$使用青玉打磨兵符后，会提升随机副属性，更有机会触发大成功，使某条属性直接提升到满值。,66,0
67,兵符修复,[FFCC00]兵符强化：[-]$$消耗石精和卡魂可强化兵符，最多强化到+15。兵符强化不会失败，每次强化，都会使兵符主属性获得提升。$$$[FFCC00]兵符修复：[-]$$通过使用陨铁，可以使不满4条副属性的兵符增加其副属性数量。$$$[FFCC00]兵符打磨：[-]$$使用青玉打磨兵符后，会提升随机副属性，更有机会触发大成功，使某条属性直接提升到满值。,67,0
68,百战之路,[FFCC00]百战之路：[-]$$通过挑战百战之路，主公们可以获得[FFCC00]兵符[-]、[FFCC00]陨铁[-]和[FFCC00]青玉[-]。$$$[FFCC00]参与活动：[-]$$战力大于[FFCC00]50000[-]的主公都可以参加百战之路。$使用重置功能将使进度返回第一关，可以重新挑战并获得奖励。$对于[FFCC00]历史最佳-5关[-]之前的关卡，玩家可以使用扫荡功能直接获得奖励。$兵符的数量接近[FFCC00]200个[-]时，玩家将无法挑战，扫荡也会自动终止，请清理出空间后再来挑战。$$$[FFCC00]兵符掉落：[-]$$每个关卡中只有一定的概率掉落预览中的高级兵符，还有可能掉落普通的熊符。$扫荡和手动挑战的掉落概率是完全相同的。$$$[FFCC00]挑战次数：[-]$$只有挑战失败会损失挑战次数，使用重置功能后，挑战次数也会恢复。$$$[FFCC00]排行榜：[-]$$每周日24:00会刷新排行榜。,68,0
69,全服团购,[FFCC00]全服团购：[-]$$各位主公可以通过全服团购活动获得想要的奖励，每期活动的奖励均不同，请注意查看。$$$[FFCC00]参与活动：[-]$$全服玩家每购买1次团购奖品，均会统计购买人数，当累计购买人数达到一定的数量时，全服所有玩家均可以领取对应的奖励。多买多得哟~_~。,69,0
70,酒宴规则,[FFCC00]庆典酒宴：[-]$$各位主公可以通过参加酒宴活动获得活动奖励。$$$[FFCC00]活动时间：[-]$$庆典期间每天12-14点。$$[FFCC00]活动规则：[-]$$每天每日只能最多只能参与5次$$每次参加均会获得一定的周年积分奖励。$$酒宴方式有三种，选择的方式不同，获得的奖励也不同。$$每参加1次酒宴，同时增加10个红包领取上限，参加越多，可领取的红包越多。$$每个红包只有前20个人可以领取，先到先得，欢迎各位主公抢夺。$$每次参加酒宴会增加一定的宴会值，宴会值可以缩短系统发放红包的间隔时间，宴会值越高，发放红包的间隔时间越短。$$周年积分可以在周年商店购买其他奖励，或者参加拼图活动，激活新的武将卡。,70,0
101,继承码,$1.用于把指定渠道的帐号转移到当前渠道中$$2.仅可将合作到期的伙伴渠道下的帐号转移$$3.在此处输入指定渠道帐号所获得的继承码并确认$$4.继承后当前帐号下角色会被原渠道下角色覆盖$$5.当前帐号角色战力必须低于20700才能进行继承$$6.每个继承码仅可使用1次，无法重复使用$$7.转移成功后，给主公准备了一份丰厚的礼物,101,0
102,约战,[FFCC00]房间：[-]$$1.您可以输入1-99999中的任意一个数字$2.若房间有人则显示红色标记，无人显示黄色标记$3.您可以把输入的房号告诉好友，约其一起对战$4.您可以选择参加战斗，或观看别人战斗$5.如果房间参战选手已满，您将默认作为观众进入$$[FFCC00]观众：[-]$$1.通过观战按钮进入，会默认作为该房间的观众$2.默认显示当前战力最高的两个观众的头像及名字$$[FFCC00]选手：[-]$$1.每个房间必须有2名选手才能开战$2.必须等两名选手都点击开战按钮后才能进入战斗$3.掉线后重新登录，会退出房间$$[FFCC00]聊天：[-]$$1.【全服】：所有渠道互通，每次消耗5个传音券$2.【约战】：房间内聊天专用，免费且没有cd$3.【弹幕】：战斗中使用的聊天，免费且没有cd$$[FFCC00]邀请：[-]$$1.没有约战伙伴时，您可以点击【发送邀请】按钮$2.发送后，链接会显示在【全服】频道$3.发送邀请免费，有20秒发送cd$4.通过邀请链接仅能进入战力相近的约战房间,102,0
826,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,801
827,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,802
828,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,803
829,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,804
830,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,805
831,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,806
832,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,807
833,战器库,[FFCC00]战器兑换：[-]$消耗荣誉值可以在战器库兑换指定战器。$$[FFCC00]刷新时间：[-]$每周一凌晨0:00点，周四中午12:00（不可手动刷新）$$[FFCC00]荣誉值获得方式：[-]$参与大乱斗活动（每周六、日20:00-21:15）,26,808
1001,巅峰跨服战,巅峰跨服战是安卓、腾讯、APP和越狱的所有玩家一起同台竞技的巅峰之战。,1001,0
1002,演武,$[FFCC00]开放时间：[-]\n$周五：20：30-23：00\n周六：20：30-23：00\n$[FFCC00]基础规则：[-]\n$1.活动每天最多可参加[FFCC00]2次[-]，首次免费\n2.活动每天0点重置\n3.需要先在【演武厅】挑选自己的武将及战器\n4.每轮比赛，[FFCC00]累计失败3场[-]则本轮比赛结束\n5.奖励仅能在[FFCC00]失败3场[-]或[FFCC00]胜满15场[-]之后领取\n6.未主动领取的奖励，会在活动结束时补发邮件\n7.根据达成的胜场数，领取相应的最高胜场宝箱,1002,0
1003,演武厅,$[FFCC00]入口：[-]\n$1.普通入口：\n        每次刷新[FFCC00]4个[-]武将，4选1\n        战斗前可查看对手[FFCC00]2个[-]武将\n2.特权入口：\n        每次刷新[FFCC00]5个[-]武将，5选1\n        战斗前可查看对手[FFCC00]3个[-]武将$$[FFCC00]选择：[-]\n$1.首先选择[FFCC00]10个武将[-]来作为[FFCC00]上阵武将和随从[-]\n2.点击武将[FFCC00]卡片[-]或[FFCC00]头像[-]可以查看武将详情\n3.然后选择[FFCC00]3把[-]战器分配给上阵武将\n4.卡片的养成状态都是统一的\n5.战器没有类型之分，所有武将通用$$[FFCC00]胜负：[-]\n1.根据最高胜场数决定可领取的对应奖励\n2.累计最多失败3次，则活动结束领取对应奖励\n3.胜场达到15场，则活动结束领取最高奖励$$[FFCC00]战斗：[-]\n1.战斗为自动战斗，不能加速或退出\n2.战斗中默认初始士气为4气\n3.掉线不会直接判负，会根据实际胜负情况判定,1003,0
1026,普通周年商店,普通周年商店：$$在四周年期间，玩家可使用周年PT点数兑换周年资源,26,1001
1027,精选周年商店,精选周年商店：$$累计积累一定量的PT点数，才能解锁此商店。商店中会有绝版的天子汉献帝和各种珍稀资源,26,1002
1033,战意,[FFCC00]导师升级：[-]$$1.导师升级需要消耗育之种道具$2.一共10个等级，每级消耗的道具和所需时间不同$$[FFCC00]升级效果：[-]$$1.团队效果武智兵加成提升$2.眩晕和制裁效果的触发几率提高$3.斩杀和破盾的伤害倍率提升$4.献祭效果的持续时间延长$5.第4、7、10级导师外观形象发生变化$6.每升1级永久减少40分钟的武将训练时间$$[FFCC00]武将训练：[-]$$1.仅有5星武将才能被训练$2.每次训练需要消耗训之书$3.初始训练时间为12小时，导师等级越高时间越少$4.训练过程中可以随时取消，全额返还训之书$5.训练完成后可以查看此次训练的效果$6.训练效果可以选择替换或者不替换$$[FFCC00]训练效果：[-]$$1.每次训练会获得一条团队效果和一条个人效果$2.效果仅对上阵武将有效，随从无效$3.团队效果的武智兵加成，符合条件的上阵武将可叠加$4.个人效果中，实际持续时间受智力及将魂影响$5.每条效果都分为普通、稀有、史诗、传说4个品质等级$6.效果的数值和品质及导师等级相关$7.同一战意效果，品质相同的情况下，数值也相同$$[FFCC00]加速相关：[-]$$1.导师升级和武将训练都会消耗道具和时间$2.使用沙之漏道具可以跳过等待时间立刻完成$3.沙之漏道具实际消耗数量和时间有关，时间越少消耗越少,1033,0
2025,积分商店,积分商店：$$在积分活动中获取积分，积分可以在积分商店中购买对应道具。$$积分在积分活动结束后删除。,26,2000
2026,神眷商店,[FFCC00]神眷点兑换：[-]$消耗神眷点可以兑换指定的5星印和稀有金卡。$$[FFCC00]刷新规则：[-]$前四个栏位会定时放出较受欢迎的印，这四个印每日不会刷新，后5个栏位会放出稀有印和金卡，它们会在每日6:00点，14:00点，22:00点刷新（不可手动刷新）,26,2001
3025,神秘商店,[FFCC00]神秘商店：[-]$来自西域的神秘商人，携带了各种物资，且偏爱以物易物，主公们有多余的物资不妨多来看看。$$[FFCC00]刷新时间：[-]$每日0点刷新，随后每4小时刷新一次。（不可手动刷新）,26,3000
1064,白虎石兑换商店,白虎石兑换商店$$活动期间王涵雨将为主公们带来海量特惠商品~主公们快来看看吧！$$每档商品只能兑换一次。$$购买成功后商品会直接添加。,26,4002
1065,纳福商店,纳福商店$$活动期间王涵雨纳福商店将为主公们带来海量特惠商品~主公们快来看看吧！$$每档商品只能兑换一次。$$购买成功后商品会直接添加。,26,4003
1066,纳福商店,纳福商店$$活动期间王涵雨纳福商店将为主公们带来海量特惠商品~主公们快来看看吧！$$每档商品只能兑换一次。$$购买成功后商品会直接添加。,26,4004
1067,纳福商店,纳福商店$$活动期间王涵雨纳福商店将为主公们带来海量特惠商品~主公们快来看看吧！$$每档商品只能兑换一次。$$购买成功后商品会直接添加。,26,4005
1004,科技,[FFCC00]科技系统[-]$$科技系统加成针对于武将兵种。$进阶兵种除本身特性外，仍然继承基础兵种的加成属性。$$消耗科技点进行成长。$科技点来源于普通关卡、精英关卡、游戏商城。$其中精英关卡为主要来源，游戏商城针对账号有购买次数限制。,1004,0
1005,战阵,[FFCC00]战阵系统[-]$$升级战阵可以提升上阵主将属性以及国战兵力上限$$首次消耗500战功券开启。$开启后每次修炼点击消耗100战功券。$修炼可获得战纹、卡魂。$$修炼会有几率暴击，获得翻倍的战纹、卡魂。$战阵等级越高，可翻倍的倍数越大。$一阶战阵不会产生暴击。$$升级到十阶战阵以后，会开启战纹排行榜。$战纹排行榜会在固定时间刷新。$上榜玩家可获得国战兵力的大幅提升。,1005,0
1006,国战竞选,[FFCC00]国战竞选[-]$$帝王实力以上玩家可以参与竞选$$竞选者的战力、保证金分别按不同比例转化为初始威望值$战阵附加威望值，将直接增加到初始威望值中$$每届国战只能报名一次，无法撤销报名，无法更改竞选保金数额$$周日12点威望值最高的玩家当选君主$$竞选失败玩家的保证金将在周日12点后登录国战界面，邮件自动返还$$$$当选君主玩家的竞选保金不会立即返还，被灭国和被弹劾下台的君主将损失所有竞选保金$$国战结束以后，根据本国占城数会发放给当前君主玩家不同的礼包,1006,0
1007,国战投票助威,[FFCC00]国战竞选[-]$$所有参与国战的玩家都可以投票$$投票助威根据投票者的战力高低，会增加被投票者不同数量的威望值$$投票助威可获得卡魂奖励$$自己无法给自己投票$$每人每届只有一票$$[FFCC00]请慎重投票[-],1007,0
1008,官职信息,[FFCC00]君主权限[-]$$1.可设置国战宣言$2.可以委任丞相、都督$3.在本国聊天频道发言时，有特殊显示$4.可给敌方城池设置进攻标记，给本方城池设置防守标记，以及相应的解除目标标记$5.可与第三方势力交互，发布军令援助山贼势力$$[FFCC00]丞相权限[-]$$1.可设置国战宣言$2.在本国聊天频道发言时，有特殊显示$3.可与第三方势力交互，发布军令援助山贼势力$$[FFCC00]都督权限[-]$$1.可设置国战宣言$2.在本国聊天频道发言时，有特殊显示$3.可给敌方城池设置进攻标记，给本方城池设置防守标记，以及相应的解除目标标记$$[FFCC00]弹劾[-]$$1.对本国君主的行为感到不满时，可进行弹劾操作$2.弹劾成功后，依据玩家战力降低君主对应支持率$3.君主的支持率每30分钟统计更新1次$4.支持率低于50%时，君主将下台$5.弹劾或取消弹劾，每小时操作1次，请慎重,1008,0
1009,身份信息,[FFCC00]君主[-]$$国战指挥者，带领全体国民攻城掠地，获取战功$$[FFCC00]丞相[-]$$辅助君主指挥本次国战，主要分担内政相关工作$$[FFCC00]都督[-]$$辅助君主指挥本次国战，主要分担攻守相关事宜$$[FFCC00]国民[-]$$国战的主体人群，攻伐城池的主力军$$[FFCC00]山贼[-]$$被灭国之后的落草人士，一群无组织的不稳定因素,1009,0
1010,跨服竞技场,[FFCC00]赛季信息[-]$每个赛季14天，周日晚22点赛季结算$$[FFCC00]挑战次数[-]$每天凌晨5点刷新10次挑战次数$每天最多可购买5次，每次购买3次挑战机会$$[FFCC00]段位积分[-]$每个赛季初会根据自身战力分配对应的段位积分$每次匹配获胜基础分为50分，失败基础分为40分$实际加分会根据对手和自己的积分差有浮动变化$被挑战时的积分加减情况只有主动挑战积分的一半$$[FFCC00]天命武将[-]$天命武将就是系统中的武将，只是会在该系统中发挥特殊作用$天命武将效果同时包括普通武将和异化武将$天命武将的技能效果或基础属性在该系统得到提升$天命武将每届只有当前的4个会生效$天命武将按照赛季不定期更换，每次4个$$[FFCC00]匹配规则[-]$玩法为大区内全服互通，异步匹配$按照当前段位积分匹配相近积分的玩家$$[FFCC00]胜负场次[-]$布阵界面掉线或退出判负，扣除比赛次数并扣除积分，且不计入任务要求次数$$[FFCC00]胜负场次[-]$青铜段位：0-999分$白银段位：1000-1999$黄金段位：2000-2999$大师段位：3000-3999$至尊段位：4000及以上$$[FFCC00]积分计算[-]$胜场加分，负场减分，退出算负$对手积分越高，战胜获得积分越多，失败后减分较少$被匹配时加减的积分，为主动匹配加减积分的一半$$[FFCC00]防守阵容[-]$跨服竞技场以第5套阵容作为默认的防守阵容$仅有修改第5套阵容，才能在跨服竞技场中生效$进攻阵容不受限制，可以使用任意一套阵容$$[FFCC00]奖励相关[-]$首胜奖励和对战奖励每天重置$段位奖励和排名奖励每个赛季重置$排名奖励十分丰厚，还有专属酷炫头像框哦,1010,0
1011,君主意志,参与[FFCC00]进攻[-]或[FFCC00]防守[-]君主[FFCC00]标记[-]的城池：$$进攻标记城池时有保底战功奖励，避免炮灰0战功$$进攻和防守标记城池都算作有效次数，每达到一定次数有相应奖励$$必须是进攻或防守标记城池且获得战功的有效战斗才能算作任务次数$$防守[FFCC00]系统山贼[-]不会计入任务次数，防守[FFCC00]玩家山贼[-]可正常计算$$战功加成仅在进攻和防守标记城池结算时才有效$$道具奖励将会自动通过邮件发放；$$战功加成在达到任务要求次数后，每场结算时自动生效；,1011,0
