序号,活动id,档位描述,发放模式|0选择|1全发,最大选择数量,奖励1参数1,奖励1参数2,奖励1参数3,奖励2参数1,奖励2参数2,奖励2参数3,奖励3参数1,奖励3参数2,奖励3参数3,奖励4参数1,奖励4参数2,奖励4参数3,奖励5参数1,奖励5参数2,奖励5参数3,奖励6参数1,奖励6参数2,奖励6参数3,奖励7参数1,奖励7参数2,奖励7参数3
1074,1571,累计购买兵书{0}次,1,0,53,1,2,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,1571,累计购买兵书{0}次,1,0,52,302 1 0,1,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,1571,累计购买兵书{0}次,1,0,52,302 1 0,1,29,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,1571,累计购买兵书{0}次,1,0,52,201 1 0,1,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,1572,充值达到{0}钻石,1,0,13,1,400,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,1573,累计登录达到{0}天,1,0,2,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,1573,累计登录达到{0}天,1,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,1573,累计登录达到{0}天,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,1573,累计登录达到{0}天,1,0,1,34 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,1573,累计登录达到{0}天,1,0,1,14 1 0,1,1,347 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,1574,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,1575,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,1576,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,1577,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,1578,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,1579,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,1580,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,1581,充值达到{0}钻石,1,0,29,1,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,1582,累计190精选抽卡{0}次,1,0,29,1,5,2,1,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,1582,累计190精选抽卡{0}次,1,0,28,1,150,23,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,1582,累计190精选抽卡{0}次,1,0,29,1,50,16,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1582,累计190精选抽卡{0}次,1,0,53,1,15,1,7006 1 0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,1583,累计购买兵书{0}次,1,0,53,1,2,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,1583,累计购买兵书{0}次,1,0,52,302 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,1583,累计购买兵书{0}次,1,0,52,301 1 0,1,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,1583,累计购买兵书{0}次,1,0,52,201 1 0,1,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,1584,充值达到{0}钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,1585,充值达到{0}钻石,1,0,13,1,400,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,1586,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,1587,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,1588,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,1589,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,1590,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,1591,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,1592,充值达到{0}钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,1593,累计60钻抽卡[fedc6f]{0}[-]次,1,0,23,1,6,28,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,1593,累计60钻抽卡[fedc6f]{0}[-]次,1,0,26,1,5,13,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,1593,累计60钻抽卡[fedc6f]{0}[-]次,1,0,29,1,10,16,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,1593,累计60钻抽卡[fedc6f]{0}[-]次,1,0,1,7006 1 0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,1594,累计购买兵书[fedc6f]{0}[-]次,1,0,28,1,20,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,1594,累计购买兵书[fedc6f]{0}[-]次,1,0,52,305 1 0,1,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,1594,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,1594,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,5004,充值达到[fedc6f]{0}[-]钻石,1,0,52,306 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,5004,充值达到[fedc6f]{0}[-]钻石,1,0,52,302 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,5004,充值达到[fedc6f]{0}[-]钻石,1,0,52,301 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,1595,充值达到[fedc6f]{0}[-]钻石,1,0,13,1,400,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,1596,充值达到[fedc6f]{0}[-]钻石,1,0,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,1597,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,1598,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,1599,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,1600,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,1601,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,1602,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,1603,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,1604,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,1605,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,1606,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,1607,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,1608,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,1609,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,1610,充值达到[fedc6f]{0}[-]钻石,0,1,29,1,6,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,1611,累计190精选抽卡[fedc6f]{0}[-]次,1,0,29,1,5,2,1,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,1611,累计190精选抽卡[fedc6f]{0}[-]次,1,0,28,1,150,23,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,1611,累计190精选抽卡[fedc6f]{0}[-]次,1,0,29,1,50,16,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,1611,累计190精选抽卡[fedc6f]{0}[-]次,1,0,1,7006 1 0,5,13,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,1612,累计购买兵书[fedc6f]{0}[-]次,1,0,53,1,2,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,1612,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,1612,累计购买兵书[fedc6f]{0}[-]次,1,0,52,301 1 0,1,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,1612,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,1613,充值达到[fedc6f]{0}[-]钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,1614,充值达到[fedc6f]{0}[-]钻石,1,0,13,1,400,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,1615,累计消耗达到[fedc6f]{0}[-]钻石,1,0,29,1,10,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,1616,累计60钻抽卡[fedc6f]{0}[-]次,1,0,34,1,1,28,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,1616,累计60钻抽卡[fedc6f]{0}[-]次,1,0,26,1,5,13,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,1616,累计60钻抽卡[fedc6f]{0}[-]次,1,0,29,1,10,16,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,1616,累计60钻抽卡[fedc6f]{0}[-]次,1,0,1,7006 1 0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,1617,累计购买兵书[fedc6f]{0}[-]次,1,0,28,1,20,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,1617,累计购买兵书[fedc6f]{0}[-]次,1,0,52,305 1 0,1,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,1617,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,1617,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,1618,充值达到[fedc6f]{0}[-]钻石,1,0,5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,1618,充值达到[fedc6f]{0}[-]钻石,1,0,5,1,2000,53,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,1618,充值达到[fedc6f]{0}[-]钻石,1,0,5,1,3000,13,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,1618,充值达到[fedc6f]{0}[-]钻石,1,0,1,7006 1 0,3,16,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,1618,充值达到[fedc6f]{0}[-]钻石（二选一）,0,1,1,435 1 0,1,1,436 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,1618,充值达到[fedc6f]{0}[-]钻石（二选一）,0,1,1,435 1 0,1,1,436 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,1619,累计登录达到[fedc6f]{0}[-]天,1,0,2,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,1619,累计登录达到[fedc6f]{0}[-]天,1,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,1619,累计登录达到[fedc6f]{0}[-]天,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,1619,累计登录达到[fedc6f]{0}[-]天,1,0,1,246 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,1619,累计登录达到[fedc6f]{0}[-]天,1,0,1,8 1 0,1,1,330 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,1620,充值达到[fedc6f]{0}[-]钻石（二选一）,0,1,13,1,500,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,1621,充值消耗[fedc6f]{0}[-]钻石,1,0,28,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,1622,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,1623,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,1624,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,1625,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,1626,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,1627,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,1628,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,1629,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,1630,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,1631,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,1632,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,1633,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,1634,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,1635,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,1636,累计190精选抽卡[fedc6f]{0}[-]次,1,0,29,1,5,2,1,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,1636,累计190精选抽卡[fedc6f]{0}[-]次,1,0,28,1,150,23,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,1636,累计190精选抽卡[fedc6f]{0}[-]次,1,0,29,1,50,16,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,1636,累计190精选抽卡[fedc6f]{0}[-]次,1,0,1,7006 1 0,5,13,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,1637,累计购买兵书[fedc6f]{0}[-]次,1,0,53,1,2,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,1637,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,1637,累计购买兵书[fedc6f]{0}[-]次,1,0,52,301 1 0,1,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,1637,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,1638,充值达到[fedc6f]{0}[-]钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1639,充值达到[fedc6f]{0}[-]钻石（循环）,1,0,13,1,300,23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,1640,累计消耗达到[fedc6f]{0}[-]钻石（循环）,1,0,36,1,500,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,1641,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,1642,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,1643,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1644,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,1645,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,1646,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,1647,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,1648,累计60钻抽卡[fedc6f]{0}[-]次,1,0,34,1,1,28,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,1648,累计60钻抽卡[fedc6f]{0}[-]次,1,0,26,1,5,13,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,1648,累计60钻抽卡[fedc6f]{0}[-]次,1,0,29,1,10,16,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1648,累计60钻抽卡[fedc6f]{0}[-]次,1,0,1,7006 1 0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,1649,累计购买兵书[fedc6f]{0}[-]次,1,0,28,1,20,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,1649,累计购买兵书[fedc6f]{0}[-]次,1,0,52,305 1 0,1,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,1649,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,1649,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,1650,充值达到[fedc6f]{0}[-]钻石（循环）,1,0,13,1,300,1,247 1 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,1651,累计消耗达到[fedc6f]{0}[-]钻石（循环）,1,0,36,1,500,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,1652,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,1653,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,1654,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,1655,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,1656,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,1657,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,1658,充值达到[fedc6f]{0}[-]钻石,1,0,53,1,1,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,1659,累计190精选抽卡[fedc6f]{0}[-]次,1,0,28,1,100,53,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,1659,累计190精选抽卡[fedc6f]{0}[-]次,1,0,34,1,6,16,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,1659,累计190精选抽卡[fedc6f]{0}[-]次,1,0,29,1,50,16,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,1659,累计190精选抽卡[fedc6f]{0}[-]次,1,0,23,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,1660,累计购买兵书[fedc6f]{0}[-]次,1,0,53,1,2,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,1660,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,1660,累计购买兵书[fedc6f]{0}[-]次,1,0,52,301 1 0,1,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,1660,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,1,7006 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225,1661,充值达到[fedc6f]{0}[-]钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,1662,充值达到[fedc6f]{0}[-]钻石（循环）,1,0,1,7006 1 0,1,5,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,940,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,940,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,940,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,941,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,941,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,941,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,942,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,942,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,942,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,943,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,943,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,943,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,944,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,944,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,944,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,945,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,945,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,945,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,946,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,946,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,946,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,947,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,947,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,947,累计充值达到[fedc6f]{0}[-]钻石,1,0,5,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,1670,累计60钻抽卡[fedc6f]{0}[-]次,1,0,53,1,2,28,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,1670,累计60钻抽卡[fedc6f]{0}[-]次,1,0,1,7006 1 0,1,13,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,1670,累计60钻抽卡[fedc6f]{0}[-]次,1,0,29,1,10,16,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,1670,累计60钻抽卡[fedc6f]{0}[-]次,1,0,23,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,1671,累计购买兵书[fedc6f]{0}[-]次,1,0,28,1,20,29,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,1671,累计购买兵书[fedc6f]{0}[-]次,1,0,52,305 1 0,1,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,1671,累计购买兵书[fedc6f]{0}[-]次,1,0,52,306 1 0,1,29,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,1671,累计购买兵书[fedc6f]{0}[-]次,1,0,52,201 1 0,1,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,1672,充值达到[fedc6f]{0}[-]钻石（循环）,1,0,23,1,10,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,1673,累计消耗达到[fedc6f]{0}[-]钻石（循环）,1,0,13,1,300,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
