序号,战器类型,战器品质,子类型,等级,消耗卡魂,材料类型,材料数量,目标战器ID,专属武将,三维加成,加成被动ID,加成被动等级,名字,图标,介绍
id,nType,nQuality,nSubType,nLevel,nCostSoul,nMaterialType,nMaterialValue,nTarCsvID,arrTargets,arrBaseEnhance,arrPassiveIDs,arrPassiveLevs,strName,strSprite,strDesc11
int,int,int,int,int,int,int,int,int,int[10],float[10],int[10],int[10],string,string,string
71,3,4,24,2,450000,23,30,0,35|419|420|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·魑魅,CommonSpear08_Tex,魑魅，山林异气所生，为人害者，形似猛兽，力大无比。“魑魅”与“魍魉”乃同时所铸，皆为凶器。\n【文丑所属】
72,3,4,24,3,1000000,23,50,0,35|419|420|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,9|17|10|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·魑魅,CommonSpear08_Tex,魑魅，山林异气所生，为人害者，形似猛兽，力大无比。“魑魅”与“魍魉”乃同时所铸，皆为凶器。\n【文丑所属】
73,1,4,25,1,200000,24,20,0,57|326|527|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,金刚断,CommonKnife06_Tex,黄盖姿貌威严，善于养众，手持大刀金刚断，披甲转战南北，冒死攻城略地。\n【黄盖所属】
74,1,4,25,2,450000,24,30,0,57|326|527|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·金刚断,CommonKnife06_Tex,黄盖姿貌威严，善于养众，手持大刀金刚断，披甲转战南北，冒死攻城略地。\n【黄盖所属】
75,1,4,25,3,1000000,24,50,0,57|326|527|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,9|9|9|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·金刚断,CommonKnife06_Tex,黄盖姿貌威严，善于养众，手持大刀金刚断，披甲转战南北，冒死攻城略地。\n【黄盖所属】
76,2,4,26,1,200000,25,20,0,316|411|412|461|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,龙鳞剑,CommonSword08_Tex,曹丕所制，状如龙文，名曰龙鳞。不逢不若，永世宝持。利用卫身，以威弗治。\n【曹丕所属】
77,2,4,26,2,450000,25,30,0,316|411|412|461|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·龙鳞剑,CommonSword08_Tex,曹丕所制，状如龙文，名曰龙鳞。不逢不若，永世宝持。利用卫身，以威弗治。\n【曹丕所属】
78,2,4,26,3,1000000,25,50,0,316|411|412|461|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|12|12|12|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·龙鳞剑,CommonSword08_Tex,曹丕所制，状如龙文，名曰龙鳞。不逢不若，永世宝持。利用卫身，以威弗治。\n【曹丕所属】
79,3,4,27,1,200000,26,20,0,6|268|269|1268|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,白虎银枪,CommonSpear08_Tex,传说中蕴含白虎之力的神枪。白虎者，岁中凶神也，镇西方，主杀伐，乃战事之神。\n【孙权所属】
80,3,4,27,2,450000,26,30,0,6|268|269|1268|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·白虎银枪,CommonSpear08_Tex,传说中蕴含白虎之力的神枪。白虎者，岁中凶神也，镇西方，主杀伐，乃战事之神。\n【孙权所属】
81,3,4,27,3,1000000,26,50,0,6|268|269|1268|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|18|17|18|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·白虎银枪,CommonSpear08_Tex,传说中蕴含白虎之力的神枪。白虎者，岁中凶神也，镇西方，主杀伐，乃战事之神。\n【孙权所属】
82,1,4,28,1,200000,27,20,0,61|0|0|0|0|0|0|0|0|0,18|0|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,百兽猎刃,CommonKnife05_Tex,丛林之王的荣耀，锋利而灵巧的猎刃，百兽不敌。他们是猎物，而我才是猎人！\n【孟获所属】
83,1,4,28,2,450000,27,30,0,61|0|0|0|0|0|0|0|0|0,45|0|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·百兽猎刃,CommonKnife05_Tex,丛林之王的荣耀，锋利而灵巧的猎刃，百兽不敌。他们是猎物，而我才是猎人！\n【孟获所属】
84,1,4,28,3,1000000,27,50,0,61|0|0|0|0|0|0|0|0|0,90|0|0|0|0|0|0|0|0|0,10|-1|-1|-1|-1|-1|-1|-1|-1|-1,1|0|0|0|0|0|0|0|0|0,极·百兽猎刃,CommonKnife05_Tex,丛林之王的荣耀，锋利而灵巧的猎刃，百兽不敌。他们是猎物，而我才是猎人！\n【孟获所属】
85,2,4,29,1,200000,28,20,0,250|0|0|0|0|0|0|0|0|0,18|0|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,玲珑之心,CommonSword07_Tex,心若冰清，天塌不惊；万变犹定，神怡气静；水流心不惊，云在意俱迟；一心不赘物，古今自逍遥！\n【卞夫人所属】
86,2,4,29,2,450000,28,30,0,250|0|0|0|0|0|0|0|0|0,45|0|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·玲珑之心,CommonSword07_Tex,心若冰清，天塌不惊；万变犹定，神怡气静；水流心不惊，云在意俱迟；一心不赘物，古今自逍遥！\n【卞夫人所属】
87,2,4,29,3,1000000,28,50,0,250|0|0|0|0|0|0|0|0|0,90|0|0|0|0|0|0|0|0|0,0|-1|-1|-1|-1|-1|-1|-1|-1|-1,1|0|0|0|0|0|0|0|0|0,极·玲珑之心,CommonSword07_Tex,心若冰清，天塌不惊；万变犹定，神怡气静；水流心不惊，云在意俱迟；一心不赘物，古今自逍遥！\n【卞夫人所属】
88,4,4,30,1,200000,29,20,0,9|276|277|1276|69|403|404|0|0|0,18|36|36|36|18|36|36|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,虎扑弓,CommonBow06_Tex,英雄虎争，一时豪杰志义之士，礌礌落落，皆非后人所能冀。\n【太史慈、吕蒙所属】
89,4,4,30,2,450000,29,30,0,9|276|277|1276|69|403|404|0|0|0,45|90|90|90|45|90|90|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·虎扑弓,CommonBow06_Tex,英雄虎争，一时豪杰志义之士，礌礌落落，皆非后人所能冀。\n【太史慈、吕蒙所属】
90,4,4,30,3,1000000,29,50,0,9|276|277|1276|69|403|404|0|0|0,90|180|180|180|90|180|180|0|0|0,10|17|16|17|12|19|10|-1|-1|-1,1|1|1|1|1|1|1|0|0|0,极·虎扑弓,CommonBow06_Tex,英雄虎争，一时豪杰志义之士，礌礌落落，皆非后人所能冀。\n【太史慈、吕蒙所属】
91,3,4,31,1,200000,30,20,0,15|431|432|1431|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,蚩尤重戟,CommonSpear06_Tex,铁戟双提八十斤，威风凛凛镇乾坤。欲将英杰从头数，惟说当年有典韦。\n【典韦所属】
92,3,4,31,2,450000,30,30,0,15|431|432|1431|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·蚩尤重戟,CommonSpear06_Tex,铁戟双提八十斤，威风凛凛镇乾坤。欲将英杰从头数，惟说当年有典韦。\n【典韦所属】
93,3,4,31,3,1000000,30,50,0,15|431|432|1431|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,9|19|10|19|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·蚩尤重戟,CommonSpear06_Tex,铁戟双提八十斤，威风凛凛镇乾坤。欲将英杰从头数，惟说当年有典韦。\n【典韦所属】
94,5,4,32,1,200000,31,20,0,34|320|321|77|356|357|1320|1321|1357|0,18|36|36|18|36|36|36|36|36|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,月下美人,CommonFan06_Tex,南风有翼 夜景阑珊 月下沉吟谁念。纵使无边江山，又怎及今夜美人一笑？\n【貂蝉、甄姬所属】
95,5,4,32,2,450000,31,30,0,34|320|321|77|356|357|1320|1321|1357|0,45|90|90|45|90|90|90|90|90|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·月下美人,CommonFan06_Tex,南风有翼 夜景阑珊 月下沉吟谁念。纵使无边江山，又怎及今夜美人一笑？\n【貂蝉、甄姬所属】
96,5,4,32,3,1000000,31,50,0,34|320|321|77|356|357|1320|1321|1357|0,90|180|180|90|180|180|180|180|180|0,5|5|5|5|5|5|5|5|5|-1,1|1|1|1|1|1|1|1|1|0,极·月下美人,CommonFan06_Tex,南风有翼 夜景阑珊 月下沉吟谁念。纵使无边江山，又怎及今夜美人一笑？\n【貂蝉、甄姬所属】
97,4,4,33,1,200000,32,20,0,28|309|310|1309|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,黄天之弓,CommonBow08_Tex,中黄太一所赐神弓，以黄天之力，取代苍天，朝于中极，受符而行，周流洞达六方八远，无穷时也。\n【张角所属】
98,4,4,33,2,450000,32,30,0,28|309|310|1309|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·黄天之弓,CommonBow08_Tex,中黄太一所赐神弓，以黄天之力，取代苍天，朝于中极，受符而行，周流洞达六方八远，无穷时也。\n【张角所属】
99,4,4,33,3,1000000,32,50,0,28|309|310|1309|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,6|6|18|6|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·黄天之弓,CommonBow08_Tex,中黄太一所赐神弓，以黄天之力，取代苍天，朝于中极，受符而行，周流洞达六方八远，无穷时也。\n【张角所属】
100,1,4,34,1,200000,33,20,0,21|272|273|1272|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,七星刀,CommonKnife08_Tex,干将莫邪铸成后剩余的陨铁所铸，原属王允，后被曹操借去行刺董卓，引起光彩夺目，惊醒了董卓而失败。\n【董卓所属】
101,1,4,34,2,450000,33,30,0,21|272|273|1272|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·七星刀,CommonKnife08_Tex,干将莫邪铸成后剩余的陨铁所铸，原属王允，后被曹操借去行刺董卓，引起光彩夺目，惊醒了董卓而失败。\n【董卓所属】
102,1,4,34,3,1000000,33,50,0,21|272|273|1272|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|18|16|18|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·七星刀,CommonKnife08_Tex,干将莫邪铸成后剩余的陨铁所铸，原属王允，后被曹操借去行刺董卓，引起光彩夺目，惊醒了董卓而失败。\n【董卓所属】
103,1,4,1,4,2000000,0,100,6153001,2|285|286|1285|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,10|16|17|16|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·青龙偃月刀,CommonKnife05_Tex,诛颜良、斩文丑、过五关、杀六将，只有在关二爷手里，青龙偃月刀才能发挥他真正的实力。\n【关羽所属】
104,1,4,2,4,2000000,1,100,6153001,14|348|349|1348|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,9|16|17|16|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·古锭刀,CommonKnife06_Tex,孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，挥军直杀。人与刀，皆似猛虎。\n【孙坚所属】
105,2,4,3,4,2000000,2,100,6253001,1|256|257|1256|1257|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,12|18|15|18|15|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·倚天剑,CommonSword08_Tex,与“青釭”并称“绝世双剑”。倚天镇威，青釭杀人，二者皆为曹操所有。\n【曹操所属】
106,2,4,4,4,2000000,3,100,6253001,1|256|257|4|305|306|1305|1256|1257|0,162|288|288|162|288|288|288|288|288|0,12|12|12|10|17|19|17|12|12|-1,2|2|2|2|2|2|2|2|2|0,绝·青釭剑,CommonSword05_Tex,曹操有宝剑名“青釭”，砍铁如泥，锋利无比。与长坂坡一战时，被赵云夺去，成就子龙单骑救主之名。\n【曹操、赵云所属】
107,2,4,5,4,2000000,4,100,6253001,18|264|265|252|1264|1265|0|0|0|0,162|288|288|162|288|288|0|0|0|0,12|16|18|12|16|18|-1|-1|-1|-1,2|2|2|2|2|2|0|0|0|0,绝·雌雄双股剑,CommonSword06_Tex,又名鸳鸯剑，鸳剑长三尺七寸，鸯剑长三尺四寸，利可断金，为刘备所有，后传于刘禅。\n【刘备、刘禅所属】
108,3,4,6,4,2000000,5,100,6353001,19|260|261|44|382|383|1260|1383|1382|0,162|288|288|162|288|288|288|288|288|0,10|19|15|3|5|1|19|1|5|-1,2|2|2|2|2|2|2|2|2|0,绝·方天画戟,CommonSpear05_Tex,吕布年少英俊，白面无须，手持方天画戟，纵横驰骋，英勇无敌。\n【吕布、吕玲绮所属】
109,3,4,7,4,2000000,6,100,6353001,22|324|325|0|0|0|0|0|0|0,162|288|288|0|0|0|0|0|0|0,10|17|19|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·丈八蛇矛,CommonSpear07_Tex,燕人张翼德，手执一支丈八蛇矛，纵横沙场，转战南北，在百万军中取敌首级，犹如探囊取物。\n【张飞所属】
110,3,4,8,4,2000000,7,100,6353001,13|338|339|1339|1338|434|487|0|0|0,162|288|288|288|288|162|288|0|0|0,10|17|2|2|17|5|5|-1|-1|-1,2|2|2|2|2|2|2|0|0|0,绝·龙骑枪,CommonSpear08_Tex,马超手持龙骑枪，于渭水六战，杀得曹操割须弃袍，险些丧命，堪比赵云长坂坡之勇。\n【马超、马云禄所属】
111,3,4,9,4,2000000,8,100,6353001,11|342|343|1342|1343|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,10|16|17|16|17|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·霸王枪,CommonSpear06_Tex,西楚霸王使用天降陨石，历经九天九夜所铸之枪，名曰“霸王”。总觉得不太吉利呢……\n【孙策所属】
112,4,4,10,4,2000000,9,100,6453001,3|289|290|67|398|399|1289|1399|0|0,162|288|288|162|288|288|288|288|0|0,6|6|15|6|6|12|6|12|-1|-1,2|2|2|2|2|2|2|2|0|0,绝·诸葛连弩,CommonBow07_Tex,诸葛亮与黄月英所制连弩，一弩十矢连发，制工精巧，威力异常。\n【诸葛亮、黄月英所属】
113,4,4,11,4,2000000,10,100,6453001,19|260|261|206|378|379|1260|1379|1378|0,162|288|288|162|288|288|288|288|288|0,10|10|10|10|5|5|10|5|5|-1,2|2|2|2|2|2|2|2|2|0,绝·龙舌弓,CommonBow08_Tex,弓弦以龙筋所制，精度非常。吕布用之辕门射戟，技惊四座，平息了一场干戈。\n【吕布、吕姬所属】
114,5,4,12,4,2000000,11,100,6553001,3|289|290|1289|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|6|18|6|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·朱雀羽扇,CommonFan05_Tex,传说使用朱雀的尾羽制成的宝扇，蕴含着朱雀之力。丹穴化生，碧雷流响，奇彩五色，神仪六象。\n【诸葛亮所属】
115,5,4,13,4,2000000,12,100,6553001,74|46|466|478|0|0|0|0|0|0,162|162|288|288|0|0|0|0|0|0,5|5|18|5|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·流离天香,CommonFan07_Tex,乔家有二女，皆有沉鱼落雁之容，善通音律与诗文，并舞一曲，实乃流离天香。\n【大乔、小乔所属】
116,5,4,14,4,2000000,13,100,6553001,246|251|483|537|0|0|0|0|0|0,162|162|288|288|0|0|0|0|0|0,12|6|6|6|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·冥天符,CommonFan08_Tex,蕴含天照大神之力的神符，持之可使鬼道，以妖惑众。\n【卑弥呼、于吉所属】
117,5,4,15,4,2000000,14,100,6553001,55|445|446|1445|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,2|18|16|18|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·玄武折扇,CommonFan07_Tex,传说中蕴含玄武真君之力的折扇。春夏之交，玄武升起，镇北方，乃司命之神。\n【鲁肃所属】
118,2,4,16,4,2000000,15,100,6253001,25|16|407|408|457|458|1458|0|0|0,162|162|288|288|288|288|288|0|0|0,2|2|12|15|2|5|5|-1|-1|-1,2|2|2|2|2|2|2|0|0|0,绝·弱水剑,CommonSword05_Tex,曹操所赐佩剑，刃如水镜，可映幻象，据说能斩妖除魔，有辟邪之效。与倚天剑放在一起，互相辉映，光彩夺目。\n【郭嘉、荀彧所属】
119,4,4,17,4,2000000,16,100,6453001,23|427|428|0|0|0|0|0|0|0,162|288|288|0|0|0|0|0|0|0,2|18|9|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·惊凰弓,CommonBow06_Tex,传说中可以召唤神鸟凤凰的神弓。角弓鸣响，四座皆惊，梧桐树下，凰起凤来。\n【庞统所属】
120,5,4,18,4,2000000,17,100,6553001,5|293|294|27|373|374|1293|1373|1374|0,162|288|288|162|288|288|288|288|288|0,2|2|18|6|6|12|2|6|12|-1,2|2|2|2|2|2|2|2|2|0,绝·穷奇羽扇,CommonFan05_Tex,传说中以凶兽穷奇之羽所制羽扇，蕴含毁灭之力。西北有兽焉，状似虎，有翼能飞，便剿食人，知人言语，是为凶兽穷奇。\n【司马懿、贾诩所属】
121,3,4,19,4,2000000,18,100,6353001,8|334|335|1334|1335|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,10|10|19|10|19|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·沧月,CommonSpear07_Tex,文远轻捷如飞，独舞铁枪，挺身陷阵，万人辟易。沧风逐月，如蛟龙出海。\n【张辽所属】
122,2,4,20,4,2000000,19,100,6253001,26|424|423|1424|1423|0|0|0|0|0,216|288|288|288|288|0|0|0|0|0,14|19|16|19|16|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·燕回闪,CommonSword07_Tex,轻灵小巧的双兵器，挥舞之间细致绵密，滴水不漏，一招一式似有国士之风。\n【凌统所属】
123,4,4,21,4,2000000,20,100,6453001,10|297|298|12|360|361|1297|1361|0|0,162|288|288|162|288|288|288|288|0|0,6|6|18|2|6|15|6|15|-1|-1,2|2|2|2|2|2|2|2|0|0,绝·龙吟弓,CommonBow05_Tex,箭出之时，四方皆寂，唯弓弦之音如虎啸龙吟，破空而出，山鸣谷应，响遏行云。\n【周瑜、陆逊所属】
124,1,4,22,4,2000000,21,100,6153001,7|313|314|1313|1314|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,10|10|19|10|19|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·破军斩,CommonKnife07_Tex,元让身怀破军之勇，先破后立。冲锋陷阵，争奋破坏，损兵折将，在所不惜。\n【夏侯惇所属】
125,3,4,23,4,2000000,22,100,6353001,315|386|387|462|1386|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,1|18|16|16|18|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·若麒麟牙,CommonSpear08_Tex,龙为帝王，麒麟为相。君王得道，麒麟相辅，则国泰民安。只是这只麒麟尚且年幼……\n【姜维所属】
126,3,4,24,4,2000000,23,100,6353001,35|419|420|0|0|0|0|0|0|0,162|288|288|0|0|0|0|0|0|0,9|17|10|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·魑魅,CommonSpear08_Tex,魑魅，山林异气所生，为人害者，形似猛兽，力大无比。“魑魅”与“魍魉”乃同时所铸，皆为凶器。\n【文丑所属】
127,1,4,25,4,2000000,24,100,6153001,57|326|527|0|0|0|0|0|0|0,162|162|288|0|0|0|0|0|0|0,9|9|9|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·金刚断,CommonKnife06_Tex,黄盖姿貌威严，善于养众，手持大刀金刚断，披甲转战南北，冒死攻城略地。\n【黄盖所属】
128,2,4,26,4,2000000,25,100,6253001,316|411|412|461|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|12|12|12|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·龙鳞剑,CommonSword08_Tex,曹丕所制，状如龙文，名曰龙鳞。不逢不若，永世宝持。利用卫身，以威弗治。\n【曹丕所属】
129,3,4,27,4,2000000,26,100,6353001,6|268|269|1268|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|18|17|18|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·白虎银枪,CommonSpear08_Tex,传说中蕴含白虎之力的神枪。白虎者，岁中凶神也，镇西方，主杀伐，乃战事之神。\n【孙权所属】
130,1,4,28,4,2000000,27,100,6153001,61|0|0|0|0|0|0|0|0|0,162|0|0|0|0|0|0|0|0|0,10|-1|-1|-1|-1|-1|-1|-1|-1|-1,2|0|0|0|0|0|0|0|0|0,绝·百兽猎刃,CommonKnife05_Tex,丛林之王的荣耀，锋利而灵巧的猎刃，百兽不敌。他们是猎物，而我才是猎人！\n【孟获所属】
131,2,4,29,4,2000000,28,100,6253001,250|0|0|0|0|0|0|0|0|0,162|0|0|0|0|0|0|0|0|0,0|-1|-1|-1|-1|-1|-1|-1|-1|-1,2|0|0|0|0|0|0|0|0|0,绝·玲珑之心,CommonSword07_Tex,心若冰清，天塌不惊；万变犹定，神怡气静；水流心不惊，云在意俱迟；一心不赘物，古今自逍遥！\n【卞夫人所属】
132,4,4,30,4,2000000,29,100,6453001,9|276|277|1276|69|403|404|0|0|0,162|288|288|288|162|288|288|0|0|0,10|17|16|17|12|19|10|-1|-1|-1,2|2|2|2|2|2|2|0|0|0,绝·虎扑弓,CommonBow06_Tex,英雄虎争，一时豪杰志义之士，礌礌落落，皆非后人所能冀。\n【太史慈、吕蒙所属】
133,3,4,31,4,2000000,30,100,6353001,15|431|432|1431|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,9|19|10|19|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·蚩尤重戟,CommonSpear06_Tex,铁戟双提八十斤，威风凛凛镇乾坤。欲将英杰从头数，惟说当年有典韦。\n【典韦所属】
134,5,4,32,4,2000000,31,100,6553001,34|320|321|77|356|357|1320|1321|1357|0,162|288|288|162|288|288|288|288|288|0,5|5|5|5|5|5|5|5|5|-1,2|2|2|2|2|2|2|2|2|0,绝·月下美人,CommonFan06_Tex,南风有翼 夜景阑珊 月下沉吟谁念。纵使无边江山，又怎及今夜美人一笑？\n【貂蝉、甄姬所属】
135,4,4,33,4,2000000,32,100,6453001,28|309|310|1309|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,6|6|18|6|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·黄天之弓,CommonBow08_Tex,中黄太一所赐神弓，以黄天之力，取代苍天，朝于中极，受符而行，周流洞达六方八远，无穷时也。\n【张角所属】
136,1,4,34,4,2000000,33,100,6153001,21|272|273|1272|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|18|16|18|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·七星刀,CommonKnife08_Tex,干将莫邪铸成后剩余的陨铁所铸，原属王允，后被曹操借去行刺董卓，引起光彩夺目，惊醒了董卓而失败。\n【董卓所属】
137,4,4,35,1,200000,34,20,0,24|367|368|1367|245|470|535|0|0|0,18|36|36|36|18|36|36|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,黄杨大弓,CommonBow08_Tex,头通鼓、战饭造，二通鼓、紧战袍；三通鼓、刀出鞘，四通鼓、把兵交。我的儿啊！你不来便罢，你若来时，一箭刺你于马下。【黄忠、黄舞蝶所属】
138,4,4,35,2,450000,34,30,0,24|367|368|1367|245|470|535|0|0|0,45|90|90|90|45|90|90|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·黄杨大弓,CommonBow08_Tex,头通鼓、战饭造，二通鼓、紧战袍；三通鼓、刀出鞘，四通鼓、把兵交。我的儿啊！你不来便罢，你若来时，一箭刺你于马下。【黄忠、黄舞蝶所属】
139,4,4,35,3,1000000,34,50,0,24|367|368|1367|245|470|535|0|0|0,90|180|180|180|90|180|180|0|0|0,10|10|17|10|10|10|10|-1|-1|-1,1|1|1|1|1|1|1|0|0|0,极·黄杨大弓,CommonBow08_Tex,头通鼓、战饭造，二通鼓、紧战袍；三通鼓、刀出鞘，四通鼓、把兵交。我的儿啊！你不来便罢，你若来时，一箭刺你于马下。【黄忠、黄舞蝶所属】
140,4,4,35,4,2000000,34,100,6453001,24|367|368|1367|245|470|535|0|0|0,162|288|288|288|162|288|288|0|0|0,10|10|17|10|10|10|10|-1|-1|-1,2|2|2|2|2|2|2|0|0|0,绝·黄杨大弓,CommonBow08_Tex,头通鼓、战饭造，二通鼓、紧战袍；三通鼓、刀出鞘，四通鼓、把兵交。我的儿啊！你不来便罢，你若来时，一箭刺你于马下。【黄忠、黄舞蝶所属】
141,3,4,36,1,200000,35,20,0,49|390|391|1390|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,摧城枪,CommonSpear06_Tex,银鞍照白马，飒沓如流星，十步杀一人，千里不留行，大将军之勇，贲、育弗加也。\n【曹仁所属】
