序号,技能名,所需士气,过载时间,激活被动技能,特效名称,释放特效(第三系),天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型(0:无效|1：智力|2：武力|3：兵力|4：智力目标数影响|5：武力目标数影响|13：兵力目标数影响),扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|14:天变|15:召唤|16:将魂|17:护盾,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,过载时间,激活被动技能,特效名称,天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型,扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,技能简述,技能说明
id,strName,fNeedMoral,nMainOverload,nMainPassiveSkill,strMainFX,strCastFx,nWeatherID,nArrEquipEffectID,strSummonWarrior,nExType,nExCondition,nMainTarget,nMainDisplayType,nDamageType,nMainType,nMainRange,nMainLifeRound,fMainSpeed,fMainBaseCureValue,fMainBaseDamageValue1,fMainBaseDamageValue2,fMainForceEffect,fMainIntelligenceEffect,nMainContainSpecialSkill,nMainSpecialSkillType,strMainSpecialSkillParam,nMainCommanderSkillID,nMainEffectType,nMainRefTarget,fMainLifeRoundOnIntelligence,nMainOnRepeat,nMainLifeRoundOnJianghun,nSubOverload,nSubPassiveSkill,strSubFX,nSubWeatherID,nArrSubEquipEffectID,strSubSummonWarrior,nSubExType,nExSubCondition,nSubTarget,nSubDisplayType,nSubDamageType,nSubType,nSubRange,nSubLifeRound,fSubSpeed,fSubBaseCureValue,fSubBaseDamageValue1,fSubBaseDamageValue2,fSubForceEffect,fSubIntelligenceEffect,nSubContainSpecialSkill,nSubSpecialSkillType,strSubSpecialSkillParam,nSubCommanderSkillID,nSubEffectType,nSubRefTarget,fSubLifeRoundOnIntelligence,nSubOnRepeat,nSubLifeRoundOnJianghun,strBrife,strDesc
int,string,float,int,int,string,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,int,int,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,string,string
30811,贤妻之助,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,0,1,0.2326,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队恢复生命值,己方全体蜀国部队恢复[fed655][cure_param][-]点生命值
30812,真·贤妻之助,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,0,1,0.2326,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队恢复生命值,己方全体蜀国部队恢复[fed655][cure_param][-]点生命值
30813,鬼·贤妻之助,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,0,1,0.2326,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队恢复生命值,己方全体蜀国部队恢复[fed655][cure_param][-]点生命值
30814,神·贤妻之助,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,0,1,0.2444,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队恢复生命值,己方全体蜀国部队恢复[fed655][cure_param][-]点生命值
30951,兵将不损,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.4826,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
30952,真·兵将不损,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.5289,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
30953,鬼·兵将不损,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.5871,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
30954,神·兵将不损,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.5871,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
31221,宽广之心,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,8,0,1,0.1861,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的己方部队及其周围部队恢复生命值,距离自己最近的己方部队及其周围部队恢复[fed655][cure_param][-]点生命值
31222,真·宽广之心,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,8,0,1,0.1951,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的己方部队及其周围部队恢复生命值,距离自己最近的己方部队及其周围部队恢复[fed655][cure_param][-]点生命值
31223,鬼·宽广之心,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,8,0,1,0.1999,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的己方部队及其周围部队恢复生命值,距离自己最近的己方部队及其周围部队恢复[fed655][cure_param][-]点生命值
31224,神·宽广之心,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,8,0,1,0.1999,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的己方部队及其周围部队恢复生命值,距离自己最近的己方部队及其周围部队恢复[fed655][cure_param][-]点生命值
31271,望夫之助,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,12,1,0.0416,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31272,真·望夫之助,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,15,1,0.0416,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31273,鬼·望夫之助,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,15,1,0.0432,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31274,神·望夫之助,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,15,1,0.0452,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31301,蜀国之母,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,8,1,0.0292,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队持续恢复生命值,己方全体蜀国部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31302,真·蜀国之母,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,8,1,0.0296,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队持续恢复生命值,己方全体蜀国部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31303,鬼·蜀国之母,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,8,1,0.0296,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队持续恢复生命值,己方全体蜀国部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31304,神·蜀国之母,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,15,8,1,0.0348,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体蜀国部队持续恢复生命值,己方全体蜀国部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31401,魏国之母,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,8,1,0.0292,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队持续恢复生命值,己方全体魏国部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
31402,真·魏国之母,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,8,1.3,0.0292,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队持续恢复生命值并加速,己方全体魏国部队每秒恢复[fed655][cure_param][-]点生命值，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
31403,鬼·魏国之母,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,8,1.3,0.0292,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队持续恢复生命值并加速,己方全体魏国部队每秒恢复[fed655][cure_param][-]点生命值，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
31404,神·魏国之母,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,8,1.3,0.0316,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队持续恢复生命值并加速,己方全体魏国部队每秒恢复[fed655][cure_param][-]点生命值，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
32041,无冕之后,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,10,0,1,0.2492,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队恢复生命值,己方武力最高部队及其周围部队恢复[fed655][cure_param][-]点生命值
32042,真·无冕之后,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,10,0,1,0.2613,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队恢复生命值,己方武力最高部队及其周围部队恢复[fed655][cure_param][-]点生命值
32043,鬼·无冕之后,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,10,0,1,0.2613,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队恢复生命值,己方武力最高部队及其周围部队恢复[fed655][cure_param][-]点生命值
32044,神·无冕之后,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,10,0,1,0.3142,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队恢复生命值,己方武力最高部队及其周围部队恢复[fed655][cure_param][-]点生命值
32181,援军到来,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,10,8,1,0.057,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队持续恢复生命值,己方武力最高的部队及其周围部队恢复大量兵力
32241,悬壶济世,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0292,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32242,真·悬壶济世,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0296,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32243,鬼·悬壶济世,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0296,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32244,神·悬壶济世,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0348,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32301,王女的祈祷,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.4826,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
32302,真·王女的祈祷,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.5289,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
32303,鬼·王女的祈祷,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.5871,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
32304,神·王女的祈祷,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,0,1,0.5871,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队恢复生命值,己方武力最高部队恢复[fed655][cure_param][-]点生命值
32471,青囊术,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,17,10,1,0.0288,0,0,1.1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体群雄部队持续恢复生命值并武力强化,己方全体群雄部队每秒恢复[fed655][cure_param][-]点生命值，武力值提高[fed655]10%[-]，持续[fed655][duration][-]秒
32472,真·青囊术,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,17,12,1,0.0304,0,0,1.15,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体群雄部队持续恢复生命值并武力强化,己方全体群雄部队每秒恢复[fed655][cure_param][-]点生命值，武力值提高[fed655]15%[-]，持续[fed655][duration][-]秒
32473,鬼·青囊术,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,17,12,1,0.0316,0,0,1.2,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体群雄部队持续恢复生命值并武力强化,己方全体群雄部队每秒恢复[fed655][cure_param][-]点生命值，武力值提高[fed655]20%[-]，持续[fed655][duration][-]秒
32474,神·青囊术,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,17,12,1,0.0324,0,0,1.25,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体群雄部队持续恢复生命值并武力强化,己方全体群雄部队每秒恢复[fed655][cure_param][-]点生命值，武力值提高[fed655]25%[-]，持续[fed655][duration][-]秒
32491,春风化雨,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0292,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32492,真·春风化雨,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0296,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32493,鬼·春风化雨,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0296,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32494,神·春风化雨,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,2,8,1,0.0348,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围部队持续恢复生命值,自身及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
32501,温婉之舞,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,0,1,0.1869,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillCure_Prefab,0,0|0|0,0,1,0,0,3,0,4,14,8,1,0.0192,0,0,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队恢复生命值，除自身外全体魏国部队持续恢复生命值,己方全体魏国部队恢复[fed655][cure_param][-]点生命值，并对己方全体魏国部队恢复[fed655][cure_param1][-]点生命值，持续[fed655][duration1][-]秒
32502,真·温婉之舞,5,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,0,1,0.1895,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillCure_Prefab,0,0|0|0,0,1,0,0,3,0,4,14,8,1,0.0196,0,0,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队恢复生命值，除自身外全体魏国部队持续恢复生命值,己方全体魏国部队恢复[fed655][cure_param][-]点生命值，并对己方全体魏国部队恢复[fed655][cure_param1][-]点生命值，持续[fed655][duration1][-]秒
32503,鬼·温婉之舞,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,0,1,0.1895,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillCure_Prefab,0,0|0|0,0,1,0,0,3,0,4,14,8,1,0.02,0,0,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队恢复生命值，除自身外全体魏国部队持续恢复生命值,己方全体魏国部队恢复[fed655][cure_param][-]点生命值，并对己方全体魏国部队恢复[fed655][cure_param1][-]点生命值，持续[fed655][duration1][-]秒
32504,神·温婉之舞,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,14,0,1,0.2272,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillCure_Prefab,0,0|0|0,0,1,0,0,3,0,4,14,8,1,0.0204,0,0,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队恢复生命值，除自身外全体魏国部队持续恢复生命值,己方全体魏国部队恢复[fed655][cure_param][-]点生命值，并对己方全体魏国部队恢复[fed655][cure_param1][-]点生命值，持续[fed655][duration1][-]秒
33001,乘烟仙果,4,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,10,1,0.0432,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
33002,真·乘烟仙果,3,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,10,1,0.0456,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
33003,鬼·乘烟仙果,3,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,11,1,0.0474,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
33004,神·乘烟仙果,3,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,4,7,12,1,0.0486,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队持续恢复生命值,己方武力最高部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
33281,治愈之音,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,5,10,10,1,0.0288,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队持续恢复生命值,己方武力最高部队及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
33282,真·治愈之音,6,0,0,Battlefield/SkillCure_Prefab,,0,0|0|0,0,1,0,0,3,0,5,10,14,1,0.0304,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方武力最高部队及其周围部队持续恢复生命值,己方武力最高部队及其周围部队每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
