道具ID10000+组队副本奖励,商品类型,商品子类型,商品数量,商品说明(填null的，说明会从csvresource里面读),公告信息(null--无公告)
10665,200,72,52,null,null
10666,200,72,54,null,null
10667,2,0,76000,null,null
10668,2,0,78000,null,null
10669,2,0,80000,null,null
10670,2,0,82000,null,null
10671,2,0,84000,null,null
10672,23,0,1,null,null
10673,200,73,38,null,null
10674,200,73,39,null,null
10675,200,73,40,null,null
10676,200,73,41,null,null
10677,200,73,42,null,null
10678,200,72,56,null,null
10679,200,72,58,null,null
10680,200,72,60,null,null
10681,200,72,62,null,null
10682,200,72,64,null,null
10701,200,73,11,null,null
10702,200,72,22,null,null
10703,2,0,40000,null,null
10704,2,0,42000,null,null
10705,2,0,44000,null,null
10706,2,0,46000,null,null
10707,2,0,48000,null,null
10708,23,0,1,null,null
10709,200,73,9,null,null
10710,200,73,10,null,null
10711,200,73,11,null,null
10712,200,73,12,null,null
10713,200,73,13,null,null
10714,200,72,18,null,null
10715,200,72,20,null,null
10716,200,72,22,null,null
10717,200,72,24,null,null
10718,200,72,26,null,null
10719,2,0,51000,null,null
10720,2,0,53000,null,null
10721,2,0,55000,null,null
10722,2,0,57000,null,null
10723,2,0,59000,null,null
10724,23,0,1,null,null
10725,200,73,17,null,null
10726,200,73,18,null,null
10727,200,73,19,null,null
10728,200,73,20,null,null
10729,200,73,21,null,null
10730,200,72,29,null,null
10731,200,72,31,null,null
10732,200,72,33,null,null
10733,200,72,35,null,null
10734,200,72,37,null,null
10735,2,0,62000,null,null
10736,2,0,64000,null,null
10737,2,0,66000,null,null
10738,2,0,68000,null,null
10739,2,0,70000,null,null
10740,23,0,1,null,null
10741,200,73,26,null,null
10742,200,73,27,null,null
10743,200,73,28,null,null
10744,200,73,29,null,null
10745,200,73,30,null,null
10746,200,72,40,null,null
10747,200,72,42,null,null
10748,200,72,44,null,null
10749,200,72,46,null,null
10750,200,72,48,null,null
10751,2,0,73000,null,null
10752,2,0,75000,null,null
10753,2,0,77000,null,null
10754,2,0,79000,null,null
10755,2,0,81000,null,null
10756,23,0,1,null,null
10757,200,73,34,null,null
10758,200,73,35,null,null
10759,200,73,36,null,null
10760,200,73,37,null,null
10761,200,73,38,null,null
10762,200,72,51,null,null
10763,200,72,53,null,null
10764,200,72,55,null,null
10765,200,72,57,null,null
10766,200,72,59,null,null
10767,2,0,84000,null,null
10768,2,0,86000,null,null
10769,2,0,88000,null,null
10770,2,0,90000,null,null
10771,2,0,92000,null,null
10772,23,0,1,null,null
10773,200,73,43,null,null
10774,200,73,44,null,null
10775,200,73,45,null,null
10776,200,73,46,null,null
10777,200,73,47,null,null
10778,200,72,62,null,null
10779,200,72,64,null,null
10780,200,72,66,null,null
10781,200,72,68,null,null
10782,200,72,70,null,null
10801,200,73,12,null,null
10802,200,72,24,null,null
10803,2,0,44000,null,null
10804,2,0,46000,null,null
10805,2,0,48000,null,null
10806,2,0,50000,null,null
10807,2,0,52000,null,null
10808,23,0,1,null,null
10809,200,73,10,null,null
10810,200,73,11,null,null
10811,200,73,12,null,null
10812,200,73,13,null,null
10813,200,73,14,null,null
10814,200,72,20,null,null
10815,200,72,22,null,null
10816,200,72,24,null,null
10817,200,72,26,null,null
10818,200,72,28,null,null
10819,2,0,56000,null,null
10820,2,0,58000,null,null
10821,2,0,60000,null,null
10822,2,0,62000,null,null
10823,2,0,64000,null,null
10824,23,0,1,null,null
10825,200,73,19,null,null
10826,200,73,20,null,null
10827,200,73,21,null,null
10828,200,73,22,null,null
10829,200,73,23,null,null
10830,200,72,32,null,null
10831,200,72,34,null,null
10832,200,72,36,null,null
10833,200,72,38,null,null
10834,200,72,40,null,null
10835,2,0,68000,null,null
10836,2,0,70000,null,null
10837,2,0,72000,null,null
10838,2,0,74000,null,null
10839,2,0,76000,null,null
10840,23,0,1,null,null
10841,200,73,29,null,null
10842,200,73,30,null,null
10843,200,73,31,null,null
10844,200,73,32,null,null
10845,200,73,33,null,null
10846,200,72,44,null,null
10847,200,72,46,null,null
10848,200,72,48,null,null
10849,200,72,50,null,null
10850,200,72,52,null,null
10851,2,0,80000,null,null
10852,2,0,82000,null,null
10853,2,0,84000,null,null
10854,2,0,86000,null,null
10855,2,0,88000,null,null
10856,23,0,1,null,null
10857,200,73,38,null,null
10858,200,73,39,null,null
10859,200,73,40,null,null
10860,200,73,41,null,null
10861,200,73,42,null,null
10862,200,72,56,null,null
10863,200,72,58,null,null
10864,200,72,60,null,null
10865,200,72,62,null,null
10866,200,72,64,null,null
10867,2,0,92000,null,null
10868,2,0,94000,null,null
10869,2,0,96000,null,null
10870,2,0,98000,null,null
10871,2,0,100000,null,null
10872,23,0,1,null,null
10873,200,73,48,null,null
10874,200,73,49,null,null
10875,200,73,50,null,null
10876,200,73,51,null,null
10877,200,73,52,null,null
10878,200,72,68,null,null
10879,200,72,70,null,null
10880,200,72,72,null,null
10881,200,72,74,null,null
10882,200,72,76,null,null
10901,200,73,13,null,null
10902,200,72,26,null,null
10903,2,0,48000,null,null
10904,2,0,50000,null,null
10905,2,0,52000,null,null
10906,2,0,54000,null,null
10907,2,0,56000,null,null
10908,23,0,1,null,null
10909,200,73,11,null,null
10910,200,73,12,null,null
10911,200,73,13,null,null
10912,200,73,14,null,null
10913,200,73,15,null,null
10914,200,72,22,null,null
10915,200,72,24,null,null
10916,200,72,26,null,null
10917,200,72,28,null,null
10918,200,72,30,null,null
10919,2,0,61000,null,null
10920,2,0,63000,null,null
10921,2,0,65000,null,null
10922,2,0,67000,null,null
10923,2,0,69000,null,null
10924,23,0,1,null,null
10925,200,73,21,null,null
10926,200,73,22,null,null
10927,200,73,23,null,null
10928,200,73,24,null,null
10929,200,73,25,null,null
10930,200,72,35,null,null
10931,200,72,37,null,null
10932,200,72,39,null,null
10933,200,72,41,null,null
10934,200,72,43,null,null
10935,2,0,74000,null,null
10936,2,0,76000,null,null
10937,2,0,78000,null,null
10938,2,0,80000,null,null
10939,2,0,82000,null,null
10940,23,0,1,null,null
10941,200,73,32,null,null
10942,200,73,33,null,null
10943,200,73,34,null,null
10944,200,73,35,null,null
10945,200,73,36,null,null
10946,200,72,48,null,null
10947,200,72,50,null,null
10948,200,72,52,null,null
10949,200,72,54,null,null
10950,200,72,56,null,null
10951,2,0,87000,null,null
10952,2,0,89000,null,null
10953,2,0,91000,null,null
10954,2,0,93000,null,null
10955,2,0,95000,null,null
10956,23,0,1,null,null
10957,200,73,42,null,null
10958,200,73,43,null,null
10959,200,73,44,null,null
10960,200,73,45,null,null
10961,200,73,46,null,null
10962,200,72,61,null,null
10963,200,72,63,null,null
10964,200,72,65,null,null
10965,200,72,67,null,null
10966,200,72,69,null,null
10967,2,0,100000,null,null
10968,2,0,102000,null,null
10969,2,0,104000,null,null
10970,2,0,106000,null,null
10971,2,0,108000,null,null
10972,23,0,1,null,null
10973,200,73,53,null,null
10974,200,73,54,null,null
10975,200,73,55,null,null
10976,200,73,56,null,null
10977,200,73,57,null,null
10978,200,72,74,null,null
10979,200,72,76,null,null
10980,200,72,78,null,null
10981,200,72,80,null,null
10982,200,72,82,null,null
11001,200,73,14,null,null
11002,200,72,28,null,null
11003,2,0,52000,null,null
11004,2,0,54000,null,null
11005,2,0,56000,null,null
11006,2,0,58000,null,null
11007,2,0,60000,null,null
11008,23,0,1,null,null
11009,200,73,12,null,null
11010,200,73,13,null,null
11011,200,73,14,null,null
11012,200,73,15,null,null
11013,200,73,16,null,null
11014,200,72,24,null,null
11015,200,72,26,null,null
11016,200,72,28,null,null
11017,200,72,30,null,null
11018,200,72,32,null,null
11019,2,0,66000,null,null
11020,2,0,68000,null,null
11021,2,0,70000,null,null
11022,2,0,72000,null,null
11023,2,0,74000,null,null
11024,23,0,1,null,null
11025,200,73,23,null,null
11026,200,73,24,null,null
11027,200,73,25,null,null
11028,200,73,26,null,null
11029,200,73,27,null,null
11030,200,72,38,null,null
11031,200,72,40,null,null
11032,200,72,42,null,null
11033,200,72,44,null,null
11034,200,72,46,null,null
11035,2,0,80000,null,null
11036,2,0,82000,null,null
11037,2,0,84000,null,null
11038,2,0,86000,null,null
11039,2,0,88000,null,null
11040,23,0,1,null,null
11041,200,73,35,null,null
11042,200,73,36,null,null
11043,200,73,37,null,null
11044,200,73,38,null,null
11045,200,73,39,null,null
11046,200,72,52,null,null
11047,200,72,54,null,null
11048,200,72,56,null,null
11049,200,72,58,null,null
11050,200,72,60,null,null
11051,2,0,94000,null,null
11052,2,0,96000,null,null
11053,2,0,98000,null,null
11054,2,0,100000,null,null
11055,2,0,102000,null,null
11056,23,0,1,null,null
11057,200,73,46,null,null
11058,200,73,47,null,null
11059,200,73,48,null,null
11060,200,73,49,null,null
11061,200,73,50,null,null
11062,200,72,66,null,null
11063,200,72,68,null,null
11064,200,72,70,null,null
11065,200,72,72,null,null
11066,200,72,74,null,null
11067,2,0,108000,null,null
11068,2,0,110000,null,null
11069,2,0,112000,null,null
11070,2,0,114000,null,null
11071,2,0,116000,null,null
11072,23,0,1,null,null
11073,200,73,58,null,null
11074,200,73,59,null,null
11075,200,73,60,null,null
11076,200,73,61,null,null
11077,200,73,62,null,null
11078,200,72,80,null,null
11079,200,72,82,null,null
11080,200,72,84,null,null
11081,200,72,86,null,null
11082,200,72,88,null,null
11083,103,21,5,null,null
11084,103,21,8,null,null
11085,103,21,10,null,null
11086,103,21,12,null,null
11087,103,21,15,null,null
11088,103,21,30,null,null
11089,103,21,40,null,null
11090,103,21,50,null,null
11091,103,21,60,null,null
11092,103,21,70,null,null
11093,103,21,80,null,null
11094,103,21,90,null,null
11095,103,21,100,null,null
11096,103,21,110,null,null
11097,103,21,120,null,恭喜玩家 {0} 在红包中获得了周年积分*120的奖励
11098,103,21,10,null,null
11099,103,21,15,null,null
11100,103,21,20,null,null
11101,103,21,25,null,null
11102,103,21,30,null,null
11103,2,0,10000,null,null
11104,2,0,15000,null,null
11105,2,0,20000,null,null
11106,2,0,25000,null,null
11107,2,0,30000,null,null
11108,200,62,1,null,null
11109,200,62,2,null,null
11110,200,62,3,null,null
11111,200,62,4,null,null
11112,200,62,5,null,null
11113,200,68,1,null,null
11114,200,68,2,null,null
11115,200,68,3,null,null
11116,200,68,4,null,null
11117,200,68,5,null,null
11118,28,0,1,null,null
11119,23,0,1,null,null
11120,200,60,1,null,null
11121,39,0,1,null,null
11122,24,0,1,null,null
11123,27,0,1,null,null
11124,29,0,1,null,恭喜玩家 {0} 在红包中获得了血玉*1的奖励
11125,200,67,1,null,恭喜玩家 {0} 在红包中获得了幸运币*1的奖励
11126,5,0,20,null,null
11127,5,0,30,null,null
11128,5,0,50,null,null
11129,5,0,70,null,null
11130,5,0,80,null,null
11131,26,0,1,null,恭喜玩家 {0} 在红包中获得了金币*1的奖励
11132,53,0,1,null,恭喜玩家 {0} 在红包中获得了玉牌*1的奖励
11133,34,0,1,null,恭喜玩家 {0} 在红包中获得了金钥匙*1的奖励
11134,55,0,10,null,null
11135,55,0,15,null,null
11136,55,0,20,null,null
11137,55,0,25,null,null
11138,55,0,30,null,null
11139,38,0,1,null,null
11140,205,9,12,null,null
11141,205,18,10,null,null
11142,205,27,8,null,null
11143,205,1,1,null,null
11144,205,2,1,null,null
11145,205,3,1,null,null
11146,205,4,1,null,null
11147,205,5,1,null,null
11148,205,6,1,null,null
11149,205,7,1,null,null
11150,205,8,1,null,null
11151,205,10,1,null,null
11152,205,11,1,null,null
11153,205,12,1,null,null
11154,205,13,1,null,null
11155,205,14,1,null,null
11156,205,15,1,null,null
11157,205,16,1,null,null
11158,205,17,1,null,null
11159,205,19,1,null,null
11160,205,20,1,null,null
11161,205,21,1,null,null
11162,205,22,1,null,null
11163,205,23,1,null,null
11164,205,24,1,null,null
11165,205,25,1,null,null
11166,205,26,1,null,null
11167,204,3001,5,null,null
11168,204,3002,5,null,null
11169,204,3003,5,null,null
11170,204,3004,5,null,null
11171,205,9,14,null,null
11172,205,18,12,null,null
11173,205,27,10,null,null
11174,205,1,2,null,null
11175,205,2,2,null,null
11176,205,3,2,null,null
11177,205,4,2,null,null
11178,205,5,2,null,null
11179,205,6,2,null,null
11180,205,7,2,null,null
11181,205,8,2,null,null
11182,205,10,2,null,null
11183,205,11,2,null,null
11184,205,12,2,null,null
11185,205,13,2,null,null
11186,205,14,2,null,null
11187,205,15,2,null,null
11188,205,16,2,null,null
11189,205,17,2,null,null
11190,205,19,2,null,null
11191,205,20,2,null,null
11192,205,21,2,null,null
11193,205,22,2,null,null
11194,205,23,2,null,null
11195,205,24,2,null,null
11196,205,25,2,null,null
11197,205,26,2,null,null
11198,204,3001,10,null,null
11199,204,3002,10,null,null
11200,204,3003,10,null,null
11201,204,3004,10,null,null
11202,205,9,16,null,null
11203,205,18,14,null,null
11204,205,27,12,null,null
11205,205,1,3,null,null
11206,205,2,3,null,null
11207,205,3,3,null,null
11208,205,4,3,null,null
11209,205,5,3,null,null
11210,205,6,3,null,null
11211,205,7,3,null,null
11212,205,8,3,null,null
11213,205,10,3,null,null
11214,205,11,3,null,null
11215,205,12,3,null,null
11216,205,13,3,null,null
11217,205,14,3,null,null
11218,205,15,3,null,null
11219,205,16,3,null,null
11220,205,17,3,null,null
11221,205,23,3,null,null
11222,205,24,3,null,null
11223,205,25,3,null,null
11224,205,26,3,null,null
11225,204,3001,15,null,null
11226,204,3002,15,null,null
11227,204,3003,15,null,null
11228,204,3004,15,null,null
11229,205,9,18,null,null
11230,205,18,16,null,null
11231,205,27,14,null,null
11232,205,1,4,null,null
11233,205,2,4,null,null
11234,205,3,4,null,null
11235,205,4,4,null,null
11236,205,5,4,null,null
11237,205,6,4,null,null
11238,205,7,4,null,null
11239,205,8,4,null,null
11240,205,14,4,null,null
11241,205,15,4,null,null
11242,205,16,4,null,null
11243,205,17,4,null,null
11244,205,23,4,null,null
11245,205,24,4,null,null
11246,205,25,4,null,null
11247,205,26,4,null,null
11248,204,3001,20,null,null
11249,204,3002,20,null,null
11250,204,3003,20,null,null
11251,204,3004,20,null,null
11252,205,9,20,null,null
11253,205,18,18,null,null
11254,205,27,16,null,null
11255,205,1,5,null,null
11256,205,2,5,null,null
11257,205,3,5,null,null
11258,205,4,5,null,null
11259,205,5,5,null,null
11260,205,6,5,null,null
11261,205,7,5,null,null
11262,205,8,5,null,null
11263,205,14,5,null,null
11264,205,15,5,null,null
11265,205,16,5,null,null
11266,205,17,5,null,null
11267,205,23,5,null,null
11268,205,24,5,null,null
11269,205,25,5,null,null
11270,205,26,5,null,null
11271,205,9,22,null,null
11272,205,18,20,null,null
11273,205,27,18,null,null
11274,205,5,6,null,null
11275,205,6,6,null,null
11276,205,7,6,null,null
11277,205,8,6,null,null
11278,205,14,6,null,null
11279,205,15,6,null,null
11280,205,16,6,null,null
11281,205,17,6,null,null
11282,205,9,24,null,null
11283,205,18,22,null,null
11284,205,27,20,null,null
11285,205,5,7,null,null
11286,205,6,7,null,null
11287,205,7,7,null,null
11288,205,8,7,null,null
11289,205,14,7,null,null
11290,205,15,7,null,null
11291,205,16,7,null,null
11292,205,17,7,null,null
11293,205,9,26,null,null
11294,205,18,24,null,null
11295,205,27,22,null,null
11296,205,5,8,null,null
11297,205,6,8,null,null
11298,205,7,8,null,null
11299,205,8,8,null,null
11300,205,9,28,null,null
11301,205,18,26,null,null
11302,205,27,24,null,null
11303,205,5,9,null,null
11304,205,6,9,null,null
11305,205,7,9,null,null
11306,205,8,9,null,null
11307,205,9,30,null,null
11308,205,18,28,null,null
11309,205,27,26,null,null
11310,205,5,10,null,null
11311,205,6,10,null,null
11312,205,7,10,null,null
11313,205,8,10,null,null
11314,205,9,32,null,null
11315,205,18,30,null,null
11316,205,27,28,null,null
11317,205,5,11,null,null
11318,205,6,11,null,null
11319,205,7,11,null,null
11320,205,8,11,null,null
