序号,引导类型：1剧情2庆典,讲话人ID(-1为玩家其余为npc表中的id）,地点ID（-1为主城其余为关卡id）,任务推进条件（目前为level ID， -1表示无要求）,触发类型 0:城市对话|1:在布阵界面弹出|2:在战斗开始时弹出|3:在战斗过程中弹出|4:在战斗结束时弹出（胜）|5:在战斗结束时弹出（负）6:在章节页面弹出,战斗百分比（关卡过程弹出类）,下一步寻路NPC ID(如果不需要移动直接显示对话/此处填0,下一步附加值（下一步寻路NPC ID为传送点时/此值为关卡id）,奖励类型|0:无奖励|1:卡片|2:卡魂|3:军令|4:星星|5:游戏点卷|6:免费抽卡机会|7:解锁关卡|8:弹出UI|9:开放封地|10:功能开放|11:上阵武将数量|12:强化上限|,奖励值,锚点（1表示此条对白的进度要存入数据库）,寻路头像,背景图片路径,对白内容
856,1,205,44,-1,1,0,206,44,0,0,0,7,,主公，华雄不是凡人。按照董卓的排位，他排在第四。
857,1,-1,44,-1,1,0,206,44,0,0,0,7,,第四？第二和第三一起来我都不怕。还怕他一个第四的。
858,1,205,44,-1,1,0,206,44,0,0,0,7,,请主公注意，华雄所带的是西凉精锐骑兵[ffdb00]虎贲骑[-]，这可不是一般骑兵。
859,1,205,44,-1,1,0,206,44,0,0,0,7,,这种骑兵个个都是百里挑一的勇士，而且战马强壮，装备精良。
860,1,-1,44,-1,1,0,206,44,0,0,1,7,,好的，那么我谨慎布阵，不会大意。
861,1,15,44,44,2,0,206,44,0,0,0,7,,你就是那个打败李傕郭汜的娃娃？
862,1,15,44,44,2,0,206,44,0,0,0,7,,哈哈，还真是个娃娃。
863,1,-1,44,44,2,0,206,44,0,0,0,7,,你这个西凉土货，仗着虎贲骑就在这里如此嚣张。
864,1,15,44,44,2,0,206,44,0,0,0,7,,你还挺识货啊，我来这里不为别的，就是带你的头回去祭奠我西凉上将。
865,1,-1,44,44,2,0,206,44,0,0,0,7,,那就看你有没有那个本事拿了。
866,1,15,44,44,4,0,206,44,0,0,1,7,,不好！撤撤！
867,1,-1,44,44,4,0,206,44,0,0,0,7,,想走？弓箭手放箭！
868,1,15,44,44,4,0,206,44,0,0,1,7,,啊！！（华雄被射成刺猬）
869,1,-1,-1,-1,0,0,201,0,0,0,0,1,,皇帝老爷请问酒在何处？
870,1,201,-1,-1,0,0,201,0,0,0,0,1,,这里这里。这酒还是[ffdb00]温[-]的。英雄已经击杀了华雄。
871,1,201,-1,-1,0,0,201,0,2,3000,1,1,,壮哉！壮哉！来人，拿酒来我要和英雄同饮。
872,1,1,-1,-1,0,0,201,0,0,0,0,1,,皇上！主公！[ff000c]吕布[-]带着一支部队来了！
873,1,-1,-1,-1,0,0,201,0,0,0,0,1,,什么？一支部队？
874,1,-1,-1,-1,0,0,201,0,7,45,1,1,,啧，未免太小看我！
875,1,205,45,-1,1,0,206,45,0,0,0,7,,主公，你似乎很期待和吕布的决斗。
876,1,-1,45,-1,1,0,206,45,0,0,0,7,,那是，吕布是当世第一武将，如果打赢了他
877,1,-1,45,-1,1,0,206,45,0,0,0,7,,我们天子亲军的大名将传遍天下。
878,1,-1,45,-1,1,0,206,45,0,0,0,7,,就会有越来越多的人来投靠我们。
879,1,-1,45,-1,1,0,206,45,0,0,1,7,,这样我们就能最终成为名震一方的主公。
880,1,17,45,45,4,0,206,45,0,0,1,7,,有点意思。
881,1,1,45,45,4,0,206,45,0,0,0,7,,报告主公！吕布逃了！
882,1,-1,45,45,4,0,206,45,0,0,0,7,,快追，让他回到武关就很难对付了。
883,1,1,45,45,4,0,206,45,7,46,1,7,,得令！
884,1,205,-1,-1,0,0,0,0,0,0,1,7,,主公，没有时间耽搁了，继续[ffdb00]追击[-]。
885,1,1,46,-1,1,0,206,46,0,0,0,7,,报告主公！有大量[ff000c]虎贲骑[-]！
886,1,205,46,-1,1,0,206,46,0,0,0,7,,主公，吕布的马是[ffdb00]赤兔[-]，属于宝马中的宝马，恐怕不是很好追。
887,1,-1,46,-1,1,0,206,46,0,0,0,7,,就是富二代专属就对了。
888,1,-1,46,-1,1,0,206,46,0,0,1,7,,好吧，清理这些骑兵，然后继续追吕布。
889,1,11,46,46,4,0,206,46,0,0,0,7,,吕布大人已经撤回武关，你们就死心吧。
890,1,205,46,46,4,0,206,46,0,0,0,7,,主公，如果想要追击董卓就必须突破武关。
891,1,-1,46,46,4,0,206,46,0,0,1,7,,休息一天，明天破关。
892,1,-1,-1,-1,0,0,201,0,0,0,0,1,,皇帝大人，我差一点就抓住[ff000c]吕布[-]了。
893,1,201,-1,-1,0,0,201,0,0,0,0,1,,吕布？是那个神鬼莫敌的吕布？
894,1,201,-1,-1,0,0,201,0,0,0,0,1,,英雄真是进步飞速，我听说已经有一些武将因为你的大名前来投奔了。
895,1,-1,-1,-1,0,0,201,0,0,0,0,1,,呵呵，皇帝陛下消息很是灵通。
896,1,201,-1,-1,0,0,201,0,0,0,0,1,,那很好啊！光复汉朝就靠你们了！
897,1,205,-1,-1,0,0,201,0,7,47,1,1,,皇帝陛下，我们打算休整一天，然后一举攻破武关。
898,1,201,-1,-1,0,0,201,0,0,0,1,1,,好的，我等着你的好消息。
899,1,205,47,-1,1,0,206,47,0,0,0,7,,主公，可靠消息，武关中除了[ffdb00]吕布[-]还有董卓的女婿[ffdb00]李儒[-]。
900,1,-1,47,-1,1,0,206,47,0,0,0,7,,李儒？哈哈，又是他。
901,1,205,47,-1,1,0,206,47,0,0,0,7,,吕布虽然武力天下无双，但是缺少计谋。
902,1,205,47,-1,1,0,206,47,0,0,0,7,,现在有李儒帮忙，会变得更加难对付。
903,1,-1,47,-1,1,0,206,47,0,0,0,7,,军师妹妹有何建议。
904,1,205,47,-1,1,0,206,47,0,0,0,7,,吕布是骑兵，武力再猛也怕[ffdb00]枪尖[-]，所以只要有高武力的[ffdb00]枪兵[-]就可以很好的应对他。
905,1,205,47,-1,1,0,206,47,0,0,0,7,,而李儒必定布阵在队伍的后排，想办法[ffdb00]越过[-]吕布先击杀为上策。
906,1,-1,47,-1,1,0,206,47,0,0,1,7,,好的，我来布阵。
907,1,17,47,47,2,0,206,47,0,0,0,7,,嘁，又是你这个娃娃。
908,1,21,47,47,2,0,206,47,0,0,0,7,,将军不可掉以轻心，李傕郭汜还有华雄都栽在这个娃娃手上。
909,1,17,47,47,2,0,206,47,0,0,0,7,,混账！李傕郭汜算什么东西，能和我吕布做比较？
910,1,17,47,47,2,0,206,47,0,0,1,7,,全军突击！
911,1,17,47,47,4,0,206,47,0,0,0,7,,[ff000c]看来我要动用我真正的力量了！！！[-]（大地在震动）
912,1,205,47,47,4,0,206,47,0,0,0,7,,主公小心！
913,1,-1,47,47,4,0,206,47,0,0,0,7,,啊……
914,1,17,47,47,4,0,206,47,0,0,0,7,,哼，你以为我就只有这点能耐吗！
915,1,205,47,47,4,0,206,47,0,0,0,7,,主公，你受伤了！
916,1,102,47,47,4,0,206,47,0,0,0,7,,小英雄！联军伤亡很重！
917,1,-1,47,47,4,0,206,47,0,0,1,7,,可恶，先撤退！
918,1,205,-1,-1,0,0,205,0,0,0,0,5,,主公，你的伤势如何？
919,1,-1,-1,-1,0,0,205,0,0,0,0,5,,这么点儿小伤吹吹就好了。
920,1,205,-1,-1,0,0,205,0,0,0,0,5,,………………自古主公多短命啊。
921,1,-1,-1,-1,0,0,205,0,0,0,0,5,,喂喂！
922,1,205,-1,-1,0,0,205,0,0,0,0,5,,主公，袁绍派了人来找我们，现在正在[ffdb00]何将军[-]处。
923,1,205,-1,-1,0,0,205,0,0,0,1,5,,我们去找他们吧。
924,1,-1,-1,-1,0,0,203,0,0,0,0,2,,大叔！
925,1,102,-1,-1,0,0,203,0,0,0,0,2,,小英雄，你的伤势如何了。
926,1,-1,-1,-1,0,0,203,0,0,0,0,2,,一点小伤而已。
927,1,205,-1,-1,0,0,203,0,0,0,0,2,,这个吕布真是厉害，有他在连武关都很难突破啊……
928,1,102,-1,-1,0,0,203,0,0,0,0,2,,我正是和小英雄来商量这件事的。
929,1,102,-1,-1,0,0,203,0,0,0,0,2,,联军一直在武关受阻，这样下去，对士气影响很大啊。
930,1,205,-1,-1,0,0,203,0,0,0,0,2,,也不知道这个吕布有什么[ffdb00]弱点[-]……
931,1,-1,-1,-1,0,0,203,0,0,0,0,2,,[ff000c]美人[-]！
932,1,205,-1,-1,0,0,203,0,0,0,0,2,,怎么说？
933,1,-1,-1,-1,0,0,203,0,0,0,0,2,,我听说上次我们把貂蝉打伤之后，最着急的人不是吕布
934,1,-1,-1,-1,0,0,203,0,0,0,0,2,,而是[ffdb00]董卓[-]。
935,1,-1,-1,-1,0,0,203,0,0,0,0,2,,董卓忌惮吕布，需要他的保护，所以不敢怎么样
936,1,-1,-1,-1,0,0,203,0,0,0,0,2,,不过嘛……
937,1,205,-1,-1,0,0,203,0,0,0,0,2,,不过嘛~江山易改本性难移，董卓的[ff00fc]好♂色[-]已经是被动技能了
938,1,205,-1,-1,0,0,203,0,0,0,0,2,,所以只要有那么一点点催化剂
939,1,205,-1,-1,0,0,203,0,0,0,0,2,,必定会暴露出本性！
940,1,-1,-1,-1,0,0,203,0,0,0,0,2,,英雄难过美人关啊，以吕布这性格
941,1,-1,-1,-1,0,0,203,0,0,0,0,2,,要是知道董卓打他老婆的主意，肯定不会放过他！
942,1,102,-1,-1,0,0,203,0,0,0,0,2,,好计谋！
943,1,102,-1,-1,0,0,203,0,0,0,0,2,,貂蝉的义父正是[ffdb00]王允[-]大人，他也一直支持讨伐董卓。
944,1,102,-1,-1,0,0,203,0,0,0,0,2,,如果由王大人出面说服貂蝉，那一定能成功！
945,1,-1,-1,-1,0,0,203,0,12,50,1,2,,好，那我就带着王大人混进长安，说服[ff000c]貂蝉小姐[-]。
946,1,102,-1,-1,0,0,203,0,7,48,1,2,,好！我这就回去禀报大将！
947,1,-1,48,-1,1,0,206,48,0,0,0,7,,一会儿我在这里制造点麻烦，引开守卫。
948,1,-1,48,-1,1,0,206,48,0,0,0,7,,王大人，你就乘机逃到[ffdb00]貂蝉[-]那里。
949,1,108,48,-1,1,0,206,48,0,0,1,7,,有劳英雄了，老夫自会注意安全。
950,1,-1,48,48,2,0,206,48,0,0,0,7,,喂！儿子们！来追我呀！
951,1,305,48,48,4,0,206,48,0,0,0,7,,主公，追兵已经被引开了，我们速速去和王大人会合。
952,1,-1,48,48,4,0,206,48,7,49,1,7,,走！
953,1,7,49,-1,1,0,206,49,0,0,0,7,,什么人！
954,1,7,49,-1,1,0,206,49,0,0,0,7,,哈，又是你！
955,1,7,49,-1,1,0,206,49,0,0,0,7,,好大的胆子！上次夫君不在被你们欺负了，这次竟然闯到寝殿里来了！
956,1,-1,49,-1,1,0,206,49,0,0,1,7,,哎呦貂蝉小姐打轻点儿！
957,1,108,49,49,4,0,206,49,0,0,0,7,,住手！
958,1,7,49,49,4,0,206,49,0,0,0,7,,爹爹！
959,1,108,49,49,4,0,206,49,0,0,0,7,,我可怜的女儿……自从你被吕布抢走之后，我们就没再见过一面了。
960,1,7,49,49,4,0,206,49,0,0,0,7,,爹爹……女儿过得挺好的……
961,1,108,49,49,4,0,206,49,0,0,1,7,,我有几句话想和你说。
962,1,108,-1,-1,0,0,0,0,0,0,0,7,,我知道你是一个心怀苍生的好姑娘
963,1,108,-1,-1,0,0,0,0,0,0,0,7,,现在董卓掌权，暴虐无道，百姓苦不堪言。
964,1,108,-1,-1,0,0,0,0,0,0,0,7,,能够[ffdb00]救这个天下[-]的只有你了……
965,1,7,-1,-1,0,0,0,0,0,0,0,7,,爹爹……你的意思是？
966,1,108,-1,-1,0,0,0,0,0,0,0,7,,唉，你长得这么[ffdb00]讨人喜欢[-]，一直是我的骄傲。
967,1,7,-1,-1,0,0,0,0,0,0,0,7,,难道说…………
968,1,108,-1,-1,0,0,0,0,0,0,0,7,,我知道董卓一直很喜欢你，碍于吕布，所以一直忍让。
969,1,108,-1,-1,0,0,0,0,0,0,0,7,,你如果能演一场戏，让吕布以为董卓对你[ffdb00]图谋不轨[-]
970,1,108,-1,-1,0,0,0,0,0,0,0,7,,也许就能[ffdb00]离间[-]他们，那汉室就有希望了！
971,1,7,-1,-1,0,0,0,0,0,0,0,7,,…………女儿明白了。
972,1,7,-1,-1,0,0,0,0,0,0,0,7,,我这条命是爹救回来的，爹的命令自当遵从。
973,1,108,-1,-1,0,0,0,0,0,0,0,7,,有劳我的女儿了……
974,1,305,-1,-1,0,0,0,0,0,0,0,7,,貂蝉小姐……
975,1,7,-1,-1,0,0,0,0,0,0,0,7,,如今我夫君在外守卫武关。
976,1,7,-1,-1,0,0,0,0,0,0,0,7,,不如你配合我[ff000c]演一场戏[-]，引董卓上钩。
977,1,-1,-1,-1,0,0,0,0,7,50,1,7,,好！
978,1,7,50,-1,1,0,206,50,0,0,0,7,,哪里来的小贼！竟敢如此无礼！
979,1,-1,50,-1,1,0,206,50,0,0,0,7,,（好可怕的演技……）
980,1,305,50,-1,1,0,206,50,0,0,0,7,,（好可怕的演技……）
981,1,18,50,-1,1,0,206,50,0,0,1,7,,什么人竟敢欺负貂蝉小姐！
982,1,18,50,50,2,0,206,50,0,0,0,7,,欺负貂蝉小姐的都要死！！
983,1,305,50,50,4,0,206,50,0,0,0,7,,计谋达成！主公，我们撤！
984,1,25,50,50,4,0,206,50,0,0,0,7,,好大的胆子，竟敢欺负貂蝉！
985,1,25,50,50,4,0,206,50,0,0,0,7,,挖地三尺也要给我把他们抓回来！
986,1,7,50,50,4,0,206,50,0,0,0,7,,呜呜呜呜……相国大人……
987,1,25,50,50,4,0,206,50,0,0,0,7,,哎呦貂蝉美人别哭别哭！
988,1,7,50,50,4,0,206,50,0,0,0,7,,呜呜，将军不在身边，妾身就遇到了这种事……
989,1,7,50,50,4,0,206,50,0,0,0,7,,妾身好害怕啊。
990,1,25,50,50,4,0,206,50,0,0,0,7,,貂蝉美人别怕，吕布不在，有杂家在你身边陪着你嘛
991,1,7,50,50,4,0,206,50,0,0,0,7,,相国大人……QAQ
992,1,25,50,50,4,0,206,50,0,0,1,7,,貂蝉美人……QAQ
993,1,305,-1,-1,0,0,0,0,0,0,0,7,,接下来就是吕布这方面了！
994,1,-1,-1,-1,0,0,0,0,7,51,1,7,,那我们就去找[ff000c]吕布[-]吧！
995,1,18,51,-1,1,0,206,51,0,0,0,7,,什么人胆敢私闯大营！
996,1,-1,51,-1,1,0,206,51,0,0,0,7,,和吕布说，要是客气点儿我就考虑[ffdb00]卖个情报[-]给你们。
997,1,18,51,-1,1,0,206,51,0,0,1,7,,废话少说！
998,1,17,51,51,4,0,206,51,0,0,0,7,,哼，又是你这条杂鱼！
999,1,-1,51,51,4,0,206,51,0,0,0,7,,吕布，你可知道你为之卖命的是什么人？
1000,1,17,51,51,4,0,206,51,0,0,0,7,,我义父待我恩重如山，别浪费口舌挑拨了。
1001,1,-1,51,51,4,0,206,51,0,0,0,7,,哦~~恩重如山到[ffdb00]拐跑了妹子[-]都没事吗？
1002,1,17,51,51,4,0,206,51,0,0,0,7,,你……你什么意思？
1003,1,-1,51,51,4,0,206,51,0,0,1,7,,回长安看看不就知道了~
1004,1,305,-1,-1,0,0,205,0,0,0,0,5,,主公，貂蝉小姐派人传信过来。
1005,1,-1,-1,-1,0,0,205,0,0,0,0,5,,如何？
1006,1,305,-1,-1,0,0,205,0,0,0,0,5,,吕布已经和董卓反目成仇，董卓派人伏击了吕布
1007,1,305,-1,-1,0,0,205,0,0,0,0,5,,现在吕布和部下们已经慌忙逃走了。
1008,1,-1,-1,-1,0,0,205,0,7,52,1,5,,好，趁这个机会随我[ff000c]追赶吕布[-]！
1009,1,17,52,-1,1,0,206,52,0,0,0,7,,啊啊啊啊啊啊啊！
1010,1,39,52,-1,1,0,206,52,0,0,1,7,,将军冷静！！
1011,1,39,52,52,4,0,206,52,0,0,0,7,,将军，现在我们势弱，不可恋战！
1012,1,39,52,52,4,0,206,52,0,0,0,7,,还是先离开再找机会报仇吧！
1013,1,17,52,52,4,0,206,52,0,0,1,7,,哼，走！
1014,1,102,-1,-1,0,0,0,0,0,0,0,7,,多亏了英雄的大计，这下董卓没了靠山，我们可以一举击破了！
1015,1,-1,-1,-1,0,0,0,0,0,0,0,7,,多亏了貂蝉小姐才是。
1016,1,305,-1,-1,0,0,0,0,0,0,0,7,,主公，我们不能辜负她，一定要消灭董卓！
1017,1,-1,-1,-1,0,0,0,0,7,53,1,7,,嗯！
1018,1,-1,53,53,4,0,206,53,0,0,0,7,,现在联军气势如虹，不日就可以击破长安城。
1019,1,-1,53,53,4,0,206,53,0,0,0,7,,我有点担心……
1020,1,305,53,53,4,0,206,53,0,0,0,7,,主公是担心貂蝉小姐吧。
1021,1,-1,53,53,4,0,206,53,0,0,0,7,,不愧是涵雨妹妹，果然细心。
1022,1,305,53,53,4,0,206,53,0,0,0,7,,乱世红颜最命苦了，貂蝉小姐对吕布也是一片真心。
1023,1,305,53,53,4,0,206,53,0,0,0,7,,若不是为了汉室也不会做出如此牺牲。
1024,1,-1,53,53,4,0,206,53,7,54,1,7,,嗯，我们去[ffdb00]救她出城[-]，放他们夫妻团聚吧。
1025,1,305,54,-1,1,0,206,54,0,0,0,7,,主公，我们又遇到吕家的[ffdb00]两姐妹[-]了。
1026,1,-1,54,-1,1,0,206,54,0,0,0,7,,真是不巧……
1027,1,-1,54,-1,1,0,206,54,0,0,0,7,,我还真是有萝莉缘啊。
1028,1,-1,54,-1,1,0,206,54,0,0,0,7,,二位妹妹好久不见。
1029,1,101,54,-1,1,0,206,54,0,0,1,7,,哼！你一定是想来抓娘亲的！
1030,1,7,54,54,4,0,206,54,0,0,0,7,,别打了。
1031,1,-1,54,54,4,0,206,54,0,0,0,7,,看来你们也是来救貂蝉小姐的。
1032,1,101,54,54,4,0,206,54,0,0,0,7,,[ff000c]“也”[-]？
1033,1,100,54,54,4,0,206,54,0,0,0,7,,我们是来带娘亲回到爹爹那里去的。
1034,1,-1,54,54,4,0,206,54,0,0,0,7,,也好，貂蝉小姐，长安城马上就要被击破了。
1035,1,-1,54,54,4,0,206,54,0,0,0,7,,你留在这里太不安全。
1036,1,-1,54,54,4,0,206,54,0,0,0,7,,还是赶紧离开的好。
1037,1,7,54,54,4,0,206,54,0,0,1,7,,多谢英雄了……
1038,1,305,-1,-1,0,0,0,0,0,0,0,7,,主公，联军传来消息，已经准备大举[ff000c]进攻武关[-]了！
1039,1,-1,-1,-1,0,0,0,0,7,55,1,7,,那我们也不能落后了！出发！
1040,1,-1,55,55,4,0,206,55,0,0,0,7,,武关已破！
1041,1,-1,55,55,4,0,206,55,0,0,1,7,,接下来就是直取董卓老巢了！
1042,1,202,-1,-1,0,0,202,0,0,0,0,6,,听说英雄已经攻破武关了，可喜可贺啊。
1043,1,-1,-1,-1,0,0,202,0,0,0,0,6,,呵呵，张让大人，不是忙着发财么，怎么有空理我呢？
1044,1,202,-1,-1,0,0,202,0,0,0,0,6,,英雄误会，英雄误会，老奴这里有卡魂相赠。
1045,1,202,-1,-1,0,0,202,0,2,10000,1,6,,老奴对英雄忠心耿耿，万望英雄不要猜忌。
1046,1,202,-1,-1,0,0,202,0,0,0,1,6,,听闻英雄攻破武关的消息真是让人振奋。
1047,1,205,-1,-1,0,0,202,0,0,0,0,6,,主公，袁绍十二万步军已经达到长安之北。
1048,1,205,-1,-1,0,0,202,0,0,0,0,6,,袁术军队和公孙瓒部队已经抵达长安之东。
1049,1,205,-1,-1,0,0,202,0,0,0,0,6,,曹操五千精骑已经在长安四十里集结。
1050,1,205,-1,-1,0,0,202,0,0,0,0,6,,联军已经做好准备围攻长安！
1051,1,-1,-1,-1,0,0,202,0,0,0,0,6,,传令下去，我军在长安西北集结。
1052,1,-1,-1,-1,0,0,202,0,0,0,0,6,,断董卓后路，和袁绍联军成围攻之势。
1053,1,205,-1,-1,0,0,202,0,0,0,0,6,,我听闻董卓调集了[ff000c]飞熊军[-]来护城。
1054,1,205,-1,-1,0,0,202,0,0,0,1,6,,大决战在即啊。
1055,1,-1,-1,-1,0,0,202,0,7,56,1,6,,既然是大决战，我们天子亲军岂能错过。
1056,1,-1,-1,-1,0,0,202,0,0,0,1,6,,让我看看这飞熊军有几斤成色。
1057,1,205,56,-1,1,0,206,56,0,0,0,7,,主公，这[ffdb00]飞熊军[-]是董卓的禁卫部队。
1058,1,205,56,-1,1,0,206,56,0,0,0,7,,全部是身高八尺的西北大汉，个个力大无穷。
1059,1,205,56,-1,1,0,206,56,0,0,0,7,,伙食极好，每天吃有机特供，转基因菠菜。所以膀大腰圆，人称飞熊军。
1060,1,-1,56,-1,1,0,206,56,0,0,1,7,,到底有多厉害，让我试试再说吧。
1061,1,23,56,56,4,0,206,56,0,0,1,7,,董卓大人已经在长安调集了大量兵马。
1062,1,23,56,56,4,0,206,56,0,0,0,7,,你们这点人马完全不够看。
1063,1,-1,56,56,4,0,206,56,7,57,1,7,,打输了还这么多话，打仗是拼人多的么。
1064,1,205,-1,-1,0,0,0,0,0,0,0,7,,主公，长安城已经被飞熊军团团围住，如果不杀出一条血路，是无法进去的。
1065,1,1,-1,-1,0,0,0,0,0,0,0,7,,主公请下令吧，我们愿为国杀贼。
1066,1,-1,-1,-1,0,0,0,0,0,0,1,7,,好，进军[ff000c]长安城[-]。
1067,1,23,57,57,2,0,206,57,0,0,0,7,,董相国有令，袁绍乱贼围攻长安是要造反。
1068,1,23,57,57,2,0,206,57,0,0,0,7,,我等西凉军士誓死守卫长安！
1069,1,-1,57,57,2,0,206,57,0,0,0,7,,董卓自说自话就把汉朝的都城给迁了，这到底是谁造反啊。
1070,1,23,57,57,4,0,206,57,0,0,1,7,,董相国说的果然没错，你们这群反贼！
1071,1,23,57,57,4,0,206,57,0,0,0,7,,我们以死报国。
1072,1,-1,57,57,4,0,206,57,0,0,0,7,,西凉莽夫，这么好骗。
1073,1,205,57,57,4,0,206,57,0,0,0,7,,主公不要这么说，他们忠心护国，都是可歌可泣的英雄。
1074,1,205,57,57,4,0,206,57,0,0,0,7,,只是跟错了人而已。
1075,1,205,57,57,4,0,206,57,0,0,0,7,,在这乱世之中，英雄有英雄的正义，奸贼有奸贼的正义。
1076,1,205,57,57,4,0,206,57,7,58,1,7,,最终不过是各为其主。
1077,1,205,-1,-1,0,0,205,0,0,0,0,5,,如今董卓的卫队都已经散的散逃的逃
1078,1,205,-1,-1,0,0,205,0,0,0,0,5,,可谓瓮中之鳖了。
1079,1,-1,-1,-1,0,0,205,0,0,0,0,5,,乱世，得民心者才能得天下
1080,1,-1,-1,-1,0,0,205,0,0,0,1,5,,董卓这般暴虐，最终也只能是这个下场。
1081,1,-1,58,-1,1,0,206,58,0,0,1,7,,没想到董卓众叛亲离，最后竟然靠一个小姑娘保护。
1082,1,8,58,58,4,0,206,58,0,0,0,7,,呜呜呜，你们这群坏人，欺负董卓爷爷。
1083,1,8,58,58,4,0,206,58,0,0,1,7,,我不会放过你们！
1084,1,205,-1,-1,0,0,0,0,0,0,0,7,,主公，连日围攻，长安城外的驻军已经清理殆尽。
1085,1,205,-1,-1,0,0,0,0,0,0,0,7,,曹操精骑已经攻至长安护城河边了。
1086,1,205,-1,-1,0,0,0,0,0,0,0,7,,袁绍步军精甲也已逼近城墙。西凉军内军心涣散，已有逃兵。
1087,1,-1,-1,-1,0,0,0,0,7,59,1,7,,我们虽然算不上一方诸侯，杀贼也不能落于人后。
1088,1,205,59,-1,1,0,206,59,0,0,0,7,,主公，董卓亲率飞熊军守卫长安，旁边还有董白和李儒助阵。
1089,1,-1,59,-1,1,0,206,59,0,0,1,7,,看来我们面临一场血战。
1090,1,-1,59,59,2,0,206,59,0,0,0,7,,董贼！你篡国逆主，荼毒百姓，火烧洛阳。
1091,1,-1,59,59,2,0,206,59,0,0,0,7,,今日我要为天下人诛杀你这个逆贼！
1092,1,25,59,59,2,0,206,59,0,0,0,7,,黄口小儿，你是何人，好大的口气！
1093,1,25,59,59,2,0,206,59,0,0,0,7,,俺在此等待袁绍大军，你速速磕头滚开，否则连你也不放过。
1094,1,21,59,59,2,0,206,59,0,0,0,7,,相国不要小看此人，我与吕布吃过他的亏。
1095,1,-1,59,59,2,0,206,59,0,0,0,7,,董贼！明年的今天就是你的忌日。全军突击！
1096,1,25,59,59,2,0,206,59,0,0,0,7,,我本不想杀你，你竟然自己找上来。
1097,1,25,59,59,2,0,206,59,0,0,0,7,,好吧，就先杀你祭旗。飞熊军听令，诛杀敌军一个不留。
1098,1,25,59,59,4,0,206,59,0,0,1,7,,这个小子，果然不能小看啊。
1099,1,-1,59,59,4,0,206,59,0,0,0,7,,董卓，你可知道，我为何敢以弱敌强，以少打多。
1100,1,25,59,59,4,0,206,59,0,0,0,7,,为何？
1101,1,-1,59,59,4,0,206,59,0,0,0,7,,因为我相信[ffdb00]正义必胜，天道助我[-]！
1102,1,25,59,59,4,0,206,59,0,0,0,7,,竟然！被这个乳臭未干的黄口小儿打败！
1103,1,25,59,59,4,0,206,59,0,0,0,7,,我董卓！竟然会……
1104,1,-1,59,59,4,0,206,59,0,0,0,7,,到阎王那里忏悔吧！放箭！
1105,1,25,59,59,4,0,206,59,0,0,1,7,,啊……
1106,1,-1,-1,-1,0,0,201,0,0,0,0,1,,皇帝老爷，董卓已死，长安城破。
1107,1,-1,-1,-1,0,0,201,0,0,0,0,1,,西凉军士四散逃窜，吕布不知去向，西凉军已经灭亡。
1108,1,201,-1,-1,0,0,201,0,0,0,0,1,,嗯，如此甚好。
1109,1,-1,-1,-1,0,0,201,0,0,0,0,1,,皇帝老爷，您不高兴么？
1110,1,201,-1,-1,0,0,201,0,0,0,0,1,,高兴，当然是高兴，百姓可以过几天安稳日子了。
1111,1,-1,-1,-1,0,0,201,0,0,0,0,1,,皇帝老爷，我有个事情想问下。
1112,1,201,-1,-1,0,0,201,0,0,0,0,1,,你想说，我为何不回皇宫？而在这小村中待着是吧。
1113,1,-1,-1,-1,0,0,201,0,0,0,0,1,,是啊，是啊。现在董卓已死，应该回去掌权天下了。
1114,1,201,-1,-1,0,0,201,0,0,0,0,1,,掌权天下？呵呵，难道你还没看出来么。
1115,1,201,-1,-1,0,0,201,0,0,0,0,1,,现在的天下不是控制在我皇帝手里，而是控制在兵马之下。
1116,1,201,-1,-1,0,0,201,0,0,0,0,1,,谁握有重兵强将谁才是真正的统治者。
1117,1,201,-1,-1,0,0,201,0,0,0,0,1,,河北[ffdb00]袁绍[-]，淮南[ffdb00]袁术[-]都有称帝为王的实力。
1118,1,201,-1,-1,0,0,201,0,0,0,0,1,,只是他们足够聪明，不会贸然称帝，以免成为天下诸侯的目标。
1119,1,201,-1,-1,0,0,201,0,0,0,0,1,,现在看似和平，其实危机四伏。
1120,1,201,-1,-1,0,0,201,0,0,0,0,1,,我正是想抓紧这段时间，培养一支真正属于我的力量。
1121,1,201,-1,-1,0,0,201,0,0,0,0,1,,回宫之后一定会受到各方制约。
1122,1,201,-1,-1,0,0,201,0,0,0,0,1,,只有在这里才能躲避那些诸侯的控制。
1123,1,-1,-1,-1,0,0,201,0,0,0,0,1,,皇帝陛下的一番苦心我已经明白了！
1124,1,-1,-1,-1,0,0,201,0,0,0,0,1,,放心！我一定会不负所托！全力为汉室效命！
1125,1,201,-1,-1,0,0,201,0,0,0,0,1,,如此我便安心了。
1126,1,201,-1,-1,0,0,201,0,0,0,0,1,,荆州已经解围，我们先回荆州稍作歇息，之后还有更重要的事要交给你。
1127,1,-1,-1,-1,0,0,201,0,0,0,1,1,,遵旨！
1128,1,-1,-1,-1,0,0,305,0,0,0,0,5,,在外转悠了一圈，终于回来了，果然还是自己家最舒服。
1129,1,305,-1,-1,0,0,305,0,0,0,0,5,,是的呢，对了，皇帝陛下之前说还有[ffdb00]任务[-]要交给你。
1130,1,305,-1,-1,0,0,305,0,0,0,1,5,,我们赶紧去找他吧。
