序号|任务,任务标题,品质,最低战力,最高战力,持续时间(min),条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,任务描述
129,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,40,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
130,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,31,39,40,41,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
131,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,40,40,41,43,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
132,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,39,40,41,42,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
133,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,40,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
134,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,31,39,40,41,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
135,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,40,40,41,43,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
136,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,39,40,41,42,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
137,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,40,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
138,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,31,39,40,41,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
139,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,40,40,41,43,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
140,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,39,40,41,42,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
141,低级任务,2,105001,223000,720,26,27,28,29,30,37,37,37,37,37,45,47,49,51,32,39,40,41,42,44,听说最近洛阳城中来了个奢遮人物，人称玉面小飞龙，主公我们且去看看能否将其招入麾下。
142,低级任务,2,105001,223000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,39,41,42,43,听说最近洛阳城中来了个奢遮人物，人称玉面小飞龙，主公我们且去看看能否将其招入麾下。
143,低级任务,2,105001,223000,720,26,27,28,29,30,37,37,37,37,37,45,47,52,51,31,40,41,41,42,42,听说最近洛阳城中来了个奢遮人物，人称玉面小飞龙，主公我们且去看看能否将其招入麾下。
144,低级任务,2,105001,223000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,43,听说最近洛阳城中来了个奢遮人物，人称玉面小飞龙，主公我们且去看看能否将其招入麾下。
145,中级任务,3,105001,223000,720,26,27,28,29,30,37,37,37,37,37,45,47,54,51,32,39,40,41,42,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
146,中级任务,3,105001,223000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,39,40,42,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
147,中级任务,3,105001,223000,720,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,38,39,41,42,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
148,中级任务,3,105001,223000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,40,40,41,43,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
149,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
150,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
151,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
152,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
153,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
154,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
155,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
156,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
157,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
158,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
159,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
160,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
161,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
162,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
163,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
164,高级任务,4,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,叛军来袭，洛阳告急！请主公速速派遣强力武将前往，镇压叛军。
165,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
166,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
167,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
168,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
169,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
170,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
171,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
172,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
173,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
174,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
175,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
176,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
177,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
178,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
179,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
180,稀有任务,5,105001,223000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,刘备为报丢荆州，折关羽之仇，率大军攻吴。我军远征，宜速战速决！
181,低级任务,2,223001,500000,720,26,27,28,29,30,37,37,37,37,37,45,47,49,51,32,39,40,41,42,44,主公，如今您已经名震天下，今日封地外又有一群英雄豪杰前来拜见。
182,低级任务,2,223001,500000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,39,41,42,43,主公，如今您已经名震天下，今日封地外又有一群英雄豪杰前来拜见。
183,低级任务,2,223001,500000,720,26,27,28,29,30,37,37,37,37,37,45,47,52,51,31,40,41,41,42,42,主公，如今您已经名震天下，今日封地外又有一群英雄豪杰前来拜见。
184,低级任务,2,223001,500000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,43,主公，如今您已经名震天下，今日封地外又有一群英雄豪杰前来拜见。
185,中级任务,3,223001,500000,720,26,27,28,29,30,37,37,37,37,37,45,47,54,51,32,39,40,41,42,43,洛阳城正在燃烧！诸侯联军纷纷放下手中军务前去救火，我们也快去帮忙吧！
186,中级任务,3,223001,500000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,39,40,42,43,洛阳城正在燃烧！诸侯联军纷纷放下手中军务前去救火，我们也快去帮忙吧！
187,中级任务,3,223001,500000,720,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,38,39,41,42,43,洛阳城正在燃烧！诸侯联军纷纷放下手中军务前去救火，我们也快去帮忙吧！
188,中级任务,3,223001,500000,720,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,40,40,41,43,44,洛阳城正在燃烧！诸侯联军纷纷放下手中军务前去救火，我们也快去帮忙吧！
189,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
190,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
191,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
192,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
193,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
194,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
195,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
196,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
197,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
198,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
199,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
200,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
201,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,56,51,32,39,39,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
202,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,41,41,42,42,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
203,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,39,40,41,42,43,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
204,高级任务,4,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,40,40,41,42,44,典韦昨晚喝的大醉，醒来发现自己的双戟不知道落在哪了。他非常不安，总感觉要出事，拜托你帮忙在附近找找。
205,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
206,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
207,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
208,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
209,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
210,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
211,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
212,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
213,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
214,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
215,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
216,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
217,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,50,51,32,39,39,40,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
218,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,31,39,40,41,42,43,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
219,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,45,47,49,51,31,40,40,41,43,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
220,稀有任务,5,223001,500000,1440,26,27,28,29,30,37,37,37,37,37,46,48,50,52,32,39,40,41,42,44,建安十三年，孙刘联军和曹操军会战于长江赤壁，欲以此一战定天下格局，出阵吧！
