序号,说明,品质（1普通2稀有3史诗4传说）,团体技能id,团体技能效果值,品质（1普通2稀有3史诗4传说）,个人技能id
id,strDesc,nQuality,strTeamSkillIds,strTeamSkillValue,nQualitySelf,strSelfSkillids
int,string,int,string,string,int,string
160,[传说]国家智力+[传说]献祭,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
161,[普通]国家兵力+[普通]破盾,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
162,[普通]国家兵力+[稀有]破盾,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
163,[普通]国家兵力+[史诗]破盾,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
164,[普通]国家兵力+[传说]破盾,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
165,[普通]国家兵力+[普通]斩杀,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
166,[普通]国家兵力+[稀有]斩杀,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
167,[普通]国家兵力+[史诗]斩杀,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
168,[普通]国家兵力+[传说]斩杀,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
169,[普通]国家兵力+[普通]定身,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
170,[普通]国家兵力+[稀有]定身,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
171,[普通]国家兵力+[史诗]定身,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
172,[普通]国家兵力+[传说]定身,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
173,[普通]国家兵力+[普通]制裁,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
174,[普通]国家兵力+[稀有]制裁,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
175,[普通]国家兵力+[史诗]制裁,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
176,[普通]国家兵力+[传说]制裁,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
177,[普通]国家兵力+[普通]献祭,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
178,[普通]国家兵力+[稀有]献祭,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
179,[普通]国家兵力+[史诗]献祭,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
180,[普通]国家兵力+[传说]献祭,1,96009|96010|96011|96012,40|80|120|160|200|240|280|320|360|400,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
181,[稀有]国家兵力+[普通]破盾,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
182,[稀有]国家兵力+[稀有]破盾,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
183,[稀有]国家兵力+[史诗]破盾,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
184,[稀有]国家兵力+[传说]破盾,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
185,[稀有]国家兵力+[普通]斩杀,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
186,[稀有]国家兵力+[稀有]斩杀,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
187,[稀有]国家兵力+[史诗]斩杀,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
188,[稀有]国家兵力+[传说]斩杀,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
189,[稀有]国家兵力+[普通]定身,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
190,[稀有]国家兵力+[稀有]定身,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
191,[稀有]国家兵力+[史诗]定身,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
192,[稀有]国家兵力+[传说]定身,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
193,[稀有]国家兵力+[普通]制裁,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
194,[稀有]国家兵力+[稀有]制裁,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
195,[稀有]国家兵力+[史诗]制裁,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
196,[稀有]国家兵力+[传说]制裁,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
197,[稀有]国家兵力+[普通]献祭,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
198,[稀有]国家兵力+[稀有]献祭,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
199,[稀有]国家兵力+[史诗]献祭,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
200,[稀有]国家兵力+[传说]献祭,2,96009|96010|96011|96012,60|120|180|240|300|360|420|480|540|600,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
201,[稀有]国家武力+[普通]破盾,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
202,[稀有]国家武力+[稀有]破盾,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
203,[稀有]国家武力+[史诗]破盾,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
204,[稀有]国家武力+[传说]破盾,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
205,[稀有]国家武力+[普通]斩杀,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
206,[稀有]国家武力+[稀有]斩杀,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
207,[稀有]国家武力+[史诗]斩杀,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
208,[稀有]国家武力+[传说]斩杀,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
209,[稀有]国家武力+[普通]定身,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
210,[稀有]国家武力+[稀有]定身,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
211,[稀有]国家武力+[史诗]定身,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
212,[稀有]国家武力+[传说]定身,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
213,[稀有]国家武力+[普通]制裁,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
214,[稀有]国家武力+[稀有]制裁,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
215,[稀有]国家武力+[史诗]制裁,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
216,[稀有]国家武力+[传说]制裁,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
217,[稀有]国家武力+[普通]献祭,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
218,[稀有]国家武力+[稀有]献祭,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
219,[稀有]国家武力+[史诗]献祭,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
220,[稀有]国家武力+[传说]献祭,3,96009|96010|96011|96012,80|160|240|320|400|480|560|640|720|800,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
221,[传说]国家兵力+[普通]破盾,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
222,[传说]国家兵力+[稀有]破盾,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
223,[传说]国家兵力+[史诗]破盾,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
224,[传说]国家兵力+[传说]破盾,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
225,[传说]国家兵力+[普通]斩杀,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
226,[传说]国家兵力+[稀有]斩杀,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
227,[传说]国家兵力+[史诗]斩杀,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
228,[传说]国家兵力+[传说]斩杀,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
229,[传说]国家兵力+[普通]定身,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
230,[传说]国家兵力+[稀有]定身,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
231,[传说]国家兵力+[史诗]定身,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
232,[传说]国家兵力+[传说]定身,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
233,[传说]国家兵力+[普通]制裁,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
234,[传说]国家兵力+[稀有]制裁,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
235,[传说]国家兵力+[史诗]制裁,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
236,[传说]国家兵力+[传说]制裁,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
237,[传说]国家兵力+[普通]献祭,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
238,[传说]国家兵力+[稀有]献祭,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
239,[传说]国家兵力+[史诗]献祭,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
240,[传说]国家兵力+[传说]献祭,4,96009|96010|96011|96012,100|200|300|400|500|600|700|800|900|1000,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
241,[普通]兵种武力+[普通]破盾,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
242,[普通]兵种武力+[稀有]破盾,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
243,[普通]兵种武力+[史诗]破盾,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
244,[普通]兵种武力+[传说]破盾,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
245,[普通]兵种武力+[普通]斩杀,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
246,[普通]兵种武力+[稀有]斩杀,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
247,[普通]兵种武力+[史诗]斩杀,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
248,[普通]兵种武力+[传说]斩杀,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
249,[普通]兵种武力+[普通]定身,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
250,[普通]兵种武力+[稀有]定身,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
251,[普通]兵种武力+[史诗]定身,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
252,[普通]兵种武力+[传说]定身,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
253,[普通]兵种武力+[普通]制裁,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
254,[普通]兵种武力+[稀有]制裁,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
255,[普通]兵种武力+[史诗]制裁,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
256,[普通]兵种武力+[传说]制裁,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
257,[普通]兵种武力+[普通]献祭,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
258,[普通]兵种武力+[稀有]献祭,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
259,[普通]兵种武力+[史诗]献祭,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
260,[普通]兵种武力+[传说]献祭,1,96013|96014|96015,40|80|120|160|200|240|280|320|360|400,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
261,[稀有]兵种武力+[普通]破盾,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
262,[稀有]兵种武力+[稀有]破盾,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
263,[稀有]兵种武力+[史诗]破盾,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
264,[稀有]兵种武力+[传说]破盾,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
265,[稀有]兵种武力+[普通]斩杀,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
266,[稀有]兵种武力+[稀有]斩杀,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
267,[稀有]兵种武力+[史诗]斩杀,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
268,[稀有]兵种武力+[传说]斩杀,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
269,[稀有]兵种武力+[普通]定身,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
270,[稀有]兵种武力+[稀有]定身,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
271,[稀有]兵种武力+[史诗]定身,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
272,[稀有]兵种武力+[传说]定身,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
273,[稀有]兵种武力+[普通]制裁,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
274,[稀有]兵种武力+[稀有]制裁,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
275,[稀有]兵种武力+[史诗]制裁,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
276,[稀有]兵种武力+[传说]制裁,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
277,[稀有]兵种武力+[普通]献祭,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
278,[稀有]兵种武力+[稀有]献祭,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
279,[稀有]兵种武力+[史诗]献祭,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
280,[稀有]兵种武力+[传说]献祭,2,96013|96014|96015,60|120|180|240|300|360|420|480|540|600,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
281,[史诗]兵种武力+[普通]破盾,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
282,[史诗]兵种武力+[稀有]破盾,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
283,[史诗]兵种武力+[史诗]破盾,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
284,[史诗]兵种武力+[传说]破盾,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
285,[史诗]兵种武力+[普通]斩杀,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
286,[史诗]兵种武力+[稀有]斩杀,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
287,[史诗]兵种武力+[史诗]斩杀,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
288,[史诗]兵种武力+[传说]斩杀,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
289,[史诗]兵种武力+[普通]定身,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
290,[史诗]兵种武力+[稀有]定身,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
291,[史诗]兵种武力+[史诗]定身,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
292,[史诗]兵种武力+[传说]定身,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
293,[史诗]兵种武力+[普通]制裁,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
294,[史诗]兵种武力+[稀有]制裁,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
295,[史诗]兵种武力+[史诗]制裁,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
296,[史诗]兵种武力+[传说]制裁,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
297,[史诗]兵种武力+[普通]献祭,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
298,[史诗]兵种武力+[稀有]献祭,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
299,[史诗]兵种武力+[史诗]献祭,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
300,[史诗]兵种武力+[传说]献祭,3,96013|96014|96015,80|160|240|320|400|480|560|640|720|800,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
301,[传说]兵种武力+[普通]破盾,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
302,[传说]兵种武力+[稀有]破盾,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
303,[传说]兵种武力+[史诗]破盾,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
304,[传说]兵种武力+[传说]破盾,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
305,[传说]兵种武力+[普通]斩杀,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
306,[传说]兵种武力+[稀有]斩杀,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
307,[传说]兵种武力+[史诗]斩杀,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
308,[传说]兵种武力+[传说]斩杀,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
309,[传说]兵种武力+[普通]定身,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
310,[传说]兵种武力+[稀有]定身,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
311,[传说]兵种武力+[史诗]定身,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
312,[传说]兵种武力+[传说]定身,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
313,[传说]兵种武力+[普通]制裁,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
314,[传说]兵种武力+[稀有]制裁,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
315,[传说]兵种武力+[史诗]制裁,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
316,[传说]兵种武力+[传说]制裁,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
317,[传说]兵种武力+[普通]献祭,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
318,[传说]兵种武力+[稀有]献祭,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
319,[传说]兵种武力+[史诗]献祭,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
320,[传说]兵种武力+[传说]献祭,4,96013|96014|96015,100|200|300|400|500|600|700|800|900|1000,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
321,[普通]兵种智力+[普通]破盾,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
