货架ID,游戏货币,额外赠送游戏货币,平台类型,平台币价格,人民币价格,商品名称,运营商ID,中心图标,赠送图标,价格图标,对应的实际货币价格,是否为月卡,礼包对应id
21115,0,0,211,30,30,女将礼包,15,null,null,30,30,0,5
21116,0,0,211,38,38,暖冬礼包,16,null,null,38,38,0,6
21117,0,0,211,30,30,国庆礼包,17,null,null,30,30,0,7
21118,0,0,211,8,8,壮士礼包,18,null,null,8,8,0,8
21119,0,0,211,28,28,豪杰礼包,19,null,null,28,28,0,9
21120,0,0,211,60,60,诸侯礼包,20,null,null,60,60,0,10
21121,0,0,211,128,128,王候礼包,21,null,null,128,128,0,11
21122,0,0,211,198,198,霸主礼包,22,null,null,198,198,0,12
21123,0,0,211,328,328,君王礼包,23,null,null,328,328,0,13
21124,0,0,211,388,388,帝王礼包,24,null,null,388,388,0,14
21125,0,0,211,28,28,觉醒礼包,25,null,null,28,28,0,15
21126,0,0,211,28,28,堕天礼包,26,null,null,28,28,0,16
21127,0,0,211,28,28,诸侯回归礼包,27,null,null,28,28,0,17
21128,0,0,211,28,28,王候回归礼包,28,null,null,28,28,0,18
21129,0,0,211,28,28,霸主回归礼包,29,null,null,28,28,0,19
21130,0,0,211,28,28,君王回归礼包,30,null,null,28,28,0,20
21131,0,0,211,28,28,帝王回归礼包,31,null,null,28,28,0,21
21136,0,0,211,38,38,团购礼包,36,null,null,28,28,0,22
21208,300,0,212,300,30,30元至尊礼包,8,null,null,null,30,1,
21209,500,0,212,500,50,50元至尊礼包,9,null,null,50,50,1,
21210,880,0,212,880,88,88元至尊礼包,10,null,null,88,88,1,
21207,10120,1320,212,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21206,7590,990,212,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21201,60,0,212,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21205,3300,300,212,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21204,1050,50,212,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21203,500,0,212,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21202,300,0,212,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21211,0,0,212,60,6,每日优惠礼包,11,null,null,6,6,0,1
21212,0,0,212,180,18,每日福利礼包,12,null,null,18,18,0,2
21213,0,0,212,300,30,春节礼包,13,null,null,30,30,0,3
21214,0,0,212,300,30,元宵礼包,14,null,null,30,30,0,4
21215,0,0,212,300,30,女将礼包,15,null,null,30,30,0,5
21216,0,0,212,380,38,暖冬礼包,16,null,null,38,38,0,6
21217,0,0,212,300,30,国庆礼包,17,null,null,30,30,0,7
21218,0,0,212,80,8,壮士礼包,18,null,null,8,8,0,8
21219,0,0,212,280,28,豪杰礼包,19,null,null,28,28,0,9
21220,0,0,212,600,60,诸侯礼包,20,null,null,60,60,0,10
21221,0,0,212,1280,128,王候礼包,21,null,null,128,128,0,11
21222,0,0,212,1980,198,霸主礼包,22,null,null,198,198,0,12
21223,0,0,212,3280,328,君王礼包,23,null,null,328,328,0,13
21224,0,0,212,3880,388,帝王礼包,24,null,null,388,388,0,14
21225,0,0,212,280,28,觉醒礼包,25,null,null,28,28,0,15
21226,0,0,212,280,28,堕天礼包,26,null,null,28,28,0,16
21227,0,0,212,280,28,诸侯回归礼包,27,null,null,28,28,0,17
21228,0,0,212,280,28,王候回归礼包,28,null,null,28,28,0,18
21229,0,0,212,280,28,霸主回归礼包,29,null,null,28,28,0,19
21230,0,0,212,280,28,君王回归礼包,30,null,null,28,28,0,20
21231,0,0,212,280,28,帝王回归礼包,31,null,null,28,28,0,21
21236,0,0,212,380,38,团购礼包,36,null,null,28,28,0,22
21308,300,0,213,30,30,30元至尊礼包,8,null,null,null,30,1,
21309,500,0,213,50,50,50元至尊礼包,9,null,null,50,50,1,
21310,880,0,213,88,88,88元至尊礼包,10,null,null,88,88,1,
21307,10120,1320,213,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21306,7590,990,213,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21301,60,0,213,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21305,3300,300,213,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21304,1050,50,213,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21303,500,0,213,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21302,300,0,213,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21311,0,0,213,6,6,每日优惠礼包,11,null,null,6,6,0,1
21312,0,0,213,18,18,每日福利礼包,12,null,null,18,18,0,2
21313,0,0,213,30,30,春节礼包,13,null,null,30,30,0,3
21314,0,0,213,30,30,元宵礼包,14,null,null,30,30,0,4
21315,0,0,213,30,30,女将礼包,15,null,null,30,30,0,5
21316,0,0,213,38,38,暖冬礼包,16,null,null,38,38,0,6
21317,0,0,213,30,30,国庆礼包,17,null,null,30,30,0,7
21318,0,0,213,8,8,壮士礼包,18,null,null,8,8,0,8
21319,0,0,213,28,28,豪杰礼包,19,null,null,28,28,0,9
21320,0,0,213,60,60,诸侯礼包,20,null,null,60,60,0,10
21321,0,0,213,128,128,王候礼包,21,null,null,128,128,0,11
21322,0,0,213,198,198,霸主礼包,22,null,null,198,198,0,12
21323,0,0,213,328,328,君王礼包,23,null,null,328,328,0,13
21324,0,0,213,388,388,帝王礼包,24,null,null,388,388,0,14
21325,0,0,213,28,28,觉醒礼包,25,null,null,28,28,0,15
21326,0,0,213,28,28,堕天礼包,26,null,null,28,28,0,16
21327,0,0,213,28,28,诸侯回归礼包,27,null,null,28,28,0,17
21328,0,0,213,28,28,王候回归礼包,28,null,null,28,28,0,18
21329,0,0,213,28,28,霸主回归礼包,29,null,null,28,28,0,19
21330,0,0,213,28,28,君王回归礼包,30,null,null,28,28,0,20
21331,0,0,213,28,28,帝王回归礼包,31,null,null,28,28,0,21
21336,0,0,213,38,38,团购礼包,36,null,null,28,28,0,22
21408,300,0,214,300,30,30元至尊礼包,8,null,null,null,30,1,
21409,500,0,214,500,50,50元至尊礼包,9,null,null,50,50,1,
21410,880,0,214,880,88,88元至尊礼包,10,null,null,88,88,1,
21407,10120,1320,214,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21406,7590,990,214,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21401,60,0,214,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21405,3300,300,214,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21404,1050,50,214,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21403,500,0,214,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21402,300,0,214,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21411,0,0,214,60,6,每日优惠礼包,11,null,null,6,6,0,1
21412,0,0,214,180,18,每日福利礼包,12,null,null,18,18,0,2
21413,0,0,214,300,30,春节礼包,13,null,null,30,30,0,3
21414,0,0,214,300,30,元宵礼包,14,null,null,30,30,0,4
21415,0,0,214,300,30,女将礼包,15,null,null,30,30,0,5
21416,0,0,214,380,38,暖冬礼包,16,null,null,38,38,0,6
21417,0,0,214,300,30,国庆礼包,17,null,null,30,30,0,7
21418,0,0,214,80,8,壮士礼包,18,null,null,8,8,0,8
21419,0,0,214,280,28,豪杰礼包,19,null,null,28,28,0,9
21420,0,0,214,600,60,诸侯礼包,20,null,null,60,60,0,10
21421,0,0,214,1280,128,王候礼包,21,null,null,128,128,0,11
21422,0,0,214,1980,198,霸主礼包,22,null,null,198,198,0,12
21423,0,0,214,3280,328,君王礼包,23,null,null,328,328,0,13
21424,0,0,214,3880,388,帝王礼包,24,null,null,388,388,0,14
21425,0,0,214,280,28,觉醒礼包,25,null,null,28,28,0,15
21426,0,0,214,280,28,堕天礼包,26,null,null,28,28,0,16
21427,0,0,214,280,28,诸侯回归礼包,27,null,null,28,28,0,17
21428,0,0,214,280,28,王候回归礼包,28,null,null,28,28,0,18
21429,0,0,214,280,28,霸主回归礼包,29,null,null,28,28,0,19
21430,0,0,214,280,28,君王回归礼包,30,null,null,28,28,0,20
21431,0,0,214,280,28,帝王回归礼包,31,null,null,28,28,0,21
21436,0,0,214,380,38,团购礼包,36,null,null,28,28,0,22
21508,300,0,215,300,30,30元至尊礼包,8,null,null,null,30,1,
21509,500,0,215,500,50,50元至尊礼包,9,null,null,50,50,1,
21510,880,0,215,880,88,88元至尊礼包,10,null,null,88,88,1,
21507,10120,1320,215,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21506,7590,990,215,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21501,60,0,215,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21505,3300,300,215,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21504,1050,50,215,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21503,500,0,215,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21502,300,0,215,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21511,0,0,215,60,6,每日优惠礼包,11,null,null,6,6,0,1
21512,0,0,215,180,18,每日福利礼包,12,null,null,18,18,0,2
21513,0,0,215,300,30,春节礼包,13,null,null,30,30,0,3
21514,0,0,215,300,30,元宵礼包,14,null,null,30,30,0,4
21515,0,0,215,300,30,女将礼包,15,null,null,30,30,0,5
21516,0,0,215,380,38,暖冬礼包,16,null,null,38,38,0,6
21517,0,0,215,300,30,国庆礼包,17,null,null,30,30,0,7
21518,0,0,215,80,8,壮士礼包,18,null,null,8,8,0,8
21519,0,0,215,280,28,豪杰礼包,19,null,null,28,28,0,9
21520,0,0,215,600,60,诸侯礼包,20,null,null,60,60,0,10
21521,0,0,215,1280,128,王候礼包,21,null,null,128,128,0,11
21522,0,0,215,1980,198,霸主礼包,22,null,null,198,198,0,12
21523,0,0,215,3280,328,君王礼包,23,null,null,328,328,0,13
21524,0,0,215,3880,388,帝王礼包,24,null,null,388,388,0,14
21525,0,0,215,280,28,觉醒礼包,25,null,null,28,28,0,15
21526,0,0,215,280,28,堕天礼包,26,null,null,28,28,0,16
21527,0,0,215,280,28,诸侯回归礼包,27,null,null,28,28,0,17
21528,0,0,215,280,28,王候回归礼包,28,null,null,28,28,0,18
21529,0,0,215,280,28,霸主回归礼包,29,null,null,28,28,0,19
21530,0,0,215,280,28,君王回归礼包,30,null,null,28,28,0,20
21531,0,0,215,280,28,帝王回归礼包,31,null,null,28,28,0,21
21536,0,0,215,380,38,团购礼包,36,null,null,28,28,0,22
21608,300,0,216,300,30,30元至尊礼包,8,null,null,null,30,1,
21609,500,0,216,500,50,50元至尊礼包,9,null,null,50,50,1,
21610,880,0,216,880,88,88元至尊礼包,10,null,null,88,88,1,
21607,10120,1320,216,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21606,7590,990,216,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21601,60,0,216,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21605,3300,300,216,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21604,1050,50,216,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21603,500,0,216,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21602,300,0,216,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21611,0,0,216,60,6,每日优惠礼包,11,null,null,6,6,0,1
21612,0,0,216,180,18,每日福利礼包,12,null,null,18,18,0,2
21613,0,0,216,300,30,春节礼包,13,null,null,30,30,0,3
21614,0,0,216,300,30,元宵礼包,14,null,null,30,30,0,4
21615,0,0,216,300,30,女将礼包,15,null,null,30,30,0,5
21616,0,0,216,380,38,暖冬礼包,16,null,null,38,38,0,6
21617,0,0,216,300,30,国庆礼包,17,null,null,30,30,0,7
21618,0,0,216,80,8,壮士礼包,18,null,null,8,8,0,8
21619,0,0,216,280,28,豪杰礼包,19,null,null,28,28,0,9
21620,0,0,216,600,60,诸侯礼包,20,null,null,60,60,0,10
21621,0,0,216,1280,128,王候礼包,21,null,null,128,128,0,11
21622,0,0,216,1980,198,霸主礼包,22,null,null,198,198,0,12
21623,0,0,216,3280,328,君王礼包,23,null,null,328,328,0,13
21624,0,0,216,3880,388,帝王礼包,24,null,null,388,388,0,14
21625,0,0,216,280,28,觉醒礼包,25,null,null,28,28,0,15
21626,0,0,216,280,28,堕天礼包,26,null,null,28,28,0,16
21627,0,0,216,280,28,诸侯回归礼包,27,null,null,28,28,0,17
21628,0,0,216,280,28,王候回归礼包,28,null,null,28,28,0,18
21629,0,0,216,280,28,霸主回归礼包,29,null,null,28,28,0,19
21630,0,0,216,280,28,君王回归礼包,30,null,null,28,28,0,20
21631,0,0,216,280,28,帝王回归礼包,31,null,null,28,28,0,21
21636,0,0,216,380,38,团购礼包,36,null,null,28,28,0,22
21708,300,0,217,30,30,30元至尊礼包,8,null,null,null,30,1,
21709,500,0,217,50,50,50元至尊礼包,9,null,null,50,50,1,
21710,880,0,217,88,88,88元至尊礼包,10,null,null,88,88,1,
21707,10120,1320,217,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21706,7590,990,217,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21701,60,0,217,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21705,3300,300,217,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21704,1050,50,217,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21703,500,0,217,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21702,300,0,217,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21711,0,0,217,6,6,每日优惠礼包,11,null,null,6,6,0,1
21712,0,0,217,18,18,每日福利礼包,12,null,null,18,18,0,2
21713,0,0,217,30,30,春节礼包,13,null,null,30,30,0,3
21714,0,0,217,30,30,元宵礼包,14,null,null,30,30,0,4
21715,0,0,217,30,30,女将礼包,15,null,null,30,30,0,5
21716,0,0,217,38,38,暖冬礼包,16,null,null,38,38,0,6
21717,0,0,217,30,30,国庆礼包,17,null,null,30,30,0,7
21718,0,0,217,8,8,壮士礼包,18,null,null,8,8,0,8
21719,0,0,217,28,28,豪杰礼包,19,null,null,28,28,0,9
21720,0,0,217,60,60,诸侯礼包,20,null,null,60,60,0,10
21721,0,0,217,128,128,王候礼包,21,null,null,128,128,0,11
21722,0,0,217,198,198,霸主礼包,22,null,null,198,198,0,12
21723,0,0,217,328,328,君王礼包,23,null,null,328,328,0,13
21724,0,0,217,388,388,帝王礼包,24,null,null,388,388,0,14
21725,0,0,217,28,28,觉醒礼包,25,null,null,28,28,0,15
21726,0,0,217,28,28,堕天礼包,26,null,null,28,28,0,16
21727,0,0,217,28,28,诸侯回归礼包,27,null,null,28,28,0,17
21728,0,0,217,28,28,王候回归礼包,28,null,null,28,28,0,18
21729,0,0,217,28,28,霸主回归礼包,29,null,null,28,28,0,19
21730,0,0,217,28,28,君王回归礼包,30,null,null,28,28,0,20
21731,0,0,217,28,28,帝王回归礼包,31,null,null,28,28,0,21
21736,0,0,217,38,38,团购礼包,36,null,null,28,28,0,22
21908,300,0,219,30,30,30元至尊礼包,8,null,null,null,30,1,
21909,500,0,219,50,50,50元至尊礼包,9,null,null,50,50,1,
21910,880,0,219,88,88,88元至尊礼包,10,null,null,88,88,1,
21907,10120,1320,219,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21906,7590,990,219,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21901,60,0,219,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21905,3300,300,219,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21904,1050,50,219,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21903,500,0,219,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21902,300,0,219,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21911,0,0,219,6,6,每日优惠礼包,11,null,null,6,6,0,1
21912,0,0,219,18,18,每日福利礼包,12,null,null,18,18,0,2
21913,0,0,219,30,30,春节礼包,13,null,null,30,30,0,3
21914,0,0,219,30,30,元宵礼包,14,null,null,30,30,0,4
21915,0,0,219,30,30,女将礼包,15,null,null,30,30,0,5
21916,0,0,219,38,38,暖冬礼包,16,null,null,38,38,0,6
21917,0,0,219,30,30,国庆礼包,17,null,null,30,30,0,7
21918,0,0,219,8,8,壮士礼包,18,null,null,8,8,0,8
21919,0,0,219,28,28,豪杰礼包,19,null,null,28,28,0,9
21920,0,0,219,60,60,诸侯礼包,20,null,null,60,60,0,10
21921,0,0,219,128,128,王候礼包,21,null,null,128,128,0,11
21922,0,0,219,198,198,霸主礼包,22,null,null,198,198,0,12
21923,0,0,219,328,328,君王礼包,23,null,null,328,328,0,13
21924,0,0,219,388,388,帝王礼包,24,null,null,388,388,0,14
21925,0,0,219,28,28,觉醒礼包,25,null,null,28,28,0,15
21926,0,0,219,28,28,堕天礼包,26,null,null,28,28,0,16
21927,0,0,219,28,28,诸侯回归礼包,27,null,null,28,28,0,17
21928,0,0,219,28,28,王候回归礼包,28,null,null,28,28,0,18
21929,0,0,219,28,28,霸主回归礼包,29,null,null,28,28,0,19
21930,0,0,219,28,28,君王回归礼包,30,null,null,28,28,0,20
21931,0,0,219,28,28,帝王回归礼包,31,null,null,28,28,0,21
21936,0,0,219,38,38,团购礼包,36,null,null,28,28,0,22
22008,300,0,220,300,30,30元至尊礼包,8,null,null,null,30,1,
22009,500,0,220,500,50,50元至尊礼包,9,null,null,50,50,1,
22010,880,0,220,880,88,88元至尊礼包,10,null,null,88,88,1,
22007,10120,1320,220,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22006,7590,990,220,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22001,60,0,220,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22005,3300,300,220,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22004,1050,50,220,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22003,500,0,220,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22002,300,0,220,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22011,0,0,220,60,6,每日优惠礼包,11,null,null,6,6,0,1
22012,0,0,220,180,18,每日福利礼包,12,null,null,18,18,0,2
22013,0,0,220,300,30,春节礼包,13,null,null,30,30,0,3
22014,0,0,220,300,30,元宵礼包,14,null,null,30,30,0,4
22015,0,0,220,300,30,女将礼包,15,null,null,30,30,0,5
22016,0,0,220,380,38,暖冬礼包,16,null,null,38,38,0,6
22017,0,0,220,300,30,国庆礼包,17,null,null,30,30,0,7
22018,0,0,220,80,8,壮士礼包,18,null,null,8,8,0,8
22019,0,0,220,280,28,豪杰礼包,19,null,null,28,28,0,9
22020,0,0,220,600,60,诸侯礼包,20,null,null,60,60,0,10
22021,0,0,220,1280,128,王候礼包,21,null,null,128,128,0,11
22022,0,0,220,1980,198,霸主礼包,22,null,null,198,198,0,12
22023,0,0,220,3280,328,君王礼包,23,null,null,328,328,0,13
22024,0,0,220,3880,388,帝王礼包,24,null,null,388,388,0,14
22025,0,0,220,280,28,觉醒礼包,25,null,null,28,28,0,15
22026,0,0,220,280,28,堕天礼包,26,null,null,28,28,0,16
22027,0,0,220,280,28,诸侯回归礼包,27,null,null,28,28,0,17
22028,0,0,220,280,28,王候回归礼包,28,null,null,28,28,0,18
22029,0,0,220,280,28,霸主回归礼包,29,null,null,28,28,0,19
22030,0,0,220,280,28,君王回归礼包,30,null,null,28,28,0,20
22031,0,0,220,280,28,帝王回归礼包,31,null,null,28,28,0,21
22036,0,0,220,380,38,团购礼包,36,null,null,28,28,0,22
22108,300,0,221,30,30,30元至尊礼包,8,null,null,null,30,1,
22109,500,0,221,50,50,50元至尊礼包,9,null,null,50,50,1,
22110,880,0,221,88,88,88元至尊礼包,10,null,null,88,88,1,
22107,10120,1320,221,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22106,7590,990,221,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22101,60,0,221,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22105,3300,300,221,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22104,1050,50,221,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22103,500,0,221,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22102,300,0,221,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22111,0,0,221,6,6,每日优惠礼包,11,null,null,6,6,0,1
22112,0,0,221,18,18,每日福利礼包,12,null,null,18,18,0,2
22113,0,0,221,30,30,春节礼包,13,null,null,30,30,0,3
22114,0,0,221,30,30,元宵礼包,14,null,null,30,30,0,4
22115,0,0,221,30,30,女将礼包,15,null,null,30,30,0,5
22116,0,0,221,38,38,暖冬礼包,16,null,null,38,38,0,6
22117,0,0,221,30,30,国庆礼包,17,null,null,30,30,0,7
22118,0,0,221,8,8,壮士礼包,18,null,null,8,8,0,8
22119,0,0,221,28,28,豪杰礼包,19,null,null,28,28,0,9
22120,0,0,221,60,60,诸侯礼包,20,null,null,60,60,0,10
22121,0,0,221,128,128,王候礼包,21,null,null,128,128,0,11
22122,0,0,221,198,198,霸主礼包,22,null,null,198,198,0,12
22123,0,0,221,328,328,君王礼包,23,null,null,328,328,0,13
22124,0,0,221,388,388,帝王礼包,24,null,null,388,388,0,14
22125,0,0,221,28,28,觉醒礼包,25,null,null,28,28,0,15
22126,0,0,221,28,28,堕天礼包,26,null,null,28,28,0,16
22127,0,0,221,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22128,0,0,221,28,28,王候回归礼包,28,null,null,28,28,0,18
22129,0,0,221,28,28,霸主回归礼包,29,null,null,28,28,0,19
22130,0,0,221,28,28,君王回归礼包,30,null,null,28,28,0,20
22131,0,0,221,28,28,帝王回归礼包,31,null,null,28,28,0,21
22136,0,0,221,38,38,团购礼包,36,null,null,28,28,0,22
22208,300,0,222,30,30,30元至尊礼包,8,null,null,null,30,1,
22209,500,0,222,50,50,50元至尊礼包,9,null,null,50,50,1,
22210,880,0,222,88,88,88元至尊礼包,10,null,null,88,88,1,
22207,10120,1320,222,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22206,7590,990,222,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22201,60,0,222,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22205,3300,300,222,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22204,1050,50,222,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22203,500,0,222,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22202,300,0,222,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22211,0,0,222,6,6,每日优惠礼包,11,null,null,6,6,0,1
22212,0,0,222,18,18,每日福利礼包,12,null,null,18,18,0,2
22213,0,0,222,30,30,春节礼包,13,null,null,30,30,0,3
22214,0,0,222,30,30,元宵礼包,14,null,null,30,30,0,4
22215,0,0,222,30,30,女将礼包,15,null,null,30,30,0,5
22216,0,0,222,38,38,暖冬礼包,16,null,null,38,38,0,6
22217,0,0,222,30,30,国庆礼包,17,null,null,30,30,0,7
22218,0,0,222,8,8,壮士礼包,18,null,null,8,8,0,8
22219,0,0,222,28,28,豪杰礼包,19,null,null,28,28,0,9
22220,0,0,222,60,60,诸侯礼包,20,null,null,60,60,0,10
22221,0,0,222,128,128,王候礼包,21,null,null,128,128,0,11
22222,0,0,222,198,198,霸主礼包,22,null,null,198,198,0,12
22223,0,0,222,328,328,君王礼包,23,null,null,328,328,0,13
22224,0,0,222,388,388,帝王礼包,24,null,null,388,388,0,14
22225,0,0,222,28,28,觉醒礼包,25,null,null,28,28,0,15
22226,0,0,222,28,28,堕天礼包,26,null,null,28,28,0,16
22227,0,0,222,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22228,0,0,222,28,28,王候回归礼包,28,null,null,28,28,0,18
22229,0,0,222,28,28,霸主回归礼包,29,null,null,28,28,0,19
22230,0,0,222,28,28,君王回归礼包,30,null,null,28,28,0,20
22231,0,0,222,28,28,帝王回归礼包,31,null,null,28,28,0,21
22236,0,0,222,38,38,团购礼包,36,null,null,28,28,0,22
22308,300,0,223,30,30,30元至尊礼包,8,null,null,null,30,1,
22309,500,0,223,50,50,50元至尊礼包,9,null,null,50,50,1,
22310,880,0,223,88,88,88元至尊礼包,10,null,null,88,88,1,
22301,60,0,223,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22304,1050,50,223,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22302,300,0,223,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
