序号,基础属性,特殊属性ID,特殊属性个数,属性初始经验,被动初始经验
id,strBaseAttr,nUltraAttrBag,nUltraCount,nInitAttrExp,nInitSkillExp
int,string,int,int,int,int
45313,80-133|106-160|53-106,413,3,0,0
41314,80-133|53-106|106-160,414,3,0,0
42314,80-133|80-133|80-133,414,3,0,0
43314,106-160|53-106|80-133,414,3,0,0
44314,80-133|80-133|80-133,414,3,0,0
45314,80-133|106-160|53-106,414,3,0,0
41315,80-133|53-106|106-160,415,3,0,0
42315,80-133|80-133|80-133,415,3,0,0
43315,106-160|53-106|80-133,415,3,0,0
44315,80-133|80-133|80-133,415,3,0,0
45315,80-133|106-160|53-106,415,3,0,0
41316,80-133|53-106|106-160,416,3,0,0
42316,80-133|80-133|80-133,416,3,0,0
43316,106-160|53-106|80-133,416,3,0,0
44316,80-133|80-133|80-133,416,3,0,0
45316,80-133|106-160|53-106,416,3,0,0
41317,80-133|53-106|106-160,417,3,0,0
42317,80-133|80-133|80-133,417,3,0,0
43317,106-160|53-106|80-133,417,3,0,0
44317,80-133|80-133|80-133,417,3,0,0
45317,80-133|106-160|53-106,417,3,0,0
41318,80-133|53-106|106-160,418,3,0,0
42318,80-133|80-133|80-133,418,3,0,0
43318,106-160|53-106|80-133,418,3,0,0
44318,80-133|80-133|80-133,418,3,0,0
45318,80-133|106-160|53-106,418,3,0,0
41319,118-133|91-106|145-160,419,3,0,0
42319,118-133|118-133|118-133,419,3,0,0
43319,145-160|91-106|118-133,419,3,0,0
44319,118-133|118-133|118-133,419,3,0,0
45319,118-133|145-160|91-106,419,3,0,0
10000,1-20|1-20|1-20,10000,0,0,0
20000,1-20|1-20|1-20,10000,1,120,400
30000,1-20|1-20|1-20,10000,2,120,400
40000,1-20|1-20|1-20,10000,3,120,400
50000,1-20|1-20|1-20,20000,1,120,400
60000,1-20|1-20|1-20,20000,2,120,400
70000,1-20|1-20|1-20,20000,3,120,400
80000,20-50|20-50|20-50,20000,1,120,400
90000,20-50|20-50|20-50,20000,2,120,400
100000,20-50|20-50|20-50,20000,3,120,400
110000,20-50|20-50|20-50,30000,1,120,400
120000,20-50|20-50|20-50,30000,2,120,400
130000,20-50|20-50|20-50,30000,3,120,400
140000,26-53|26-53|26-53,20000,1,120,400
150000,26-53|26-53|40-81,20000,2,120,400
160000,26-53|26-53|40-82,20000,3,120,400
170000,26-53|26-53|40-83,30000,1,120,400
180000,26-53|26-53|40-84,30000,2,120,400
190000,26-53|26-53|40-85,30000,3,120,400
200000,26-53|26-53|40-86,40000,1,120,400
210000,26-53|26-53|40-87,40000,2,120,400
220000,26-53|26-53|40-88,40000,3,120,400
230000,40-66|40-66|40-66,20000,2,120,400
240000,40-66|40-66|60-101,20000,3,120,400
250000,40-66|40-66|60-102,30000,2,120,400
260000,40-66|40-66|60-103,30000,3,120,400
270000,40-66|40-66|60-104,40000,2,120,400
280000,40-66|40-66|60-105,40000,3,120,400
290000,40-66|40-66|60-106,50000,2,120,400
300000,40-66|40-66|60-107,50000,3,120,400
310000,60|60|60,50000,3,120,400
320000,26-53|26-53|40-88,60000,1,120,400
330000,26-53|26-53|40-88,0,0,0,0
340000,26-53|26-53|40-88,70000,3,120,0
7000101,106|80|132,7000100,3,0,0
7000102,106|106|106,7000100,3,0,0
7000103,132|80|106,7000100,3,0,0
7000104,106|106|106,7000100,3,0,0
7000105,106|132|80,7000100,3,0,0
7000111,106|80|132,7000110,3,0,0
7000112,106|106|106,7000110,3,0,0
7000113,132|80|106,7000110,3,0,0
7000114,106|106|106,7000110,3,0,0
7000115,106|132|80,7000110,3,0,0
7000201,106|80|132,7000200,3,0,0
7000202,106|106|106,7000200,3,0,0
7000203,132|80|106,7000200,3,0,0
7000204,106|106|106,7000200,3,0,0
7000205,106|132|80,7000200,3,0,0
7000211,106|80|132,7000210,3,0,0
7000212,106|106|106,7000210,3,0,0
7000213,132|80|106,7000210,3,0,0
7000214,106|106|106,7000210,3,0,0
7000215,106|132|80,7000210,3,0,0
7000301,106|80|132,7000300,3,0,0
7000302,106|106|106,7000300,3,0,0
7000303,132|80|106,7000300,3,0,0
7000304,106|106|106,7000300,3,0,0
7000305,106|132|80,7000300,3,0,0
7000311,106|80|132,7000310,3,0,0
7000312,106|106|106,7000310,3,0,0
7000313,132|80|106,7000310,3,0,0
7000314,106|106|106,7000310,3,0,0
7000315,106|132|80,7000310,3,0,0
7000401,106|80|132,7000400,3,0,0
7000402,106|106|106,7000400,3,0,0
7000403,132|80|106,7000400,3,0,0
7000404,106|106|106,7000400,3,0,0
7000405,106|132|80,7000400,3,0,0
7000411,106|80|132,7000410,3,0,0
7000412,106|106|106,7000410,3,0,0
7000413,132|80|106,7000410,3,0,0
7000414,106|106|106,7000410,3,0,0
7000415,106|132|80,7000410,3,0,0
7000501,106|80|132,7000500,3,0,0
7000502,106|106|106,7000500,3,0,0
7000503,132|80|106,7000500,3,0,0
7000504,106|106|106,7000500,3,0,0
7000505,106|132|80,7000500,3,0,0
7000511,106|80|132,7000510,3,0,0
7000512,106|106|106,7000510,3,0,0
7000513,132|80|106,7000510,3,0,0
7000514,106|106|106,7000510,3,0,0
7000515,106|132|80,7000510,3,0,0
7000601,106|80|132,7000600,3,0,0
7000602,106|106|106,7000600,3,0,0
7000603,132|80|106,7000600,3,0,0
7000604,106|106|106,7000600,3,0,0
7000605,106|132|80,7000600,3,0,0
7000701,106|80|132,7000700,3,0,0
7000702,106|106|106,7000700,3,0,0
7000703,132|80|106,7000700,3,0,0
7000704,106|106|106,7000700,3,0,0
7000705,106|132|80,7000700,3,0,0
7000711,106|80|132,7000710,3,0,0
7000712,106|106|106,7000710,3,0,0
7000713,132|80|106,7000710,3,0,0
7000714,106|106|106,7000710,3,0,0
7000715,106|132|80,7000710,3,0,0
