序号|战法,活动类型(),排序索引,开启时间,活动持续时间（单位分钟）,关闭时间,时间参数,默认标题,跳转按钮文字（若为空，不显示跳转按钮）,跳转UI（0，不跳转| 11，充值界面| 1，推图界面| 14，抽卡界面| 24，竞技场| 6，卡册界面| 67，征讨| 9，封地| 17，活动界面|40，排行榜）,是否存储数,进行服务器ID,活动图标,活动背景图片,战力限制,未登陆时长[天],累计充值数额,整形参数1,整形参数2,整形参数3,整形参数4,整形参数5,整形参数6,整形参数7,整形参数8,整形参数9,整形参数10,整形参数11,字符串参数1,字符串参数2,字符串参数3,字符串参数4,字符串参数5,字符串参数6,提示信息,自动补发邮件ID
577,4,500004,2018|12|17|0|0|0,10079,2018|12|23|0|23|59,,周享礼包 好时节到,去充值,11,0,0,Banner_Zhouxianglibao11_Tex,Desc150145_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
578,4,500003,2018|12|17|0|0|0,10079,2018|12|23|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity16_Tex,Desc150146_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
579,4,500001,2018|12|17|0|0|0,4319,2018|12|19|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Tiangongkaiwu11_Tex,Desc150147_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
580,4,80955,2018|12|20|0|0|0,82079,2019|2|14|0|23|59,,庆典宝箱 惊喜不断,,0,0,0,Banner_shengshi_Tex,Desc150105_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
20217,15,80955,2018|6|4|0|0|0,10079,2018|6|10|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20218,15,80965,2018|6|11|0|0|0,10079,2018|6|17|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20219,15,80955,2018|6|18|0|0|0,7199,2018|6|22|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20220,15,80965,2018|6|23|0|0|0,2879,2018|6|24|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 238 0|2 239 0|3 240 0|4 250 0|5 251 0|6 252 0|7 253 0|8 245 0|9 246 0|10 247 0|11 248 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20221,15,80965,2018|6|25|0|0|0,10079,2018|7|1|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 238 0|2 249 0|3 240 0|4 241 0|5 242 0|6 243 0|7 244 0|8 245 0|9 246 0|10 247 0|11 248 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20222,15,80965,2018|7|2|0|0|0,10079,2018|7|8|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 238 0|2 239 0|3 240 0|4 250 0|5 251 0|6 252 0|7 253 0|8 245 0|9 246 0|10 247 0|11 248 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20223,15,80965,2018|7|9|0|0|0,10079,2018|7|15|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 238 0|2 249 0|3 240 0|4 241 0|5 242 0|6 243 0|7 244 0|8 245 0|9 246 0|10 247 0|11 248 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20224,15,80955,2018|7|16|0|0|0,10079,2018|7|22|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20225,15,80965,2018|7|23|0|0|0,10079,2018|7|29|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20226,15,80955,2018|7|30|0|0|0,10079,2018|8|5|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 254 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20227,15,80965,2018|8|6|0|0|0,10079,2018|8|12|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20228,15,80955,2018|8|13|0|0|0,10079,2018|8|19|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 255 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20229,15,80965,2018|8|20|0|0|0,10079,2018|8|26|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20230,15,80955,2018|8|27|0|0|0,10079,2018|9|2|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20231,15,80965,2018|9|3|0|0|0,10079,2018|9|9|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20232,15,80955,2018|9|10|0|0|0,10079,2018|9|16|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20233,15,80965,2018|9|17|0|0|0,10079,2018|9|23|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20234,15,80955,2018|9|24|0|0|0,10079,2018|9|30|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20235,15,80965,2018|10|1|0|0|0,10079,2018|10|7|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20236,15,80955,2018|10|8|0|0|0,10079,2018|10|14|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20237,15,80965,2018|10|15|0|0|0,10079,2018|10|21|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20238,15,80955,2018|10|22|0|0|0,10079,2018|10|28|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20239,15,80965,2018|10|29|0|0|0,10079,2018|11|4|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20240,15,80955,2018|11|5|0|0|0,10079,2018|11|11|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20241,15,80965,2018|11|12|0|0|0,10079,2018|11|18|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20242,15,80955,2018|11|19|0|0|0,10079,2018|11|25|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20243,15,80965,2018|11|26|0|0|0,10079,2018|12|2|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20244,15,80955,2018|12|3|0|0|0,10079,2018|12|9|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
20245,15,80965,2018|12|10|0|0|0,10079,2018|12|16|0|23|59,,神将至麾下平定乱世,去招募,14,0,0,Banner_Activity07_Tex,activity04_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 185 0|5 186 0|6 187 0|7 188 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-],200000
20246,15,80955,2018|12|17|0|0|0,10079,2018|12|23|0|23|59,,神兵猛将 等君招募,去招募,14,0,0,Banner_Activity03_Tex,activity02_Bg_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 108 0,NULL,NULL,activity02_Title_Tex,NULL,活动期间，银币招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
2553,9,80942,2018|6|1|0|20|0,120,2018|6|1|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2554,9,80942,2018|6|2|0|20|0,120,2018|6|2|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2555,9,80942,2018|6|3|0|20|0,120,2018|6|3|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2556,9,80940,2018|5|28|0|0|0,1439,2018|5|28|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Activity07_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2557,9,80940,2018|5|29|0|0|0,1439,2018|5|29|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Activity07_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2558,9,80940,2018|5|30|0|0|0,1439,2018|5|30|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Activity07_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2559,9,80951,2018|6|2|0|0|0,2879,2018|6|3|0|23|59,,燕舞翩跹 箭过惊鸿,立即参加,11,1,0,Banner_Activity04_Tex,activity_huangwudie_tex,0,0,0,2,0,5,3888,6888,10888,18888,25888,0,0,0,您当前累计充值{0}钻石,下个宝箱：累计充值{0}钻石,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2560,9,80956,2018|6|4|0|0|0,10079,2018|6|10|0|23|59,,招募惊喜 好礼来伴,立即参加,17,1,0,Banner_Activity06_Tex,activity_loginreward_tex,0,0,0,2,6,5,20,40,90,120,150,0,0,0,您当前累计银币招募{0}次,下个宝箱：累计银币招募{0}次,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2561,9,80958,2018|6|7|0|0|0,5759,2018|6|10|0|23|59,,天降神兵 威风八面,立即参加,71,1,0,Banner_Activity02_Tex,activity_bingshu_tex,0,0,0,2,12,4,10,20,35,45,0,0,0,0,您当前累计购买兵书{0}次,下个宝箱：累计购买兵书{0}次,青铜礼包|白银礼包|黄金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2562,9,80957,2018|6|4|0|0|0,10079,2018|6|10|0|23|59,,周享礼包 好时节到,立即参加,11,1,0,Banner_Activity05_Tex,activity_diamond_tex,0,0,0,1,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2563,9,80952,2018|6|4|0|20|0,120,2018|6|4|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2564,9,80952,2018|6|5|0|20|0,120,2018|6|5|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2565,9,80952,2018|6|6|0|20|0,120,2018|6|6|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2566,9,80952,2018|6|7|0|20|0,120,2018|6|7|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2567,9,80952,2018|6|8|0|20|0,120,2018|6|8|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2568,9,80952,2018|6|9|0|20|0,120,2018|6|9|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2569,9,80952,2018|6|10|0|20|0,120,2018|6|10|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2570,9,80950,2018|6|4|0|0|0,1439,2018|6|4|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Activity07_Tex,activity_bookkey_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2571,9,80950,2018|6|5|0|0|0,1439,2018|6|5|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Activity07_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2572,9,80950,2018|6|6|0|0|0,1439,2018|6|6|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Activity07_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2573,9,80959,2018|6|4|0|0|0,1439,2018|6|4|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2574,9,80959,2018|6|5|0|0|0,1439,2018|6|5|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2575,9,80959,2018|6|6|0|0|0,1439,2018|6|6|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Activity09_Tex,activity_silverkey_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2576,9,80946,2018|6|11|0|0|0,10079,2018|6|17|0|23|59,,招募惊喜 好礼来伴,立即参加,17,1,0,Banner_Activity01_Tex,activity_loginreward_tex,0,0,0,2,7,6,1,10,40,80,120,150,0,0,您当前累计精选招募{0}次,下个宝箱：累计精选招募{0}次,青铜礼包|白银礼包|黄金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2577,9,80959,2018|6|11|0|0|0,1439,2018|6|11|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2578,9,80959,2018|6|12|0|0|0,1439,2018|6|12|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2579,9,80959,2018|6|13|0|0|0,1439,2018|6|13|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Activity09_Tex,activity_silverkey_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2580,9,80958,2018|6|14|0|0|0,5759,2018|6|17|0|23|59,,天降神兵 威风八面,立即参加,71,1,0,Banner_Activity02_Tex,activity_bingshu_tex,0,0,0,2,12,4,10,20,35,45,0,0,0,0,您当前累计购买兵书{0}次,下个宝箱：累计购买兵书{0}次,青铜礼包|白银礼包|黄金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2581,9,80957,2018|6|11|0|0|0,10079,2018|6|17|0|23|59,,周享礼包 好时节到,立即参加,11,1,0,Banner_Activity05_Tex,activity_diamond_tex,0,0,0,1,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2582,9,80952,2018|6|11|0|20|0,120,2018|6|11|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2583,9,80952,2018|6|12|0|20|0,120,2018|6|12|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2584,9,80952,2018|6|13|0|20|0,120,2018|6|13|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2585,9,80952,2018|6|14|0|20|0,120,2018|6|14|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2586,9,80952,2018|6|15|0|20|0,120,2018|6|15|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity08_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
