必读：此列上线后只能增、删，不能改，否则玩家数据对不上号,月份,天数,奖励1,奖励2,奖励3,特殊标记（0否1是）,奖励4,奖励5,奖励6,奖励7
495,12,14,5|40|1,3|60|1,2|150000|1,0,200|62|50,null,null,null
496,12,15,5|40|1,3|60|1,2|150000|1,1,27|6|1,null,null,null
497,12,16,5|45|1,3|70|1,2|200000|1,0,33|5|1,null,null,null
498,12,17,5|45|1,3|70|1,2|200000|1,0,29|3|1,null,null,null
499,12,18,5|45|1,3|70|1,2|200000|1,0,34|1|1,null,null,null
500,12,19,5|45|1,3|70|1,2|200000|1,0,2|3000000|1,null,null,null
501,12,20,5|45|1,3|70|1,2|200000|1,1,200|61|400,null,null,null
502,12,21,5|50|1,3|70|1,2|250000|1,0,16|5|1,null,null,null
503,12,22,5|50|1,3|70|1,2|250000|1,0,23|5|1,null,null,null
504,12,23,5|50|1,3|80|1,2|250000|1,0,34|1|1,null,null,null
505,12,24,5|50|1,3|80|1,2|250000|1,0,28|200|1,null,null,null
506,12,25,5|50|1,3|80|1,2|250000|1,1,1|251 1 0|1,5|200|1,null,null
507,12,26,5|50|1,3|80|1,2|300000|1,1,1|481 1 0|1,null,null,null
508,12,27,5|50|1,3|80|1,2|300000|1,1,18|15|1,null,null,null
509,12,28,5|50|1,3|80|1,2|300000|1,1,23|10|1,null,null,null
510,12,29,5|50|1,3|80|1,2|300000|1,1,29|5|1,null,null,null
511,12,30,5|50|1,3|90|1,2|500000|1,1,34|4|1,null,null,null
512,12,31,5|50|1,3|90|1,2|500000|1,1,26|5|1,null,null,null
