道具ID,商品类型,商品子类型,商品数量,需要战力,货币类型,货币子类型,价格,自定义参数,自定义参数,商品描述
8603,31,7000603,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：反骑[-]
8604,31,7000604,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：反骑[-]
8605,31,7000605,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：反骑[-]
8606,31,7000211,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：会心[-]
8607,31,7000212,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：会心[-]
8608,31,7000213,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：会心[-]
8609,31,7000214,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：会心[-]
8610,31,7000215,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：会心[-]
8701,31,7000701,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：舍身[-]
8702,31,7000702,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：舍身[-]
8703,31,7000703,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：舍身[-]
8704,31,7000704,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：舍身[-]
8705,31,7000705,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：舍身[-]
8706,31,7000111,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：持盾[-]
8707,31,7000112,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：持盾[-]
8708,31,7000113,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：持盾[-]
8709,31,7000114,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：持盾[-]
8710,31,7000115,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：持盾[-]
8801,31,7000711,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：谨慎[-]
8802,31,7000712,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：谨慎[-]
8803,31,7000713,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：谨慎[-]
8804,31,7000714,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：谨慎[-]
8805,31,7000715,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：谨慎[-]
8806,31,7000311,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：集中[-]
8807,31,7000312,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：集中[-]
8808,31,7000313,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：集中[-]
8809,31,7000314,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：集中[-]
8810,31,7000315,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：集中[-]
10901,1,318,1,0,51,0,1700,0,0,用于【貂蝉】升星的武将印
10902,1,319,1,0,51,0,1700,0,0,用于【貂蝉】升星的武将印
10903,1,329,1,0,51,0,1700,0,0,用于【张辽】升星的武将印
10904,1,330,1,0,51,0,1700,0,0,用于【张辽】升星的武将印
2145,32,35,1,0,36,0,150,0,0,用于合成【曹仁】专属战器的神器碎片
2146,32,35,2,9000,36,0,300,0,0,用于合成【曹仁】专属战器的神器碎片
2147,32,35,3,30000,36,0,450,0,0,用于合成【曹仁】专属战器的神器碎片
2148,32,35,5,70000,36,0,750,0,0,用于合成【曹仁】专属战器的神器碎片
10905,1,340,1,0,51,0,1700,0,0,用于【孙策】升星的武将印
10906,1,341,1,0,51,0,1700,0,0,用于【孙策】升星的武将印
10907,1,346,1,0,51,0,1700,0,0,用于【孙坚】升星的武将印
10908,1,347,1,0,51,0,1700,0,0,用于【孙坚】升星的武将印
10909,1,354,1,0,51,0,1700,0,0,用于【甄姬】升星的武将印
10910,1,355,1,0,51,0,1700,0,0,用于【甄姬】升星的武将印
10911,1,371,1,0,51,0,1700,0,0,用于【贾诩】升星的武将印
10912,1,372,1,0,51,0,1700,0,0,用于【贾诩】升星的武将印
10913,1,384,1,0,51,0,1700,0,0,用于【姜维】升星的武将印
10914,1,385,1,0,51,0,1700,0,0,用于【姜维】升星的武将印
10915,1,388,1,0,51,0,1700,0,0,用于【曹仁】升星的武将印
10916,1,389,1,0,51,0,1700,0,0,用于【曹仁】升星的武将印
10917,1,392,1,0,51,0,1700,0,0,用于【孙尚香】升星的武将印
10918,1,393,1,0,51,0,1700,0,0,用于【孙尚香】升星的武将印
10919,1,396,1,0,51,0,1700,0,0,用于【黄月英】升星的武将印
10920,1,397,1,0,51,0,1700,0,0,用于【黄月英】升星的武将印
10921,1,401,1,0,51,0,1700,0,0,用于【吕蒙】升星的武将印
10922,1,402,1,0,51,0,1700,0,0,用于【吕蒙】升星的武将印
10923,1,405,1,0,51,0,1700,0,0,用于【荀彧】升星的武将印
10924,1,406,1,0,51,0,1700,0,0,用于【荀彧】升星的武将印
10925,1,409,1,0,51,0,1700,0,0,用于【曹丕】升星的武将印
10926,1,410,1,0,51,0,1700,0,0,用于【曹丕】升星的武将印
10927,1,413,1,0,51,0,1700,0,0,用于【颜良】升星的武将印
10928,1,417,1,0,51,0,1700,0,0,用于【文丑】升星的武将印
10929,1,376,1,0,51,0,1700,0,0,用于【吕姬】升星的武将印
10930,1,377,1,0,51,0,1700,0,0,用于【吕姬】升星的武将印
10931,1,380,1,0,51,0,1700,0,0,用于【吕玲绮】升星的武将印
10932,1,381,1,0,51,0,1700,0,0,用于【吕玲绮】升星的武将印
10933,1,421,1,0,51,0,1700,0,0,用于【凌统】升星的武将印
10934,1,422,1,0,51,0,1700,0,0,用于【凌统】升星的武将印
10935,1,425,1,0,51,0,1700,0,0,用于【庞统】升星的武将印
10936,1,426,1,0,51,0,1700,0,0,用于【庞统】升星的武将印
10937,1,429,1,0,51,0,1700,0,0,用于【典韦】升星的武将印
10938,1,430,1,0,51,0,1700,0,0,用于【典韦】升星的武将印
10939,1,435,1,0,51,0,1700,0,0,用于【甘宁】升星的武将印
10940,1,436,1,0,51,0,1700,0,0,用于【甘宁】升星的武将印
10941,1,439,1,0,51,0,1700,0,0,用于【袁绍】升星的武将印
10942,1,440,1,0,51,0,1700,0,0,用于【袁绍】升星的武将印
10943,1,443,1,0,51,0,1700,0,0,用于【鲁肃】升星的武将印
10944,1,444,1,0,51,0,1700,0,0,用于【鲁肃】升星的武将印
10945,1,447,1,0,51,0,1700,0,0,用于【魏延】升星的武将印
10946,1,448,1,0,51,0,1700,0,0,用于【魏延】升星的武将印
11001,1,254,1,0,51,0,1000,0,0,用于【曹操】升星的武将印
11002,1,255,1,0,51,0,1000,0,0,用于【曹操】升星的武将印
11003,1,258,1,0,51,0,1000,0,0,用于【吕布】升星的武将印
11004,1,259,1,0,51,0,1000,0,0,用于【吕布】升星的武将印
11005,1,262,1,0,51,0,1000,0,0,用于【刘备】升星的武将印
11006,1,263,1,0,51,0,1000,0,0,用于【刘备】升星的武将印
11007,1,266,1,0,51,0,1000,0,0,用于【孙权】升星的武将印
11008,1,267,1,0,51,0,1000,0,0,用于【孙权】升星的武将印
11009,1,270,1,0,51,0,1000,0,0,用于【董卓】升星的武将印
11010,1,271,1,0,51,0,1000,0,0,用于【董卓】升星的武将印
11011,1,274,1,0,51,0,1000,0,0,用于【太史慈】升星的武将印
11012,1,275,1,0,51,0,1000,0,0,用于【太史慈】升星的武将印
11013,1,283,1,0,51,0,1000,0,0,用于【关羽】升星的武将印
11014,1,284,1,0,51,0,1000,0,0,用于【关羽】升星的武将印
11015,1,287,1,0,51,0,1000,0,0,用于【诸葛亮】升星的武将印
11016,1,288,1,0,51,0,1000,0,0,用于【诸葛亮】升星的武将印
11017,1,291,1,0,51,0,1000,0,0,用于【司马懿】升星的武将印
11018,1,292,1,0,51,0,1000,0,0,用于【司马懿】升星的武将印
11019,1,295,1,0,51,0,1000,0,0,用于【周瑜】升星的武将印
11020,1,296,1,0,51,0,1000,0,0,用于【周瑜】升星的武将印
11021,1,303,1,0,51,0,1000,0,0,用于【赵云】升星的武将印
11022,1,304,1,0,51,0,1000,0,0,用于【赵云】升星的武将印
11023,1,307,1,0,51,0,1000,0,0,用于【张角】升星的武将印
11024,1,308,1,0,51,0,1000,0,0,用于【张角】升星的武将印
11025,1,311,1,0,51,0,1000,0,0,用于【夏侯惇】升星的武将印
11026,1,312,1,0,51,0,1000,0,0,用于【夏侯惇】升星的武将印
11027,1,322,1,0,51,0,1000,0,0,用于【张飞】升星的武将印
11028,1,323,1,0,51,0,1000,0,0,用于【张飞】升星的武将印
11029,1,336,1,0,51,0,1000,0,0,用于【马超】升星的武将印
11030,1,337,1,0,51,0,1000,0,0,用于【马超】升星的武将印
11031,1,358,1,0,51,0,1000,0,0,用于【陆逊】升星的武将印
11032,1,359,1,0,51,0,1000,0,0,用于【陆逊】升星的武将印
11033,1,365,1,0,51,0,1000,0,0,用于【黄忠】升星的武将印
11034,1,366,1,0,51,0,1000,0,0,用于【黄忠】升星的武将印
11101,2,0,400000,0,51,0,15,0,0,卡魂可用于加强武将能力、升级封地等级等
11102,28,0,55,0,51,0,35,0,0,印玉用于武将升星
11103,23,0,40,0,51,0,80,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
11104,23,0,100,0,51,0,300,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
2149,32,36,1,0,36,0,150,0,0,用于合成【孙尚香】专属战器的神器碎片
2150,32,36,2,9000,36,0,300,0,0,用于合成【孙尚香】专属战器的神器碎片
2151,32,36,3,30000,36,0,450,0,0,用于合成【孙尚香】专属战器的神器碎片
2152,32,36,5,70000,36,0,750,0,0,用于合成【孙尚香】专属战器的神器碎片
2153,32,37,1,0,36,0,150,0,0,用于合成【颜良】专属战器的神器碎片
2154,32,37,2,9000,36,0,300,0,0,用于合成【颜良】专属战器的神器碎片
2155,32,37,3,30000,36,0,450,0,0,用于合成【颜良】专属战器的神器碎片
2156,32,37,5,70000,36,0,750,0,0,用于合成【颜良】专属战器的神器碎片
2157,32,38,1,0,36,0,150,0,0,用于合成【甘宁】专属战器【霸海刀】的神器碎片
2158,32,38,2,9000,36,0,300,0,0,用于合成【甘宁】专属战器【霸海刀】的神器碎片
2159,32,38,3,30000,36,0,450,0,0,用于合成【甘宁】专属战器【霸海刀】的神器碎片
2160,32,38,5,70000,36,0,750,0,0,用于合成【甘宁】专属战器【霸海刀】的神器碎片
2161,32,39,1,0,36,0,150,0,0,用于合成【甘宁】专属战器【千浪破】的神器碎片
2162,32,39,2,9000,36,0,300,0,0,用于合成【甘宁】专属战器【千浪破】的神器碎片
2163,32,39,3,30000,36,0,450,0,0,用于合成【甘宁】专属战器【千浪破】的神器碎片
2164,32,39,5,70000,36,0,750,0,0,用于合成【甘宁】专属战器【千浪破】的神器碎片
2165,32,40,1,0,36,0,150,0,0,用于合成【袁绍】专属战器【思召剑】的神器碎片
2166,32,40,2,9000,36,0,300,0,0,用于合成【袁绍】专属战器【思召剑】的神器碎片
2167,32,40,3,30000,36,0,450,0,0,用于合成【袁绍】专属战器【思召剑】的神器碎片
2168,32,40,5,70000,36,0,750,0,0,用于合成【袁绍】专属战器【思召剑】的神器碎片
2169,32,41,1,0,36,0,150,0,0,用于合成【魏延】专属战器【鬼魇刀】的神器碎片
2170,32,41,2,9000,36,0,300,0,0,用于合成【魏延】专属战器【鬼魇刀】的神器碎片
2171,32,41,3,30000,36,0,450,0,0,用于合成【魏延】专属战器【鬼魇刀】的神器碎片
2172,32,41,5,70000,36,0,750,0,0,用于合成【魏延】专属战器【鬼魇刀】的神器碎片
2173,32,42,1,0,36,0,150,0,0,用于合成【汉献帝】专属战器【赤霄剑】的神器碎片
2174,32,42,2,9000,36,0,300,0,0,用于合成【汉献帝】专属战器【赤霄剑】的神器碎片
2175,32,42,3,30000,36,0,450,0,0,用于合成【汉献帝】专属战器【赤霄剑】的神器碎片
2176,32,42,5,70000,36,0,750,0,0,用于合成【汉献帝】专属战器【赤霄剑】的神器碎片
2177,32,43,1,0,36,0,150,0,0,用于合成【夏侯渊】专属战器【克敌机先】的神器碎片
2178,32,43,2,9000,36,0,300,0,0,用于合成【夏侯渊】专属战器【克敌机先】的神器碎片
2179,32,43,3,30000,36,0,450,0,0,用于合成【夏侯渊】专属战器【克敌机先】的神器碎片
2180,32,43,5,70000,36,0,750,0,0,用于合成【夏侯渊】专属战器【克敌机先】的神器碎片
2181,32,44,1,0,36,0,150,0,0,用于合成【周泰】专属战器【青冥剑】的神器碎片
2182,32,44,2,9000,36,0,300,0,0,用于合成【周泰】专属战器【青冥剑】的神器碎片
2183,32,44,3,30000,36,0,450,0,0,用于合成【周泰】专属战器【青冥剑】的神器碎片
2184,32,44,5,70000,36,0,750,0,0,用于合成【周泰】专属战器【青冥剑】的神器碎片
2185,32,46,1,0,36,0,150,0,0,用于合成【许褚】专属战器【虎煞刀】的神器碎片
2186,32,46,2,9000,36,0,300,0,0,用于合成【许褚】专属战器【虎煞刀】的神器碎片
2187,32,46,3,30000,36,0,450,0,0,用于合成【许褚】专属战器【虎煞刀】的神器碎片
2188,32,46,5,70000,36,0,750,0,0,用于合成【许褚】专属战器【虎煞刀】的神器碎片
2189,32,45,1,0,36,0,150,0,0,用于合成【华佗】专属战器【五行鬼谷杖】的神器碎片
2190,32,45,2,9000,36,0,300,0,0,用于合成【华佗】专属战器【五行鬼谷杖】的神器碎片
2191,32,45,3,30000,36,0,450,0,0,用于合成【华佗】专属战器【五行鬼谷杖】的神器碎片
2192,32,45,5,70000,36,0,750,0,0,用于合成【华佗】专属战器【五行鬼谷杖】的神器碎片
12001,1,1374,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12002,1,1386,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12003,1,1383,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12004,1,1424,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12005,1,1321,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12006,1,1399,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12007,1,1257,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12008,1,1343,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12009,1,1338,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12010,1,1382,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12011,1,1314,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12012,1,1423,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12013,1,1357,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12014,1,1265,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12015,1,1431,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12016,1,1438,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12017,1,1449,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12018,1,1309,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12019,1,1458,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
12020,1,1445,1,0,51,0,10000,0,0,“他们经过国战的洗礼，变得更强了”
20001,52,504,1,0,5,0,0,10002,2,六韬·军略·残页
20002,52,505,1,0,5,0,0,10002,2,六韬·金鼓·残页
20003,52,506,1,0,5,0,0,10002,2,六韬·文伐·残页
20004,52,504,2,0,5,0,0,10003,3,六韬·军略·残页
20005,52,505,2,0,5,0,0,10003,3,六韬·金鼓·残页
20006,52,506,2,0,5,0,0,10003,3,六韬·文伐·残页
20007,52,501,1,0,5,0,0,10004,3,六韬·武锋·残页
20008,52,502,1,0,5,0,0,10004,3,六韬·三疑·残页
20009,52,503,1,0,5,0,0,10004,3,六韬·兵道·残页
20010,52,404,1,0,5,0,0,10005,4,六韬·军略·残篇
20011,52,405,1,0,5,0,0,10005,4,六韬·金鼓·残篇
20012,52,406,1,0,5,0,0,10005,4,六韬·文伐·残篇
20013,52,501,2,0,5,0,0,10006,4,六韬·武锋·残页
20014,52,502,2,0,5,0,0,10006,4,六韬·三疑·残页
20015,52,503,2,0,5,0,0,10006,4,六韬·兵道·残页
9001,2,0,150000,0,1,7999,7,0,0,卡魂可用于加强武将能力、升级封地等级等
9002,27,0,2,0,1,7999,12,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
9003,33,0,2,0,1,7999,12,0,0,银钥匙，纯银打造的钥匙，可以用于“战器寻宝”。
9004,28,0,10,0,1,7999,16,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
9005,53,0,1,0,1,7999,30,0,0,玉牌，可以在购买兵书时代替钻石花费。
9006,16,0,1,0,1,7999,8,0,0,青龙石，“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
9007,17,0,2,0,1,7999,4,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
9008,18,0,2,0,1,7999,4,0,0,朱雀石，“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
9009,19,0,5,0,1,7999,4,0,0,玄武石，“四圣兽●玄武”精魂化为的玉石，可以增加兵力。
9010,23,0,1,0,1,7999,5,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
9011,47,0,5,0,1,7999,12,0,0,木材，质地较软，可用于“战争工坊”研发和升星。
9012,44,0,5,0,1,7999,12,0,0,铁，质地坚硬而脆，可用于“战争工坊”的研发和升星。
9013,43,0,1,0,1,7999,30,0,0,工坊图纸，画有复杂机关结构的图纸，可用于“战争工坊”的研发和升星。
13009,1,430,1,0,1,7010,1,0,0,用于【典韦】升星的武将印
13010,1,405,1,0,1,7010,1,0,0,用于【荀彧】升星的武将印
13011,1,406,1,0,1,7010,1,0,0,用于【荀彧】升星的武将印
13012,1,409,1,0,1,7010,1,0,0,用于【曹丕】升星的武将印
13013,1,429,1,0,1,7010,1,0,0,用于【典韦】升星的武将印
13014,1,396,1,0,1,7010,1,0,0,用于【黄月英】升星的武将印
13015,1,384,1,0,1,7010,1,0,0,用于【姜维】升星的武将印
13016,1,385,1,0,1,7010,1,0,0,用于【姜维】升星的武将印
13017,1,425,1,0,1,7010,1,0,0,用于【庞统】升星的武将印
13018,1,426,1,0,1,7010,1,0,0,用于【庞统】升星的武将印
13019,1,393,1,0,1,7010,1,0,0,用于【孙尚香】升星的武将印
13020,1,435,1,0,1,7010,1,0,0,用于【甘宁】升星的武将印
13021,1,436,1,0,1,7010,1,0,0,用于【甘宁】升星的武将印
13022,1,443,1,0,1,7010,1,0,0,用于【鲁肃】升星的武将印
13023,1,444,1,0,1,7010,1,0,0,用于【鲁肃】升星的武将印
13024,1,439,1,0,1,7010,1,0,0,用于【袁绍】升星的武将印
13025,1,440,1,0,1,7010,1,0,0,用于【袁绍】升星的武将印
13026,1,380,1,0,1,7010,1,0,0,用于【吕玲绮】升星的武将印
13027,1,413,1,0,1,7010,1,0,0,用于【颜良】升星的武将印
13028,1,417,1,0,1,7010,1,0,0,用于【文丑】升星的武将印
13029,1,447,1,0,1,7010,1,0,0,用于【魏延】升星的武将印
13030,1,448,1,0,1,7010,1,0,0,用于【魏延】升星的武将印
13031,1,455,1,0,1,7010,1,0,0,用于【郭嘉】升星的武将印
13032,1,456,1,0,1,7010,1,0,0,用于【郭嘉】升星的武将印
13033,1,414,1,0,1,7010,1,0,0,用于【颜良】升星的武将印
13034,1,418,1,0,1,7010,1,0,0,用于【文丑】升星的武将印
13035,1,464,1,0,1,7010,1,0,0,用于【大乔】升星的武将印
13036,1,468,1,0,1,7010,1,0,0,用于【黄舞蝶】升星的武将印
13037,1,473,1,0,1,7010,1,0,0,用于【夏侯渊】升星的武将印
13038,1,476,1,0,1,7010,1,0,0,用于【小乔】升星的武将印
13039,1,481,1,0,1,7010,1,0,0,用于【于吉】升星的武将印
16002,200,58,200,0,50,0,100,0,0,用于洗练战器的某条属性
16003,200,58,300,0,50,0,300,0,0,用于洗练战器的某条属性
16004,200,58,500,0,50,0,800,0,0,用于洗练战器的某条属性
16005,200,59,3,0,50,0,450,0,0,用于重置战器的属性
16006,23,0,30,0,50,0,600,0,0,用于武将、将魂、战器传承以及兵符洗炼
16007,23,0,80,0,50,0,2000,0,0,用于武将、将魂、战器传承以及兵符洗炼
700000,28,0,10,0,1,7012,1,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
700001,29,0,10,0,1,7012,5,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
700002,53,0,10,0,1,7012,10,0,0,玉牌，可以在购买兵书时代替钻石花费。
700003,34,0,10,0,1,7012,20,0,0,金钥匙，珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
700004,1,5,1,0,1,7012,50,0,0,少壮则为魏画篡汉策，及老又为子孙定篡魏策，兴亡若置棋，亦可叹矣
700005,1,369,1,0,1,7012,50,0,0,宣穆阅礼，偶德潜鳞，翊天造之艰虞，嗣涂山之逸响，宝运归其后胤，盖有母仪之助焉
700006,1,3,1,0,1,7012,50,0,0,鞠躬尽瘁、死而后已
700007,1,67,1,0,1,7012,50,0,0,莫作孔明择妇，正得阿承丑女
700008,1,10,1,0,1,7012,50,0,0,世间豪杰英雄士、江左风流美丈夫
700009,1,46,1,0,1,7012,50,0,0,东风不与周郎便，铜雀春深锁二乔
700010,1,19,1,0,1,7012,50,0,0,人中吕布，马中赤兔
700011,1,34,1,0,1,7012,50,0,0,不负司徒托，锄奸救汉祚。一出连环计，千秋美传说。
50001,19,0,1,0,103,11,2,0,0,玄武石，“四圣兽●玄武”精魂化为的玉石，可以增加兵力。
50002,18,0,1,0,103,11,12,0,0,朱雀石，“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
50003,17,0,1,0,103,11,12,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
50004,16,0,1,0,103,11,20,0,0,青龙石，“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
50005,28,0,5,0,103,11,20,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
50006,53,0,1,0,103,11,60,0,0,玉牌，可以在购买兵书时代替钻石花费。
50007,29,0,1,0,103,11,30,0,0,血玉，用于强化武将、战器。
50008,1,7006,1,0,103,11,300,0,0,天命卡，可以用于兑换限定卡
52001,2,0,300000,0,103,17,270,0,0,卡魂可用于加强武将能力、升级封地等级等
52002,33,0,1,0,103,17,230,0,0,银钥匙，纯银打造的钥匙，可以用于“战器寻宝”。
52003,200,58,10,0,103,17,45,0,0,淬炼石，可以改变某个单独词条。
52004,27,0,1,0,103,17,270,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
52005,26,0,1,0,103,17,860,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
52006,29,0,1,0,103,17,680,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
52007,53,0,1,0,103,17,1620,0,0,玉牌，可以在购买兵书时代替钻石花费。
52008,200,59,1,0,103,17,675,0,0,重置券，可以改变战器的词条数量。
52009,23,0,1,0,103,17,180,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
52010,1,453,1,0,103,17,48000,0,0,武将“天子汉献帝”
52011,1,451,1,0,103,17,10000,0,0,武将“天子汉献帝”的升星印
53001,104,4012,1,0,1,7015,5,0,0,苍龙兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53002,104,4022,1,0,1,7015,5,0,0,猛虎兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53003,104,4032,1,0,1,7015,5,0,0,火凤兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53004,104,4042,1,0,1,7015,5,0,0,天狼兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53005,104,4052,1,0,1,7015,5,0,0,玄龟兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53006,104,4062,1,0,1,7015,5,0,0,翔鹰兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53007,104,4072,1,0,1,7015,5,0,0,麒麟兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53008,104,4082,1,0,1,7015,5,0,0,青鸾兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53009,2,0,300000,0,1,7015,1,0,0,卡魂可用于加强武将能力、升级封地等级等
53010,28,0,3,0,1,7015,1,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
53011,29,0,1,0,1,7015,4,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
53012,200,58,30,0,1,7015,1,0,0,淬炼石，可以改变某个单独词条。
53013,1,453,1,0,1,7016,80,0,0,武将“天子汉献帝”
53014,1,451,1,0,1,7016,16,0,0,武将“天子汉献帝”的升星印
53101,104,5012,1,0,1,7016,5,0,0,苍龙兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53102,104,5022,1,0,1,7016,5,0,0,猛虎兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53103,104,5032,1,0,1,7016,5,0,0,火凤兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53104,104,5042,1,0,1,7016,5,0,0,天狼兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53105,104,5052,1,0,1,7016,5,0,0,玄龟兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53106,104,5062,1,0,1,7016,5,0,0,翔鹰兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53107,104,5072,1,0,1,7016,5,0,0,麒麟兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53108,104,5082,1,0,1,7016,5,0,0,青鸾兵符2号位，主属性从武力加成、智力加成、兵力加成、三维加成、移速增加和移速降低中随机获得
53109,16,0,2,0,1,7016,1,0,0,青龙石，“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
53110,200,59,1,0,1,7016,1,0,0,重置券，可以改变战器的词条数量。
53111,53,0,1,0,1,7016,2,0,0,玉牌，可以在购买兵书时代替钻石花费。
53112,34,0,1,0,1,7016,3,0,0,金钥匙，珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
60001,16,1,3,0,2,1,3300000,0,0,青龙石，“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
