序号,器械名字,器械星级,最大星级,基本类型ID,触发类型,设置数量上限,下级ID,图标路径,"图标偏移(x,y,scale)",总描述,开启所需资源,属性1类型,附加属性1效果（数值扩大1000倍填）,属性2类型,附加属性2效果（数值扩大1000倍填）,属性3类型,附加属性3效果（数值扩大1000倍填）,属性1等级0升级条件,属性1等级1升级条件,属性1等级2升级条件,属性2等级0升级条件,属性2等级1升级条件,属性2等级2升级条件,属性3等级0升级条件,属性3等级1升级条件,属性3等级2升级条件,属性1等级0描述,属性1等级1描述,属性1等级2描述,属性2等级0描述,属性2等级1描述,属性2等级2描述,属性3等级0描述,属性3等级1描述,属性3等级2描述,升星效果描述,属性升级增加战力,等级真加战力
id,strName,nStar,nMaxStar,nBaseTypeID,nEffectID,nLimitCount,nNextId,strIcon,strScale,strTotalDes,strOpenCondition,nAttrType1,strAttrParam1,nAttrType2,strAttrParam2,nAttrType3,strAttrParam3,strLevelUPParam1_0,strLevelUPParam1_1,strLevelUPParam1_2,strLevelUPParam2_0,strLevelUPParam2_1,strLevelUPParam2_2,strLevelUPParam3_0,strLevelUPParam3_1,strLevelUPParam3_2,strAttrDesParam1_0,strAttrDesParam1_1,strAttrDesParam1_2,strAttrDesParam2_0,strAttrDesParam2_1,strAttrDesParam2_2,strAttrDesParam3_0,strAttrDesParam3_1,strAttrDesParam3_2,strAdvStarDesc,nAttrZhanli,nLevelZhanli
int,string,int,int,int,int,int,int,string,string,string,string,int,string,int,string,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int
80003,连弩楼,3,3,80000,8,1,0,UI/WarEquipment/icon_crossbow01_tex,-12 55 179|0 0 0|0 0 0,坚固的石质塔楼，配备多名连弩手，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 4 0|44 40 0|47 40 0,0,23052000|23052000|23052000|23052000,0,672000|672000|672000|672000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+1280\n生命值+7440,0,810
90000,投石台,0,3,90000,9,1,90001,UI/WarEquipment/icon_demolisher01_tex,-19 40 143|0 0 0|0 0 0,远距离攻城装置，可以向敌人投出燃烧的巨石，每次攻击都会对目标及周围的敌方部队造成[fed655]{0}[-]点伤害,43 4 0|2 350000 0|29 30 0,500,4636000|4900000|5164000|5428000,502,382000|412000|442000|472000,0,999|999|999|999,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,范围伤害+264,范围伤害+264,范围伤害+264,生命值+3600,生命值+3600,生命值+3600,1,1,1,NULL,25,48
90001,投石台,1,3,90000,9,1,90002,UI/WarEquipment/icon_demolisher01_tex,-19 40 143|0 0 0|0 0 0,远距离攻城装置，可以向敌人投出燃烧的巨石，每次攻击都会对目标及周围的敌方部队造成[fed655]{0}[-]点伤害,43 4 0|44 20 0|47 20 0,500,5876000|6220000|6564000|6908000,502,512000|557000|602000|647000,0,999|999|999|999,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,范围伤害+344,范围伤害+344,范围伤害+344,生命值+5400,生命值+5400,生命值+5400,1,1,1,范围伤害+448\n生命值+4800,31,258
90002,投石台,2,3,90000,9,1,90003,UI/WarEquipment/icon_demolisher01_tex,-19 40 143|0 0 0|0 0 0,远距离攻城装置，可以向敌人投出燃烧的巨石，每次攻击都会对目标及周围的敌方部队造成[fed655]{0}[-]点伤害,43 4 0|44 30 0|47 30 0,500,7388000|7828000|8268000|8708000,502,702000|768000|834000|900000,0,999|999|999|999,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,范围伤害+440,范围伤害+440,范围伤害+440,生命值+7920,生命值+7920,生命值+7920,1,1,1,范围伤害+480\n生命值+6600,36,514
90003,投石台,3,3,90000,9,1,0,UI/WarEquipment/icon_demolisher01_tex,-19 40 143|0 0 0|0 0 0,远距离攻城装置，可以向敌人投出燃烧的巨石，每次攻击都会对目标及周围的敌方部队造成[fed655]{0}[-]点伤害,43 4 0|44 40 0|47 40 0,0,9220000|9220000|9220000|9220000,0,980000|980000|980000|980000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,范围伤害+512\n生命值+9600,0,810
100000,铁索,0,2,100000,10,2,100001,UI/WarEquipment/icon_looplock01_tex,-14 7 99|0 0 0|0 0 0,精铁打造而成的铁链，在敌军突进时阻拦敌军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 1 0|2 10000 0|0 0 0,500,299000|305000|311000|317000,501,-1000000|-1100000|-1200000|-1300000,0,999|999|999|999,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+6,每秒伤害+6,每秒伤害+6,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,NULL,11,20
100001,铁索,1,2,100000,10,2,100002,UI/WarEquipment/icon_looplock01_tex,-14 7 99|0 0 0|0 0 0,精铁打造而成的铁链，在敌军突进时阻拦敌军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 1 0|44 3 0|47 3 0,500,324000|332000|340000|349000,501,-1400000|-1500000|-1600000|-1700000,0,999|999|999|999,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+8,每秒伤害+8,每秒伤害+9,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,每秒伤害+7\n减速幅度+1%,13,110
100002,铁索,2,2,100000,10,2,0,UI/WarEquipment/icon_looplock01_tex,-14 7 99|0 0 0|0 0 0,精铁打造而成的铁链，在敌军突进时阻拦敌军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 1 0|44 4 0|47 4 0,0,358000|358000|358000|358000,0,18000|18000|18000|18000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+9\n减速幅度+1%,0,216
110000,铁蒺藜,0,3,110000,11,2,110001,UI/WarEquipment/icon_ironball01_tex,-14 7 99|0 0 0|0 0 0,带刺的实心小铁球，抛撒在敌人行军道路上拖延敌人行军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 2 0|2 50000 0|0 0 0,500,402000|410000|418000|426000,501,-1900000|-2000000|-2100000|-2200000,0,999|999|999|999,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+8,每秒伤害+8,每秒伤害+8,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,NULL,16,30
110001,铁蒺藜,1,3,110000,11,2,110002,UI/WarEquipment/icon_ironball01_tex,-14 7 99|0 0 0|0 0 0,带刺的实心小铁球，抛撒在敌人行军道路上拖延敌人行军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 2 0|44 6 0|47 6 0,500,435000|446000|457000|468000,501,-2300000|-2400000|-2500000|-2600000,0,999|999|999|999,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+11,每秒伤害+11,每秒伤害+11,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,每秒伤害+9\n减速幅度+1%,18,160
110002,铁蒺藜,2,3,110000,11,2,110003,UI/WarEquipment/icon_ironball01_tex,-14 7 99|0 0 0|0 0 0,带刺的实心小铁球，抛撒在敌人行军道路上拖延敌人行军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 2 0|44 8 0|47 8 0,500,480000|499000|518000|537000,501,-2700000|-2800000|-2900000|-3000000,0,999|999|999|999,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+19,每秒伤害+19,每秒伤害+19,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,每秒伤害+12\n减速幅度+1%,20,306
110003,铁蒺藜,3,3,110000,11,2,0,UI/WarEquipment/icon_ironball01_tex,-14 7 99|0 0 0|0 0 0,带刺的实心小铁球，抛撒在敌人行军道路上拖延敌人行军，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 2 0|44 12 0|47 12 0,0,557000|557000|557000|557000,0,31000|31000|31000|31000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+20\n减速幅度+1%,0,468
120000,铁牢,0,3,120000,12,2,120001,UI/WarEquipment/icon_iron01_tex,-14 7 99|0 0 0|0 0 0,尖锐的钢刃制成的牢笼，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 4 0|2 350000 0|29 30 0,500,602000|614000|626000|638000,501,-3200000|-3300000|-3400000|-3500000,0,999|999|999|999,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+12,每秒伤害+12,每秒伤害+12,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,NULL,25,48
120001,铁牢,1,3,120000,12,2,120002,UI/WarEquipment/icon_iron01_tex,-14 7 99|0 0 0|0 0 0,尖锐的钢刃制成的牢笼，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 4 0|44 20 0|47 20 0,500,652000|668000|685000|701000,501,-3600000|-3700000|-3800000|-3900000,0,999|999|999|999,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+16,每秒伤害+17,每秒伤害+16,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,每秒伤害+14\n减速幅度+1%,31,258
120002,铁牢,2,3,120000,12,2,120003,UI/WarEquipment/icon_iron01_tex,-14 7 99|0 0 0|0 0 0,尖锐的钢刃制成的牢笼，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 4 0|44 30 0|47 30 0,500,719000|748000|776000|805000,501,-4000000|-4100000|-4200000|-4300000,0,999|999|999|999,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+29,每秒伤害+28,每秒伤害+29,降低移动速度+1%,降低移动速度+1%,降低移动速度+1%,1,1,1,每秒伤害+18\n减速幅度+1%,36,514
120003,铁牢,3,3,120000,12,2,0,UI/WarEquipment/icon_iron01_tex,-14 7 99|0 0 0|0 0 0,尖锐的钢刃制成的牢笼，使上方的敌方部队移动速度降低[fed655]{1}%[-]，且每秒受到[fed655]{0}[-]点伤害，直到离开此区域,43 4 0|44 40 0|47 40 0,0,835000|835000|835000|835000,0,44000|44000|44000|44000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+30\n减速幅度+1%,0,810
130000,瘴毒,0,3,130000,13,1,130001,UI/WarEquipment/icon_gas01_tex,-14 7 99|0 0 0|0 0 0,燃烧毒草和毒虫所制造出来的瘴气，能使范围内的敌人受到每秒[fed655]{0}[-]的伤害，并使受到的治疗效果降低[fed655]{1}%[-]，持续[fed655]6[-]秒,43 4 0|2 350000 0|29 30 0,101,5220000|5700000|6180000|6660000,206,880|840|800|760,0,999|999|999|999,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+480,持续伤害+480,持续伤害+480,降低治疗效果+4%,降低治疗效果+4%,降低治疗效果+4%,1,1,1,NULL,25,48
130001,瘴毒,1,3,130000,13,1,130002,UI/WarEquipment/icon_gas01_tex,-14 7 99|0 0 0|0 0 0,燃烧毒草和毒虫所制造出来的瘴气，能使范围内的敌人受到每秒[fed655]{0}[-]的伤害，并使受到的治疗效果降低[fed655]{1}%[-]，持续[fed655]6[-]秒,43 4 0|44 20 0|47 20 0,101,7260000|7935000|8610000|9285000,206,720|680|640|600,0,999|999|999|999,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+675,持续伤害+675,持续伤害+675,降低治疗效果+4%,降低治疗效果+4%,降低治疗效果+4%,1,1,1,每秒伤害+600\n降治疗效果+4%,31,258
130002,瘴毒,2,3,130000,13,1,130003,UI/WarEquipment/icon_gas01_tex,-14 7 99|0 0 0|0 0 0,燃烧毒草和毒虫所制造出来的瘴气，能使范围内的敌人受到每秒[fed655]{0}[-]的伤害，并使受到的治疗效果降低[fed655]{1}%[-]，持续[fed655]6[-]秒,43 4 0|44 30 0|47 30 0,101,10110000|11760000|13410000|15060000,206,560|520|480|440,0,999|999|999|999,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+1650,持续伤害+1650,持续伤害+1650,降低治疗效果+4%,降低治疗效果+4%,降低治疗效果+4%,1,1,1,每秒伤害+825\n降治疗效果+4%,36,514
130003,瘴毒,3,3,130000,13,1,0,UI/WarEquipment/icon_gas01_tex,-14 7 99|0 0 0|0 0 0,燃烧毒草和毒虫所制造出来的瘴气，能使范围内的敌人受到每秒[fed655]{0}[-]的伤害，并使受到的治疗效果降低[fed655]{1}%[-]，持续[fed655]6[-]秒,43 4 0|44 40 0|47 40 0,0,17235000|17235000|17235000|17235000,0,60000|60000|60000|60000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+2175\n降治疗效果+4%,0,810
140000,木牛,0,2,140000,14,1,140001,UI/WarEquipment/icon_cattle01_tex,-8 16 115|0 0 0|0 0 0,传说最早由诸葛亮发明，后经工匠们改进的战斗机关，可对近战范围内的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 1 0|2 10000 0|0 0 0,500,3164000|3284000|3404000|3524000,502,172000|190000|208000|226000,0,999|999|999|999,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+120,每秒伤害+120,每秒伤害+120,生命值+2160,生命值+2160,生命值+2160,1,1,1,NULL,11,20
140001,木牛,1,2,140000,14,1,140002,UI/WarEquipment/icon_cattle01_tex,-8 16 115|0 0 0|0 0 0,传说最早由诸葛亮发明，后经工匠们改进的战斗机关，可对近战范围内的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 1 0|44 3 0|47 3 0,500,3652000|3792000|3932000|4072000,502,247000|268000|289000|310000,0,999|999|999|999,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+140,每秒伤害+140,每秒伤害+140,生命值+2520,生命值+2520,生命值+2520,1,1,1,每秒伤害+128\n生命值+2520,13,110
140002,木牛,2,2,140000,14,1,0,UI/WarEquipment/icon_cattle01_tex,-8 16 115|0 0 0|0 0 0,传说最早由诸葛亮发明，后经工匠们改进的战斗机关，可对近战范围内的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 1 0|44 4 0|47 4 0,0,4224000|4224000|4224000|4224000,0,338000|338000|338000|338000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+152\n生命值+3360,0,216
150000,刃车,0,3,150000,15,1,150001,UI/WarEquipment/icon_Edgecar01_tex,-13 16 115|0 0 0|0 0 0,装满锋利刀刃的机关，高速直线前进，遇到敌人时会立刻向范围内发射所有刀刃造成[fed655]{0}[-]点伤害,43 2 0|2 50000 0|0 0 0,100,44400000|45600000|46800000|48000000,2,10000|10500|11000|11500,0,999|999|999|999,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+1200,伤害+1200,伤害+1200,基础触发范围+5%,基础触发范围+5%,基础触发范围+5%,1,1,1,NULL,16,30
150001,刃车,1,3,150000,15,1,150002,UI/WarEquipment/icon_Edgecar01_tex,-13 16 115|0 0 0|0 0 0,装满锋利刀刃的机关，高速直线前进，遇到敌人时会立刻向范围内发射所有刀刃造成[fed655]{0}[-]点伤害,43 2 0|44 6 0|47 6 0,100,49800000|51480000|53160000|54840000,2,12000|12500|13000|13500,0,999|999|999|999,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+1680,伤害+1680,伤害+1680,基础触发范围+5%,基础触发范围+5%,基础触发范围+5%,1,1,1,伤害+1800\n影响范围+5%,18,160
150002,刃车,2,3,150000,15,1,150003,UI/WarEquipment/icon_Edgecar01_tex,-13 16 115|0 0 0|0 0 0,装满锋利刀刃的机关，高速直线前进，遇到敌人时会立刻向范围内发射所有刀刃造成[fed655]{0}[-]点伤害,43 2 0|44 8 0|47 8 0,100,57840000|60840000|63840000|66840000,2,14000|14500|15000|15500,0,999|999|999|999,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+3000,伤害+3000,伤害+3000,基础触发范围+5%,基础触发范围+5%,基础触发范围+5%,1,1,1,伤害+3000\n影响范围+5%,20,306
150003,刃车,3,3,150000,15,1,0,UI/WarEquipment/icon_Edgecar01_tex,-13 16 115|0 0 0|0 0 0,装满锋利刀刃的机关，高速直线前进，遇到敌人时会立刻向范围内发射所有刀刃造成[fed655]{0}[-]点伤害,43 2 0|44 12 0|47 12 0,0,74040000|74040000|74040000|74040000,0,16000|16000|16000|16000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,伤害+7200\n影响范围+5%,0,468
160000,盾车,0,3,160000,16,1,160001,UI/WarEquipment/icon_shieldcar01_tex,-12 17 120|0 0 0|0 0 0,三面装备大盾的战车，可以有效防御敌方的敌方的攻击，可对近战范围内的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|2 50000 0|0 0 0,500,3000000|3112000|3224000|3336000,502,812000|859000|906000|953000,0,999|999|999|999,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+112,每秒伤害+112,每秒伤害+112,生命值+5640,生命值+5640,生命值+5640,1,1,1,NULL,16,30
160001,盾车,1,3,160000,16,1,160002,UI/WarEquipment/icon_shieldcar01_tex,-12 17 120|0 0 0|0 0 0,三面装备大盾的战车，可以有效防御敌方的敌方的攻击，可对近战范围内的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|44 6 0|47 6 0,500,3464000|3624000|3784000|3944000,502,1005000|1060000|1115000|1170000,0,999|999|999|999,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+160,每秒伤害+160,每秒伤害+160,生命值+6600,生命值+6600,生命值+6600,1,1,1,每秒伤害+128\n生命值+6240,18,160
160002,盾车,2,3,160000,16,1,160003,UI/WarEquipment/icon_shieldcar01_tex,-12 17 120|0 0 0|0 0 0,三面装备大盾的战车，可以有效防御敌方的敌方的攻击，可对近战范围内的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|44 8 0|47 8 0,500,4128000|4380000|4632000|4888000,502,1255000|1375000|1495000|1615000,0,999|999|999|999,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+252,每秒伤害+252,每秒伤害+256,生命值+14400,生命值+14400,生命值+14400,1,1,1,每秒伤害+184\n生命值+10200,20,306
