序号|战法(ID要小于10000),邮件类型,文本索引,文本标题,文本内容,发送者,附件类型,附件数量
287,1,287,绚烂焰火神兵助力,尊敬的主公：\n感谢您参加【绚烂焰火神兵助力】活动，活动期间，您累计充值1000钻石，获得银币*5，请点击附件进行领取~,活动系统,287,1
288,1,288,绚烂焰火神兵助力,尊敬的主公：\n感谢您参加【绚烂焰火神兵助力】活动，活动期间，您累计充值3000钻石，获得军令*60，卡魂*600000，请点击附件进行领取~,活动系统,288,2
289,1,289,绚烂焰火神兵助力,尊敬的主公：\n感谢您参加【绚烂焰火神兵助力】活动，活动期间，您累计充值8000钻石，获得金币*10，朱雀石*30，请点击附件进行领取~,活动系统,289,2
290,1,290,绚烂焰火神兵助力,尊敬的主公：\n感谢您参加【绚烂焰火神兵助力】活动，活动期间，您累计充值13000钻石，获得军令*200，龙吟弓碎片*100，请点击附件进行领取~,活动系统,290,2
291,1,291,消费豪礼啪啪买单,尊敬的主公：\n感谢您参加【消费豪礼啪啪买单】活动，活动期间，您累计消耗1000钻石，获得银币*4，请点击附件进行领取~,活动系统,291,1
292,1,292,消费豪礼啪啪买单,尊敬的主公：\n感谢您参加【消费豪礼啪啪买单】活动，活动期间，您累计消耗3000钻石，获得金币*4，请点击附件进行领取~,活动系统,292,1
293,1,293,消费豪礼啪啪买单,尊敬的主公：\n感谢您参加【消费豪礼啪啪买单】活动，活动期间，您累计消耗8000钻石，获得玄武石*50，请点击附件进行领取~,活动系统,293,1
294,1,294,消费豪礼啪啪买单,尊敬的主公：\n感谢您参加【消费豪礼啪啪买单】活动，活动期间，您累计消耗14000钻石，获得诸葛连弩碎片*100，请点击附件进行领取~,活动系统,294,1
295,1,295,首充大礼等你拿,感谢参加【首充大礼等你拿】活动，请查收赠送的金卡张飞一张！,活动系统,295,1
296,1,296,新学期新气象,尊敬的主公：\n感谢您参加【新学期新气象】活动，活动期间，您累计消耗3000钻石，获得银币*6，请点击附件进行领取~,活动系统,296,1
297,1,297,乐享中秋啪啪献礼,尊敬的主公：\n感谢您参加【乐享中秋啪啪献礼】活动，活动期间，您累计消耗2000钻石，获得金币*4，请点击附件进行领取~,活动系统,297,1
298,1,298,无所畏惧霸王觉醒,尊敬的主公：\n感谢您参加【无所畏惧霸王觉醒】活动，活动期间，您累计充值1000钻石，获得银币*5，请点击附件进行领取~,活动系统,298,1
299,1,299,无所畏惧霸王觉醒,尊敬的主公：\n感谢您参加【无所畏惧霸王觉醒】活动，活动期间，您累计充值3000钻石，获得军令*50，金币*5，请点击附件进行领取~,活动系统,299,2
300,1,300,无所畏惧霸王觉醒,尊敬的主公：\n感谢您参加【无所畏惧霸王觉醒】活动，活动期间，您累计充值8000钻石，获得卡魂*800000，玄武石*50，请点击附件进行领取~,活动系统,300,2
301,1,301,无所畏惧霸王觉醒,尊敬的主公：\n感谢您参加【无所畏惧霸王觉醒】活动，活动期间，您累计充值20000钻石，获得青龙石*30，觉醒印·孙策，请点击附件进行领取~,活动系统,301,2
302,1,302,消耗有礼啪啪买单,尊敬的主公：\n感谢您参加【消耗有礼啪啪买单】活动，活动期间，您累计消耗1000钻石，获得银币*4，请点击附件进行领取~,活动系统,302,1
303,1,303,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,303,6
304,1,304,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,304,6
305,1,305,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,305,5
306,1,306,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,306,5
307,1,307,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,307,2
308,1,308,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,308,2
309,1,309,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,309,2
310,1,310,消耗不停豪礼不断,尊敬的主公：\n感谢您参加【消耗不停豪礼不断】活动，活动期间，您累计消耗2000钻石，获得金币*4，请点击附件进行领取~,活动系统,310,1
311,1,311,觉醒张辽无坚不摧,尊敬的主公：\n感谢您参加【觉醒张辽无坚不摧】活动，活动期间，您累计消耗1000钻石，获得银币*5，请点击附件进行领取~,活动系统,311,1
312,1,312,觉醒张辽无坚不摧,尊敬的主公：\n感谢您参加【觉醒张辽无坚不摧】活动，活动期间，您累计消耗5000钻石，获得金币*3，玄武石*50，请点击附件进行领取~,活动系统,312,2
313,1,313,觉醒张辽无坚不摧,尊敬的主公：\n感谢您参加【觉醒张辽无坚不摧】活动，活动期间，您累计消耗10000钻石，获得金钥匙*2，朱雀石*50，请点击附件进行领取~,活动系统,313,2
314,1,314,觉醒张辽无坚不摧,尊敬的主公：\n感谢您参加【消耗不停豪礼不断】活动，活动期间，您累计消耗22000钻石，获得青龙石*20，觉醒印·张辽，请点击附件进行领取~,活动系统,314,2
315,1,315,传承武将忠胆相随,尊敬的主公：\n感谢您参加【传承武将忠胆相随】活动，活动期间，您累计充值1000钻石，获得传承券*80，请点击附件进行领取~,活动系统,315,1
316,1,316,神兵来袭矢志明心,尊敬的主公：\n感谢您参加【神兵来袭矢志明心】活动，活动期间，您累计充值1000钻石，获得银币*5，请点击附件进行领取~,活动系统,316,1
317,1,317,神兵来袭矢志明心,尊敬的主公：\n感谢您参加【神兵来袭矢志明心】活动，活动期间，您累计充值3000钻石，获得金币*2，玄武石*20，请点击附件进行领取~,活动系统,317,2
318,1,318,神兵来袭矢志明心,尊敬的主公：\n感谢您参加【神兵来袭矢志明心】活动，活动期间，您累计充值8000钻石，获得朱雀石*40，印玉*300，请点击附件进行领取~,活动系统,318,2
319,1,319,神兵来袭矢志明心,尊敬的主公：\n感谢您参加【神兵来袭矢志明心】活动活动期间，您累计充值13000钻石，获得军令*200，虎扑弓碎片*100，请点击附件进行领取~,活动系统,319,2
320,1,320,消耗不停豪礼不断,尊敬的主公：\n感谢您参加【消耗不停豪礼不断】活动活动期间，活动期间，您累计消耗2000钻石，获得金币*4，请点击附件进行领取~,活动系统,320,1
321,1,321,庆周年登录就送,尊敬的主公：\n感谢您参加【庆周年登录就送】活动活动期间，活动期间，您累计登陆1天，获得传承券*30，请点击附件进行领取~,活动系统,321,1
322,1,322,累积登录100%送好礼,尊敬的主公：\n感谢您参加【累积登录100%送好礼】活动，活动期间，您累计登陆3天，获得钻石*100，请点击附件进行领取~,活动系统,322,1
323,1,323,累积登录100%送好礼,尊敬的主公：\n感谢您参加【累积登录100%送好礼】活动，活动期间，您累计登陆6天，获得银币*3，请点击附件进行领取~,活动系统,323,1
324,1,324,累积登录100%送好礼,尊敬的主公：\n感谢您参加【累积登录100%送好礼】活动，活动期间，您累计登陆10天，获得金币*1，银币*3，请点击附件进行领取~,活动系统,324,2
325,1,325,累积登录100%送好礼,尊敬的主公：\n感谢您参加【累积登录100%送好礼】活动，活动期间，您累计登陆20天，获得印玉*100，请点击附件进行领取~,活动系统,325,1
326,1,326,累积登录100%送好礼,尊敬的主公：\n感谢您参加【累积登录100%送好礼】活动，活动期间，您累计登陆30天，获得武将孙权，请点击附件进行领取~,活动系统,326,1
327,1,327,消耗不停豪礼不停,尊敬的主公：\n感谢您参加【消耗不停豪礼不停】活动，活动期间，您累计消耗2000钻石，获得金币*4，请点击附件进行领取~,活动系统,327,1
328,1,328,每日消耗好礼,尊敬的主公：\n感谢您参加【每日消耗豪礼】活动，活动期间，您累计消耗500钻石，获得军令*20，请点击附件进行领取~,活动系统,328,1
329,1,329,强骑猛将消耗即送,尊敬的主公：\n感谢您参加【强骑猛将消耗即送】活动，活动期间，您累计消耗5000钻石，获得银币*10，请点击附件进行领取~,活动系统,329,1
330,1,330,强骑猛将消耗即送,尊敬的主公：\n感谢您参加【强骑猛将消耗即送】活动活动期间，活动期间，您累计消耗11000钻石，获得金钥匙*3，金币*6，请点击附件进行领取~,活动系统,330,2
331,1,331,强骑猛将消耗即送,尊敬的主公：\n感谢您参加【强骑猛将消耗即送】活动活动期间，活动期间，您累计消耗22000钻石，获得觉醒印·夏侯惇，请点击附件进行领取~,活动系统,331,1
332,1,332,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,332,6
333,1,333,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,333,6
334,1,334,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,334,5
335,1,335,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,335,5
336,1,336,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,336,2
337,1,337,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,337,2
338,1,338,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,338,2
5001,1,5001,公会开启,尊敬的主公：\n你现在已经可以创建或加入一个公会了~\n加入公会之后，你可以享受到公会科技带来的各种便利和加成，更可以参加公会活动得到额外奖励！\n老话说的好，一个篱笆三个桩，一个好汉三个帮。出门在外，靠的是基友，啊不，是朋友XD[ff000c]点击主界面“公会”图标[-]和朋友们一起将自己的公会发展壮大吧！,公会系统,0,0
5010,1,5010,联赛霸主，荣耀全服,本服代表在竞技联赛中异军突起荣登霸主宝座，特此开仓放粮，普天同庆！,汉献帝,5010,2
5011,1,5011,竞技联赛排名奖励,恭喜您在本次竞技联赛中荣登第一的宝座，获得奖励：2000钻石、300印玉、20血玉,联赛主办方,5011,3
5012,1,5012,竞技联赛排名奖励,恭喜您在本次竞技联赛中获得了第二名的优异成绩，获得奖励：1000钻石、250印玉、15血玉,联赛主办方,5012,3
5013,1,5013,竞技联赛排名奖励,恭喜您在本次竞技联赛中获得了三、四名的好成绩，获得奖励：500钻石、200印玉、10血玉,联赛主办方,5013,3
5014,1,5014,竞技联赛排名奖励,恭喜您在本次竞技联赛中获得淘汰赛参与奖：300钻、150印玉、5血玉,联赛主办方,5014,3
5020,1,5020,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第一，特赏赐英雄金钥匙2把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5020,1
5021,1,5021,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第二，特赏赐英雄金钥匙1把、银钥匙3把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5021,2
5022,1,5022,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第三，特赏赐英雄金钥匙1把、银钥匙1把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5022,2
5023,1,5023,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第四，特赏赐英雄银钥匙6把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5023,1
5024,1,5024,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第五，特赏赐英雄银钥匙6把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5024,1
5025,1,5025,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第六，特赏赐英雄银钥匙4把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5025,1
5026,1,5026,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第七，特赏赐英雄银钥匙4把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5026,1
5027,1,5027,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第八，特赏赐英雄银钥匙4把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5027,1
5028,1,5028,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第九，特赏赐英雄银钥匙4把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5028,1
5029,1,5029,公会排行奖励,英雄所在公会大破黄巾军，手刃贼军数量名列第十，特赏赐英雄银钥匙4把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5029,1
5030,1,5030,公会排行奖励,感谢您和您所在公会的参与，特赐银钥匙2把；公会额外获得1张报名券，请于公会大营中查看~,活动系统,5030,1
339,1,339,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第7章，获得转盘券*4，请点击附件进行领取,活动系统,339,1
340,1,340,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第13章，获得印玉*50，请点击附件进行领取,活动系统,340,1
341,1,341,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第16章，获得银色硬币*4，请点击附件进行领取,活动系统,341,1
342,1,342,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第21章，获得金色硬币*3，请点击附件进行领取,活动系统,342,1
343,1,343,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗2000钻石，获得金色硬币*3，军令*50，请点击附件进行领取,活动系统,343,2
344,1,344,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗5000钻石，获得转盘券*40，请点击附件进行领取,活动系统,344,1
345,1,345,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗8000钻石，获得金色钥匙*5，印玉*50，请点击附件进行领取,活动系统,345,2
346,1,346,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗10000钻石，获得青龙*30，请点击附件进行领取,活动系统,346,1
5701,1,5701,武将们的收获,主公：\n这是我们今天在派遣过程中的收获，请您查收！虽然少了点，但是只要我们不断地成长，以后一定会收获更多！,派遣系统,5701,1
5702,1,5702,武将们的收获,主公：\n虽然外出一天很辛苦，但是我们还是不忘完成主公交给的任务，这是我们的收获，请查收！,派遣系统,5702,1
5703,1,5703,武将们的收获,主公：\n将士们今天非常地努力，也遇到了不少好玩的事儿，收获也很丰厚，大伙儿都说主公看到信件，一定会很高兴呢！,派遣系统,5703,1
5704,1,5704,武将们的收获,主公：\n您治理下的世道已经非常太平了，只是随便转转就有这么多收获呢~我们在外面总是听到民众对主公的赞美，大家都觉得跟随主公是最正确的选择！,派遣系统,5704,1
5711,1,5711,事件完成奖励,尊敬的主公：\n你已经完成了【朱雀羽扇】系列事件，恭喜你获得了专属战器-朱雀羽扇的碎片，请查收附件。\n我们期待您发掘更多的隐藏事件>///<,派遣系统,5711,1
5712,1,5712,事件完成奖励,尊敬的主公：\n你已经完成了【龙吟弓】系列事件，恭喜你获得了专属战器-龙吟弓的碎片，请查收附件。\n我们期待您发掘更多的隐藏事件>///<,派遣系统,5712,1
5713,1,5713,事件完成奖励,尊敬的主公：\n你已经完成了【穷奇羽扇】系列事件，恭喜你获得了专属战器-穷奇羽扇的碎片，请查收附件。\n我们期待您发掘更多的隐藏事件>///<,派遣系统,5713,1
5714,1,5714,神秘的机关人,尊敬的主公：\n        荆州城里来了一位新客人——机关人涛涛，只要您交给他一些[FF0000]木质齿轮[-]，他便可以帮助主公您将卡片转化为大量的卡魂或血玉，[FF0000]在转化过程中还有机会获得板砖哦~[-]\n        所有服务器的玩家在进行转化时都会额外产生一部分卡魂或者血玉，这部分资源会累积在机关人体内，快使用板砖拍它获得他体内积累的资源吧！\n        [FF0000]您可以在派遣系统中获得齿轮[-]，在此我们为您献上10个齿轮，快去机关人处试试吧！,运营团队,5714,1
347,1,347,制霸大业伯符降临,尊敬的主公：\n感谢您参加【制霸大业伯符降临】活动，活动期间，您累计充值1000钻石，获得银色硬币*5，军令*60，请点击附件进行领取,活动系统,347,2
348,1,348,制霸大业伯符降临,尊敬的主公：\n感谢您参加【制霸大业伯符降临】活动，活动期间，您累计充值4880钻石，获得玄武石*50，印玉*100，请点击附件进行领取,活动系统,348,2
349,1,349,制霸大业伯符降临,尊敬的主公：\n感谢您参加【制霸大业伯符降临】活动，活动期间，您累计充值9880钻石，获得青龙石*20，金钥匙*3，请点击附件进行领取,活动系统,349,2
350,1,350,秣马厉兵传承豪礼,尊敬的主公：\n感谢您参加【秣马厉兵传承豪礼】活动，活动期间，您累计消耗1200钻石，获得传承卷*80，请点击附件进行领取,活动系统,350,1
351,1,351,先主威仪勇者得前,尊敬的主公：\n感谢您参加【先主威仪勇者得前】活动，活动期间，您累计充值1000钻石，获得银色硬币*4，军令*20，请点击附件进行领取,活动系统,351,2
352,1,352,先主威仪勇者得前,尊敬的主公：\n感谢您参加【先主威仪勇者得前】活动，活动期间，您累计充值3000钻石，获得印玉*100，玄武石*30，请点击附件进行领取,活动系统,352,2
353,1,353,先主威仪勇者得前,尊敬的主公：\n感谢您参加【先主威仪勇者得前】活动，活动期间，您累计充值8000钻石，获得金色钥匙*5，卡魂*1000000，请点击附件进行领取,活动系统,353,2
354,1,354,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,354,6
355,1,355,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,355,6
356,1,356,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,356,5
357,1,357,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,357,5
358,1,358,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,358,2
359,1,359,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,359,2
360,1,360,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,360,2
361,1,361,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,361,6
362,1,362,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,362,6
363,1,363,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,363,5
364,1,364,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,364,5
365,1,365,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,365,2
366,1,366,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,366,2
367,1,367,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,367,2
368,1,368,耗尽甘来助战超回馈,尊敬的主公：\n感谢您参加【耗尽甘来助战超回馈】活动，活动期间，您累计消耗1000钻石，获得银色硬币*5，请点击附件进行领取,活动系统,368,1
369,1,369,耗尽甘来助战超回馈,尊敬的主公：\n感谢您参加【耗尽甘来助战超回馈】活动，活动期间，您累计消耗4000钻石，获得金色硬币*6，军令*60，请点击附件进行领取,活动系统,369,2
370,1,370,耗尽甘来助战超回馈,尊敬的主公：\n感谢您参加【耗尽甘来助战超回馈】活动，活动期间，您累计消耗8000钻石，获得转盘券*60，印玉*100，请点击附件进行领取,活动系统,370,2
371,1,371,耗尽甘来助战超回馈,尊敬的主公：\n感谢您参加【耗尽甘来助战超回馈】活动，活动期间，您累计消耗10000钻石，获得玄武石*50，金色钥匙*3，请点击附件进行领取,活动系统,371,2
372,1,372,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第9章，获得转盘券*4，请点击附件进行领取,活动系统,372,1
373,1,373,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第15章，获得传承卷*20，请点击附件进行领取,活动系统,373,1
374,1,374,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第18章，获得银色硬币*4，请点击附件进行领取,活动系统,374,1
375,1,375,号角集结再战天下,尊敬的主公：\n感谢您参加【号角集结再战天下】活动，活动期间，您累计突破普通关卡第21章，获得金色硬币*3，请点击附件进行领取,活动系统,375,1
376,1,376,天天资源助阵,尊敬的主公：\n感谢您参加【天天资源助阵】活动，活动期间，您累计充值1000钻石，获得银色硬币*6，请点击附件进行领取,活动系统,376,1
377,1,377,天天资源助阵,尊敬的主公：\n感谢您参加【天天资源助阵】活动，活动期间，您累计充值1000钻石，获得印玉*80，请点击附件进行领取,活动系统,377,1
378,1,378,天天资源助阵,尊敬的主公：\n感谢您参加【天天资源助阵】活动，活动期间，您累计充值1000钻石，获得转盘券*10，请点击附件进行领取,活动系统,378,1
379,1,379,天天资源助阵,尊敬的主公：\n感谢您参加【天天资源助阵】活动，活动期间，您累计充值1000钻石，获得银色钥匙*8，请点击附件进行领取,活动系统,379,1
380,1,380,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗1000钻石，获得军令*60，请点击附件进行领取,活动系统,380,1
381,1,381,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗4000钻石，获得卡魂*500000，银色硬币*3，请点击附件进行领取,活动系统,381,2
382,1,382,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗8000钻石，获得金色钥匙*3，金色硬币*5，请点击附件进行领取,活动系统,382,2
383,1,383,福泽天下耗尽甘来,尊敬的主公：\n感谢您参加【福泽天下耗尽甘来】活动，活动期间，您累计消耗10000钻石，获得转盘券*80，请点击附件进行领取,活动系统,383,1
384,1,384,骁勇猛士月下美娘,尊敬的主公：\n感谢您参加【骁勇猛士月下美娘】活动，活动期间，您累计充值1000钻石，获得军令*60，请点击附件进行领取,活动系统,384,1
385,1,385,骁勇猛士月下美娘,尊敬的主公：\n感谢您参加【骁勇猛士月下美娘】活动，活动期间，您累计充值3000钻石，获得银色硬币*20，请点击附件进行领取,活动系统,385,1
386,1,386,骁勇猛士月下美娘,尊敬的主公：\n感谢您参加【骁勇猛士月下美娘】活动，活动期间，您累计充值9000钻石，获得青龙石*30，印玉*50，请点击附件进行领取,活动系统,386,2
387,1,387,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值50000钻石，获得钻石*5000，请点击附件进行领取,活动系统,387,1
388,1,388,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值100000钻石，获得钻石*10000，请点击附件进行领取,活动系统,388,1
389,1,389,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值200000钻石，获得钻石*25000，请点击附件进行领取,活动系统,389,1
390,1,390,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值50000钻石，获得钻石*5000，请点击附件进行领取,活动系统,390,1
391,1,391,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值100000钻石，获得钻石*10000，请点击附件进行领取,活动系统,391,1
392,1,392,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值200000钻石，获得钻石*25000，请点击附件进行领取,活动系统,392,1
393,1,393,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值50000钻石，获得钻石*5000，请点击附件进行领取,活动系统,393,1
394,1,394,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值100000钻石，获得钻石*10000，请点击附件进行领取,活动系统,394,1
395,1,395,月度充值大返利,尊敬的主公：\n感谢您参加【月度充值大返利】活动，活动期间，您累计充值200000钻石，获得钻石*25000，请点击附件进行领取,活动系统,395,1
396,1,396,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,396,6
397,1,397,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,397,6
398,1,398,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,398,5
399,1,399,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,399,5
400,1,400,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,400,2
401,1,401,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,401,2
402,1,402,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,402,2
403,1,403,消耗不停豪礼不停,尊敬的主公：\n感谢您参加【消耗不停豪礼不停】活动，活动期间，您累计消耗2000钻石，获得金色硬币*4，请点击附件进行领取,活动系统,403,1
404,1,404,暴君董卓登录领,尊敬的主公：\n感谢您参加【暴君董卓登录领】活动，活动期间，您累计登陆2天，获得钻石*50，请点击附件进行领取,活动系统,404,1
